Name,Ticker,Weight,Country,Sector
Fuchs Petrolub Se,None,0.00019080000000000003,None,None
Ube Industries Ltd.,None,0.00018989999999999998,None,None
Alony Hetz Properties & Investments Ltd.,None,0.00018989999999999998,None,None
Hansoh Pharmaceutical Group Company Limited,None,0.00018926999999999995,China,Health Care
GCL System Integration Technology Co. Ltd. Class A,None,0.00018899999999999999,China,Information Technology
Shanghai Jin Jiang International Hotels Co. Ltd. Class A,None,0.00018873000000000002,China,Consumer Discretionary
PT Indofood CBP Sukses Makmur Tbk,None,0.00018855000000000003,Indonesia,Consumer Staples
Ushio Inc.,None,0.0001881,None,None
China South Publishing & Media Group Co. Ltd Class A,None,0.00018774,China,Communication Services
Imerys SA,None,0.0001872,None,None
DMG Mori Co. Ltd.,None,0.0001872,None,None
Acom Co. Ltd.,None,0.0001854,None,None
Rocket Internet SE,None,0.0001854,None,None
Tianqi Lithium Industries Inc Class A,None,0.0001854,China,Materials
Zhejiang Juhua Co. Ltd. Class A,None,0.00018441000000000003,China,Materials
easyJet plc,None,0.00018270000000000005,None,None
Ascott Residence Trust,None,0.00018270000000000005,None,None
GF Securities Co. Ltd. Class A,None,0.00018216000000000006,China,Financials
Zeon Corp.,None,0.00018180000000000003,None,None
DeNA Co. Ltd.,None,0.00018180000000000003,None,None
Ratch Group Public Co. Ltd. NVDR,None,0.00018162,Thailand,Utilities
SMS Co. Ltd.,None,0.0001809,None,None
Dah Sing Banking Group Ltd.,None,0.00018000000000000004,None,None
Nufarm Ltd./Australia,None,0.00017910000000000002,None,None
Paz Oil Co. Ltd.,None,0.00017730000000000003,None,None
Grupa Lotos SA,None,0.00017730000000000003,None,None
Edf Common Stock,None,0.00017730000000000003,None,None
Shikoku Electric Power Co. Inc.,None,0.00017730000000000003,None,None
360 Security Technology Inc. Class A,None,0.00017730000000000003,China,Information Technology
Bank of Jiangsu Co. Ltd. Class A,None,0.00017712,China,Financials
LG Electronics Inc. Preference Shares,None,0.0001764,None,None
Yuan Longping High-Tech Agriculture Co. Ltd. Class A,None,0.00017595000000000002,China,Consumer Staples
International Consolidated Airlines Group SA (London Shares),None,0.00017460000000000002,None,None
Vocus Group Ltd.,None,0.00017460000000000002,None,None
Shandong Sunpaper Co. Ltd. Class A,None,0.00017370000000000002,China,Materials
SKY Perfect JSAT Holdings Inc.,None,0.0001719,None,None
OBIC Business Consultants Co. Ltd.,None,0.0001719,None,None
China Jushi Co. Ltd. Class A,None,0.00017154,China,Materials
SKC Co. Ltd.,None,0.000171,None,None
Kaneka Corp.,None,0.000171,None,None
Hokuhoku Financial Group Inc.,None,0.000171,None,None
Samsung Card Co. Ltd.,None,0.000171,None,None
Sims Ltd.,None,0.0001692,None,None
Inner Mongolia First Machinery Group Co Ltd Class A,None,0.00016893,China,Industrials
By-health Co. Ltd. Class A,None,0.00016686,China,Consumer Staples
Ningbo Joyson Electronic Corp. Class A,None,0.00016641000000000003,China,Consumer Discretionary
Shochiku Co. Ltd.,None,0.00016470000000000002,None,None
Fuyo General Lease Co. Ltd.,None,0.00016470000000000002,None,None
Daido Steel Co. Ltd.,None,0.0001638,None,None
NongShim Co. Ltd.,None,0.0001638,None,None
H.U. Group Holdings Inc.,None,0.0001638,None,None
Washington H Soul Pattinson & Co. Ltd.,None,0.00016109999999999999,None,None
Maeda Corp.,None,0.0001593,None,None
Perpetual Ltd.,None,0.0001593,None,None
Baoshan Iron & Steel Co. Ltd. Class A,None,0.00015858,China,Materials
Itoham Yonekyu Holdings Inc.,None,0.00015840000000000003,None,None
Northeast Securities Co. Ltd. Class A,None,0.00015822,China,Financials
Vienna Insurance Group AG Wiener Versicherung Gruppe,None,0.0001575,None,None
Kiwi Property Group Ltd.,None,0.0001566,None,None
Fuji Oil Holdings Inc.,None,0.00015570000000000002,None,None
Takashimaya Co. Ltd.,None,0.00015570000000000002,None,None
Oci Nv,None,0.0001548,None,None
Mitsui Mining & Smelting Co. Ltd.,None,0.000153,None,None
NS Solutions Corp.,None,0.000153,None,None
1&1 Drillisch AG,None,0.0001521,None,None
Whitehaven Coal Ltd.,None,0.00015120000000000004,None,None
Chow Tai Fook Jewellery Group Ltd.,None,0.00015120000000000004,None,None
Sapporo Holdings Ltd.,None,0.0001503,None,None
Airport City Ltd.,None,0.0001503,None,None
Zoomlion Heavy Industry Science & Technology Co. Ltd. Class H,None,0.00014976,China,Industrials
Ninety One plc,None,0.00014940000000000003,None,None
Guanghui Energy Co. Ltd. Class A,None,0.00014886000000000004,China,Energy
Traton SE,None,0.00014850000000000003,None,None
Aker ASA,None,0.00014850000000000003,None,None
NWS Holdings Ltd.,None,0.00014759999999999998,None,None
Babcock International Group plc,None,0.00014759999999999998,None,None
TS Tech Co. Ltd.,None,0.00014759999999999998,None,None
L'Occitane International SA,None,0.00014759999999999998,None,None
Nippon Paper Industries Co. Ltd.,None,0.00014670000000000002,None,None
Sankyo Co. Ltd.,None,0.00014670000000000002,None,None
China Life Insurance Co. Ltd. Class A,None,0.00014607000000000004,China,Financials
Kobe Steel Ltd.,None,0.00014490000000000003,None,None
Fujikura Ltd.,None,0.00014490000000000003,None,None
Salvatore Ferragamo SPA,None,0.00014490000000000003,None,None
Wanda Film Holding Co. Ltd. Class A,None,0.00014472000000000004,China,Communication Services
Platinum Asset Management Ltd.,None,0.000144,None,None
ZTE Corporation Class A,None,0.00014373,China,Information Technology
Offshore Oil Engineering Co. Ltd. Class A,None,0.00014328000000000002,China,Energy
Amot Investments Ltd.,None,0.00014220000000000001,None,None
Jiangsu Zhongtian Technology Co. Ltd. Class A,None,0.00014148000000000003,China,Industrials
Hitachi Capital Corp.,None,0.0001404,None,None
Fuyao Glass Industry Group Co. Ltd. Class A,None,0.00013914000000000003,China,Consumer Discretionary
NTN Corp.,None,0.0001386,None,None
Electrolux Professional AB Class B,None,0.0001386,None,None
AIB Group plc,None,0.00013769999999999999,None,None
Canon Marketing Japan Inc.,None,0.00013769999999999999,None,None
Shikun & Binui Ltd.,None,0.00013680000000000002,None,None
Autobacs Seven Co. Ltd.,None,0.00013590000000000002,None,None
Hyundai Motor Co. 2nd Preference Shares,None,0.000135,None,None
Air France-KLM,None,0.000135,None,None
China Meheco Group Co. Ltd. Class A,None,0.00013383,China,Industrials
Weichai Power Co. Ltd. Class A,None,0.00013347,China,Industrials
Maeda Road Construction Co. Ltd.,None,0.00013320000000000004,None,None
Kawasaki Kisen Kaisha Ltd.,None,0.00013320000000000004,None,None
BAIC BluePark New Energy Technology Co. Ltd. Class A,None,0.00013311000000000003,China,Consumer Discretionary
Megmilk Snow Brand Co. Ltd.,None,0.00013230000000000002,None,None
AEON Financial Service Co. Ltd.,None,0.00013230000000000002,None,None
Tangshan Jidong Cement Co. Ltd. Class A,None,0.00013185,China,Materials
Nissan Shatai Co. Ltd.,None,0.0001314,None,None
Shanghai Jahwa United Co. Ltd. Class A,None,0.00013131000000000002,China,Consumer Staples
Ottogi Corp.,None,0.0001305,None,None
Shandong Nanshan Aluminium Co. Ltd. Class A,None,0.00013041000000000002,China,Materials
Dah Sing Financial Holdings Ltd.,None,0.0001296,None,None
Cathay Pacific Airways Ltd.,None,0.0001287,None,None
Shapir Engineering and Industry Ltd.,None,0.00012780000000000002,None,None
Glory Ltd.,None,0.0001269,None,None
Sanrio Co. Ltd.,None,0.0001269,None,None
RHB Bank Bhd.,None,0.00012600000000000003,Malaysia,Financials
Shanxi Lu'An Environmental Energy Development Co. Ltd. Class A,None,0.00012537000000000003,China,Energy
Flight Centre Travel Group Ltd.,None,0.0001251,None,None
Seb SA Frf20(Prime Fidelite)(Regd),None,0.0001242,None,None
Ald SA,None,0.00012330000000000002,None,None
Chengdu Xingrong Environment Co. Ltd. Class A,None,0.00012312000000000003,China,Utilities
Olam International Ltd.,None,0.0001224,None,None
Kissei Pharmaceutical Co. Ltd.,None,0.0001224,None,None
Orient Corp.,None,0.00012060000000000002,None,None
Jilin Aodong Pharmaceutical Group Co. Ltd. Class A,None,0.00011979,China,Health Care
Yamato Kogyo Co. Ltd.,None,0.00011880000000000001,None,None
China East Education Holdings Limited,None,0.00011664000000000002,China,Consumer Discretionary
Jiangxi Copper Company Limited Class A,None,0.0001161,China,Materials
Yuzhou Group Holdings Co. Ltd.,None,0.00011565,China,Real Estate
Citizen Watch Co. Ltd.,None,0.00011520000000000001,None,None
Husky Energy Inc.,None,0.00011430000000000001,None,None
Resorttrust Inc.,None,0.00011430000000000001,None,None
NH Investment & Securities Co. Ltd.,None,0.00011430000000000001,None,None
China Gezhouba Group Company Limited Class A,None,0.00011367,China,Industrials
Nisshinbo Holdings Inc.,None,0.00011340000000000003,None,None
BTG Hotels (Group) Co Ltd Shs -A-,None,0.00011223,China,Consumer Discretionary
Hunan Valin Steel Co. Ltd. Class A,None,0.00011124,China,Materials
Japan Aviation Electronics Industry Ltd.,None,0.00011070000000000002,None,None
