FTSE Emerging Markets UCITS ETF - (USD) Accumulating (VFEA)
As of 31 July 2020
Holding name,% of funds,Market value,Shares
Gold Fields Ltd.,"=""0.20108%""","$4,187,797","320,450.00"
Agricultural Bank of China Ltd. Class H,"=""0.20070%""","$4,179,892","11,780,000.00"
Cathay Financial Holding Co. Ltd.,"=""0.19947%""","$4,154,286","3,073,175.00"
Tatneft PJSC,"=""0.19806%""","$4,124,894","555,771.00"
Geely Automobile Holdings Ltd.,"=""0.19707%""","$4,104,339","1,951,500.00"
E.Sun Financial Holding Co. Ltd.,"=""0.19640%""","$4,090,334","4,421,560.00"
China Petroleum & Chemical Corp. Class H,"=""0.19624%""","$4,086,964","9,540,600.00"
CSPC Pharmaceutical Group Ltd.,"=""0.19528%""","$4,066,947","1,938,478.00"
China Resources Beer Holdings Co. Ltd.,"=""0.19302%""","$4,019,904","578,016.00"
Malayan Banking Bhd.,"=""0.19266%""","$4,012,383","2,218,058.00"
Tenaga Nasional Bhd.,"=""0.18846%""","$3,924,945","1,454,700.00"
FirstRand Ltd.,"=""0.18749%""","$3,904,790","1,712,872.00"
Fubon Financial Holding Co. Ltd.,"=""0.18649%""","$3,884,045","2,725,297.00"
Grupo Financiero Banorte SAB de CV,"=""0.18482%""","$3,849,114","1,071,629.00"
Top Glove Corp. Bhd.,"=""0.18326%""","$3,816,690","625,300.00"
HCL Technologies Ltd.,"=""0.18213%""","$3,793,154","402,404.00"
Magazine Luiza SA,"=""0.18188%""","$3,788,043","244,329.00"
Maruti Suzuki India Ltd.,"=""0.18017%""","$3,752,251","44,823.00"
NIO Inc. ADR,"=""0.17273%""","$3,597,450","301,294.00"
Telekomunikasi Indonesia Persero Tbk PT,"=""0.17205%""","$3,583,311","17,152,900.00"
Weg SA,"=""0.17081%""","$3,557,397","274,968.00"
Country Garden Holdings Co. Ltd.,"=""0.17025%""","$3,545,726","2,761,818.00"
Vipshop Holdings Ltd.,"=""0.16792%""","$3,497,290","153,592.00"
Anhui Conch Cement Co. Ltd. Class H,"=""0.16523%""","$3,441,140","455,500.00"
Itausa - Investimentos Itau SA Preference Shares,"=""0.16375%""","$3,410,270","1,663,841.00"
ENN Energy Holdings Ltd.,"=""0.16196%""","$3,373,043","278,400.00"
ASE Technology Holding Co. Ltd.,"=""0.15585%""","$3,245,857","1,257,748.00"
SM Investments Corp.,"=""0.15369%""","$3,200,805","176,742.00"
Longfor Group Holdings Ltd.,"=""0.15305%""","$3,187,466","645,000.00"
Shenzhou International Group Holdings Ltd.,"=""0.15112%""","$3,147,306","263,700.00"
China Tower Corp. Ltd. Class H,"=""0.14988%""","$3,121,528","17,157,777.00"
Wuliangye Yibin Co. Ltd. Class A,"=""0.14908%""","$3,104,805","99,600.00"
China Steel Corp.,"=""0.14879%""","$3,098,859","4,584,825.00"
United Microelectronics Corp.,"=""0.14836%""","$3,089,914","4,050,000.00"
OTP Bank Nyrt,"=""0.14618%""","$3,044,533","85,354.00"
Standard Bank Group Ltd.,"=""0.14531%""","$3,026,366","474,498.00"
First Financial Holding Co. Ltd.,"=""0.14155%""","$2,948,067","3,659,413.00"
Grupo Mexico SAB de CV Class B,"=""0.14120%""","$2,940,618","1,157,676.00"
Formosa Chemicals & Fibre Corp.,"=""0.14063%""","$2,928,769","1,272,950.00"
Ping An Insurance Group Co. of China Ltd. Class A,"=""0.13988%""","$2,913,185","267,800.00"
Airports of Thailand PCL (Foreign),"=""0.13874%""","$2,889,582","1,749,600.00"
Emirates Telecommunications Group Co. PJSC,"=""0.13850%""","$2,884,537","636,739.00"
China Gas Holdings Ltd.,"=""0.13835%""","$2,881,450","958,447.00"
Bajaj Finance Ltd.,"=""0.13775%""","$2,868,880","66,013.00"
Innovent Biologics Inc.,"=""0.13724%""","$2,858,158","466,343.00"
ITC Ltd.,"=""0.13654%""","$2,843,571","1,095,723.00"
Sun Pharmaceutical Industries Ltd.,"=""0.13601%""","$2,832,656","398,567.00"
China Pacific Insurance Group Co. Ltd. Class H,"=""0.13505%""","$2,812,695","971,000.00"
Kuwait Finance House KSCP,"=""0.13402%""","$2,791,088","1,474,496.00"
Country Garden Services Holdings Co. Ltd.,"=""0.13374%""","$2,785,384","461,760.00"
Tencent Music Entertainment Group ADR,"=""0.13329%""","$2,775,967","171,993.00"
Taiwan Cement Corp.,"=""0.13287%""","$2,767,201","1,801,417.00"
Quanta Computer Inc.,"=""0.13086%""","$2,725,317","976,000.00"
Bank Mandiri Persero Tbk PT,"=""0.13081%""","$2,724,292","6,857,700.00"
PetroChina Co. Ltd. Class H,"=""0.12886%""","$2,683,683","7,732,000.00"
Hotai Motor Co. Ltd.,"=""0.12849%""","$2,675,929","117,000.00"
Astra International Tbk PT,"=""0.12673%""","$2,639,375","7,482,500.00"
Hartalega Holdings Bhd.,"=""0.12365%""","$2,575,177","538,400.00"
China Merchants Bank Co. Ltd. Class A,"=""0.12345%""","$2,571,128","515,500.00"
China Conch Venture Holdings Ltd.,"=""0.12316%""","$2,565,108","597,000.00"
Siam Cement PCL (Foreign),"=""0.12288%""","$2,559,121","208,900.00"
Taiwan Cooperative Financial Holding Co. Ltd.,"=""0.12201%""","$2,541,013","3,478,397.00"
Natura & Co. Holding SA,"=""0.12107%""","$2,521,444","279,042.00"
Yuanta Financial Holding Co. Ltd.,"=""0.12085%""","$2,516,861","4,096,121.00"
Samba Financial Group,"=""0.12043%""","$2,508,249","364,610.00"
GDS Holdings Ltd. ADR,"=""0.11933%""","$2,485,136","30,952.00"
Riyad Bank,"=""0.11863%""","$2,470,578","546,969.00"
BYD Co. Ltd. Class H,"=""0.11819%""","$2,461,597","257,635.00"
Asian Paints Ltd.,"=""0.11592%""","$2,414,300","105,287.00"
Advanced Info Service PCL (Foreign),"=""0.11583%""","$2,412,283","406,600.00"
Bilibili Inc. ADR,"=""0.11544%""","$2,404,265","55,169.00"
Impala Platinum Holdings Ltd.,"=""0.11515%""","$2,398,105","270,657.00"
Hua Nan Financial Holdings Co. Ltd.,"=""0.11165%""","$2,325,259","3,388,920.00"
UltraTech Cement Ltd.,"=""0.11073%""","$2,306,183","41,904.00"
Sanlam Ltd.,"=""0.11042%""","$2,299,612","643,965.00"
Bangkok Dusit Medical Services PCL,"=""0.11032%""","$2,297,493","3,241,700.00"
Lojas Renner SA,"=""0.11006%""","$2,292,260","290,130.00"
MTN Group Ltd.,"=""0.11003%""","$2,291,647","659,856.00"
China Vanke Co. Ltd. Class H,"=""0.10939%""","$2,278,253","723,644.00"
