FTSE Emerging Markets UCITS ETF - (USD) Accumulating (VFEA)
As of 31 July 2020
Holding name,% of funds,Market value,Shares
Aurobindo Pharma Ltd.,"=""0.05455%""","$1,136,089","97,180.00"
PPB Group Bhd.,"=""0.05436%""","$1,132,100","243,660.00"
Charoen Pokphand Indonesia Tbk PT,"=""0.05429%""","$1,130,648","2,651,800.00"
Kasikornbank PCL (Foreign),"=""0.05407%""","$1,126,064","433,500.00"
Cipla Ltd./India,"=""0.05399%""","$1,124,498","116,818.00"
Shanghai Pudong Development Bank Co. Ltd. Class A,"=""0.05324%""","$1,108,719","746,700.00"
China Resources Cement Holdings Ltd.,"=""0.05319%""","$1,107,842","810,000.00"
CIFI Holdings Group Co. Ltd.,"=""0.05312%""","$1,106,387","1,232,000.00"
PTT Global Chemical PCL,"=""0.05296%""","$1,103,010","731,800.00"
AU Optronics Corp.,"=""0.05281%""","$1,099,788","3,225,000.00"
Harmony Gold Mining Co. Ltd.,"=""0.05270%""","$1,097,556","169,940.00"
Sinopharm Group Co. Ltd. Class H,"=""0.05268%""","$1,097,091","460,600.00"
ICICI Bank Ltd.,"=""0.05262%""","$1,095,816","236,392.00"
Vanguard International Semiconductor Corp.,"=""0.05259%""","$1,095,168","337,000.00"
Shoprite Holdings Ltd.,"=""0.05254%""","$1,094,271","178,197.00"
Aspen Pharmacare Holdings Ltd.,"=""0.05214%""","$1,085,932","139,626.00"
Cogna Educacao,"=""0.05198%""","$1,082,629","680,670.00"
Bandhan Bank Ltd.,"=""0.05191%""","$1,081,011","234,347.00"
Guangzhou Automobile Group Co. Ltd. Class H,"=""0.05184%""","$1,079,633","1,129,200.00"
Britannia Industries Ltd.,"=""0.05151%""","$1,072,678","20,988.00"
Home Product Center PCL,"=""0.05149%""","$1,072,421","2,143,639.00"
JSW Steel Ltd.,"=""0.05139%""","$1,070,177","363,508.00"
Walsin Technology Corp.,"=""0.05120%""","$1,066,378","178,000.00"
NTPC Ltd.,"=""0.05092%""","$1,060,457","911,902.00"
Brilliance China Automotive Holdings Ltd.,"=""0.05080%""","$1,057,988","1,034,000.00"
Momo Inc. ADR,"=""0.05068%""","$1,055,505","57,147.00"
Unimicron Technology Corp.,"=""0.05048%""","$1,051,382","479,000.00"
Hypera SA,"=""0.05021%""","$1,045,619","150,700.00"
Grupo Aeroportuario del Pacifico SAB de CV Class B,"=""0.04997%""","$1,040,707","154,000.00"
Ultrapar Participacoes SA,"=""0.04977%""","$1,036,537","284,900.00"
CITIC Securities Co. Ltd. Class A,"=""0.04971%""","$1,035,273","241,100.00"
Divi's Laboratories Ltd.,"=""0.04961%""","$1,033,120","29,539.00"
Inter RAO UES PJSC,"=""0.04948%""","$1,030,579","13,247,046.00"
Falabella SA,"=""0.04946%""","$1,030,069","288,759.00"
AK Transneft OAO Preference Shares,"=""0.04907%""","$1,021,878",563.00
Grasim Industries Ltd.,"=""0.04897%""","$1,019,912","120,531.00"
Capitec Bank Holdings Ltd.,"=""0.04863%""","$1,012,737","19,506.00"
BTS Group Holdings PCL,"=""0.04858%""","$1,011,690","3,004,477.00"
BYD Electronic International Co. Ltd.,"=""0.04853%""","$1,010,655","288,500.00"
Remgro Ltd.,"=""0.04851%""","$1,010,394","186,149.00"
MultiChoice Group,"=""0.04848%""","$1,009,710","162,900.00"
Shanghai Fosun Pharmaceutical Group Co. Ltd. Class H,"=""0.04839%""","$1,007,844","213,124.00"
Etihad Etisalat Co.,"=""0.04836%""","$1,007,255","138,121.00"
Lupin Ltd.,"=""0.04794%""","$998,401","80,614.00"
Northam Platinum Ltd.,"=""0.04774%""","$994,162","126,310.00"
Sul America SA,"=""0.04746%""","$988,513","101,499.00"
Zhen Ding Technology Holding Ltd.,"=""0.04735%""","$986,192","214,000.00"
Empresas CMPC SA,"=""0.04719%""","$982,852","443,596.00"
Banco Santander Chile,"=""0.04711%""","$981,226","22,539,609.00"
Cosan SA,"=""0.04703%""","$979,400","56,400.00"
China Yangtze Power Co. Ltd. Class A,"=""0.04700%""","$978,880","371,796.00"
VTB Bank PJSC,"=""0.04683%""","$975,323","1,879,054,514.00"
People's Insurance Co. Group of China Ltd. Class H,"=""0.04663%""","$971,232","2,987,000.00"
China Communications Construction Co. Ltd. Class H,"=""0.04661%""","$970,643","1,668,000.00"
MISC Bhd.,"=""0.04661%""","$970,805","521,700.00"
China Taiping Insurance Holdings Co. Ltd.,"=""0.04648%""","$968,044","546,036.00"
Intouch Holdings PCL,"=""0.04641%""","$966,540","531,086.00"
MOL Hungarian Oil & Gas plc,"=""0.04626%""","$963,342","163,429.00"
Ecopetrol SA,"=""0.04624%""","$963,018","1,726,182.00"
Hapvida Participacoes e Investimentos SA,"=""0.04622%""","$962,648","76,932.00"
Info Edge India Ltd.,"=""0.04613%""","$960,651","22,498.00"
Kuala Lumpur Kepong Bhd.,"=""0.04611%""","$960,283","174,000.00"
Moscow Exchange MICEX-RTS PJSC,"=""0.04602%""","$958,425","534,710.00"
Ping An Bank Co. Ltd. Class A,"=""0.04594%""","$956,729","500,400.00"
Bidvest Group Ltd.,"=""0.04592%""","$956,308","123,444.00"
Cia de Minas Buenaventura SAA ADR,"=""0.04553%""","$948,231","79,952.00"
Compal Electronics Inc.,"=""0.04542%""","$946,044","1,486,000.00"
Indian Oil Corp. Ltd.,"=""0.04516%""","$940,486","795,479.00"
Coal India Ltd.,"=""0.04510%""","$939,200","543,628.00"
China International Capital Corp. Ltd. Class H,"=""0.04508%""","$938,825","397,600.00"
Inventec Corp.,"=""0.04506%""","$938,517","1,099,735.00"
Kunlun Energy Co. Ltd.,"=""0.04480%""","$933,096","1,116,000.00"
Gruma SAB de CV Class B,"=""0.04471%""","$931,231","79,210.00"
Energy Absolute PCL,"=""0.04449%""","$926,589","611,500.00"
Brf SA,"=""0.04428%""","$922,112","231,900.00"
Fosun International Ltd.,"=""0.04427%""","$921,947","809,204.00"
Mesaieed Petrochemical Holding Co.,"=""0.04387%""","$913,646","1,595,484.00"
Bangkok Expressway & Metro PCL,"=""0.04383%""","$912,856","3,216,400.00"
PLDT Inc.,"=""0.04360%""","$907,985","33,300.00"
Digital Telecommunications Infrastructure Fund,"=""0.04344%""","$904,797","1,868,465.00"
Shree Cement Ltd.,"=""0.04343%""","$904,577","3,117.00"
China Resources Power Holdings Co. Ltd.,"=""0.04334%""","$902,563","708,000.00"
Cia Energetica de Minas Gerais Preference Shares,"=""0.04312%""","$898,096","389,609.00"
Bank of the Philippine Islands,"=""0.04297%""","$894,879","644,838.00"
TIM Participacoes SA,"=""0.04296%""","$894,632","295,700.00"
Vedanta Ltd.,"=""0.04276%""","$890,537","585,442.00"
Totvs SA,"=""0.04276%""","$890,638","179,500.00"
Grupo Televisa SAB,"=""0.04236%""","$882,204","784,370.00"
Energisa SA,"=""0.04226%""","$880,145","93,222.00"
China Biologic Products Holdings Inc.,"=""0.04214%""","$877,600","8,252.00"
Emaar Properties PJSC,"=""0.04211%""","$877,053","1,253,521.00"
China Longyuan Power Group Corp. Ltd. Class H,"=""0.04202%""","$875,087","1,222,000.00"
Fibra Uno Administracion SA de CV,"=""0.04202%""","$875,180","1,079,600.00"
Cencosud SA,"=""0.04195%""","$873,730","501,378.00"
Beijing Enterprises Water Group Ltd.,"=""0.04193%""","$873,212","2,057,011.00"
China Vanke Co. Ltd. Class A,"=""0.04182%""","$870,909","226,399.00"
Chongqing Zhifei Biological Products Co. Ltd. Class A,"=""0.04173%""","$869,053","32,600.00"
Severstal PAO,"=""0.04170%""","$868,463","70,903.00"
CGN Power Co. Ltd. Class H,"=""0.04166%""","$867,558","4,125,000.00"
Polyus PJSC,"=""0.04163%""","$866,926","3,794.00"
Jarir Marketing Co.,"=""0.04163%""","$867,070","21,507.00"
Pou Chen Corp.,"=""0.04160%""","$866,436","956,000.00"
Innolux Corp.,"=""0.04158%""","$866,068","3,056,751.00"
Discovery Ltd.,"=""0.04139%""","$861,960","132,438.00"
ZTE Corp. Class H,"=""0.04139%""","$861,963","291,720.00"
Eclat Textile Co. Ltd.,"=""0.04125%""","$859,103","72,737.00"
Taiwan High Speed Rail Corp.,"=""0.04121%""","$858,233","755,000.00"
Turkcell Iletisim Hizmetleri AS,"=""0.04117%""","$857,522","402,764.00"
Cia Brasileira de Distribuicao,"=""0.04113%""","$856,520","62,801.00"
China Galaxy Securities Co. Ltd. Class H,"=""0.04102%""","$854,288","1,430,000.00"
Qatar Electricity & Water Co. QSC,"=""0.04083%""","$850,347","183,202.00"
Commercial Bank PSQC,"=""0.04049%""","$843,235","743,394.00"
Bank AlBilad,"=""0.04048%""","$843,086","134,435.00"
Petronas Gas Bhd.,"=""0.04047%""","$842,774","212,700.00"
Bank Negara Indonesia Persero Tbk PT,"=""0.04031%""","$839,468","2,664,400.00"
Growthpoint Properties Ltd.,"=""0.04019%""","$837,027","1,072,500.00"
SINA Corp./China,"=""0.04004%""","$833,994","20,669.00"
Enel Chile SA,"=""0.03997%""","$832,489","9,693,891.00"
China Feihe Ltd.,"=""0.03988%""","$830,533","432,000.00"
Interconexion Electrica SA ESP,"=""0.03984%""","$829,691","161,113.00"
Wiwynn Corp.,"=""0.03984%""","$829,644","31,000.00"
Feng TAY Enterprise Co. Ltd.,"=""0.03978%""","$828,581","138,307.00"
Inner Mongolia Yili Industrial Group Co. Ltd. Class A,"=""0.03958%""","$824,327","157,017.00"
Shandong Gold Mining Co. Ltd. Class A,"=""0.03935%""","$819,491","132,941.00"
Krung Thai Bank PCL (Foreign),"=""0.03930%""","$818,427","2,590,925.00"
United Spirits Ltd.,"=""0.03922%""","$816,729","105,130.00"
Alrosa PJSC,"=""0.03899%""","$811,979","882,140.00"
Qatar Fuel QSC,"=""0.03893%""","$810,819","183,366.00"
Press Metal Aluminium Holdings Bhd.,"=""0.03885%""","$809,216","708,900.00"
Bharti Infratel Ltd.,"=""0.03885%""","$809,163","315,125.00"
KWG Group Holdings Ltd.,"=""0.03877%""","$807,502","453,500.00"
Minor International PCL (Foreign),"=""0.03876%""","$807,157","1,382,921.00"
Marico Ltd.,"=""0.03869%""","$805,821","165,870.00"
Coca-Cola Femsa SAB de CV,"=""0.03867%""","$805,271","193,300.00"
Hong Leong Bank Bhd.,"=""0.03859%""","$803,774","227,200.00"
Arca Continental SAB de CV,"=""0.03856%""","$803,054","159,604.00"
East Money Information Co. Ltd. Class A,"=""0.03852%""","$802,327","209,900.00"
China Everbright International Ltd.,"=""0.03848%""","$801,494","1,296,814.00"
Agility Public Warehousing Co. KSC,"=""0.03840%""","$799,714","381,551.00"
Universal Robina Corp.,"=""0.03836%""","$798,873","320,750.00"
Kingboard Holdings Ltd.,"=""0.03834%""","$798,428","273,200.00"
LONGi Green Energy Technology Co. Ltd. Class A,"=""0.03811%""","$793,722","97,500.00"
Pidilite Industries Ltd.,"=""0.03809%""","$793,313","43,736.00"
Anhui Conch Cement Co. Ltd. Class A,"=""0.03804%""","$792,261","90,000.00"
Nedbank Group Ltd.,"=""0.03782%""","$787,562","127,750.00"
United Tractors Tbk PT,"=""0.03776%""","$786,440","537,800.00"
Itau Unibanco Holding SA,"=""0.03776%""","$786,346","164,400.00"
Nestle Malaysia Bhd.,"=""0.03731%""","$776,981","23,200.00"
Wanhua Chemical Group Co. Ltd. Class A,"=""0.03726%""","$775,945","80,100.00"
Dongfeng Motor Group Co. Ltd. Class H,"=""0.03714%""","$773,399","1,080,000.00"
Banco Santander Brasil SA,"=""0.03714%""","$773,403","134,700.00"
China State Construction Engineering Corp. Ltd. Class A,"=""0.03711%""","$772,820","1,072,000.00"
Piramal Enterprises Ltd.,"=""0.03692%""","$768,837","39,038.00"
Turkiye Garanti Bankasi AS,"=""0.03672%""","$764,767","760,355.00"
International Container Terminal Services Inc.,"=""0.03670%""","$764,279","389,220.00"
ZhongAn Online P&C Insurance Co. Ltd. Class H,"=""0.03669%""","$764,158","127,500.00"
Cheng Shin Rubber Industry Co. Ltd.,"=""0.03664%""","$763,000","658,371.00"
Qatar Gas Transport Co. Ltd.,"=""0.03659%""","$762,001","991,228.00"
Synnex Technology International Corp.,"=""0.03651%""","$760,289","508,500.00"
China Life Insurance Co. Ltd./Taiwan,"=""0.03638%""","$757,637","1,093,330.00"
Sinotruk Hong Kong Ltd.,"=""0.03628%""","$755,642","242,500.00"
Bank of China Ltd. Class A,"=""0.03603%""","$750,309","1,572,100.00"
Jiangsu Yanghe Brewery Joint-Stock Co. Ltd. Class A,"=""0.03587%""","$747,016","38,594.00"
Bancolombia SA,"=""0.03581%""","$745,839","103,759.00"
Genting Bhd.,"=""0.03575%""","$744,501","824,200.00"
GF Securities Co. Ltd. Class H,"=""0.03567%""","$742,941","619,800.00"
Changchun High & New Technology Industry Group Inc. Class A,"=""0.03557%""","$740,808","10,400.00"
Weibo Corp. ADR,"=""0.03555%""","$740,483","21,426.00"
Electricity Generating PCL (Foreign),"=""0.03533%""","$735,720","96,800.00"
Jumbo SA,"=""0.03530%""","$735,136","37,428.00"
Foxconn Technology Co. Ltd.,"=""0.03529%""","$734,877","397,193.00"
Ambuja Cements Ltd.,"=""0.03522%""","$733,614","249,357.00"
China Railway Group Ltd. Class H,"=""0.03509%""","$730,871","1,445,000.00"
Acer Inc.,"=""0.03494%""","$727,733","1,050,176.00"
NEPI Rockcastle plc,"=""0.03482%""","$725,230","138,777.00"
Kalbe Farma Tbk PT,"=""0.03462%""","$721,079","6,727,000.00"
Akbank T.A.S.,"=""0.03461%""","$720,718","959,971.00"
Bupa Arabia for Cooperative Insurance Co.,"=""0.03461%""","$720,844","22,642.00"
Novolipetsk Steel PJSC,"=""0.03449%""","$718,275","366,458.00"
Industrias Penoles SAB de CV,"=""0.03434%""","$715,178","47,815.00"
YDUQS Participacoes SA,"=""0.03429%""","$714,152","109,700.00"
Exxaro Resources Ltd.,"=""0.03414%""","$710,995","90,118.00"
KOC Holding AS,"=""0.03405%""","$709,064","306,055.00"
Hindalco Industries Ltd.,"=""0.03399%""","$707,827","324,674.00"
SPAR Group Ltd.,"=""0.03381%""","$704,068","72,663.00"
Mr Price Group Ltd.,"=""0.03371%""","$702,069","94,367.00"
Havells India Ltd.,"=""0.03351%""","$697,808","89,522.00"
Genscript Biotech Corp.,"=""0.03351%""","$697,995","322,000.00"
Indofood Sukses Makmur Tbk PT,"=""0.03338%""","$695,230","1,573,700.00"
Bradespar SA Preference Shares,"=""0.03335%""","$694,648","84,000.00"
Alibaba Pictures Group Ltd.,"=""0.03332%""","$693,969","4,980,000.00"
ICICI Prudential Life Insurance Co. Ltd.,"=""0.03328%""","$693,211","114,673.00"
Gamuda Bhd.,"=""0.03322%""","$691,933","824,100.00"
Semen Indonesia Persero Tbk PT,"=""0.03310%""","$689,284","1,090,900.00"
51job Inc. ADR,"=""0.03296%""","$686,470","10,113.00"
Huaneng Power International Inc. Class H,"=""0.03293%""","$685,900","1,606,000.00"
Sime Darby Bhd.,"=""0.03286%""","$684,335","1,331,000.00"
Poly Developments and Holdings Group Co. Ltd. Class A,"=""0.03271%""","$681,258","304,699.00"
TravelSky Technology Ltd. Class H,"=""0.03259%""","$678,653","353,000.00"
A-Living Services Co. Ltd. Class H,"=""0.03253%""","$677,402","120,000.00"
Petronas Dagangan Bhd.,"=""0.03238%""","$674,410","133,000.00"
Chicony Electronics Co. Ltd.,"=""0.03228%""","$672,326","226,645.00"
Seazen Group Ltd.,"=""0.03224%""","$671,552","708,117.00"
Aier Eye Hospital Group Co. Ltd. Class A,"=""0.03213%""","$669,114","103,059.00"
Logan Group Co. Ltd.,"=""0.03209%""","$668,385","386,000.00"
RHB Bank Bhd.,"=""0.03201%""","$666,670","563,084.00"
Agile Group Holdings Ltd.,"=""0.03199%""","$666,203","525,250.00"
Zhuzhou CRRC Times Electric Co. Ltd. Class H,"=""0.03198%""","$666,120","189,800.00"
Sany Heavy Industry Co. Ltd. Class A,"=""0.03166%""","$659,267","217,900.00"
SF Holding Co. Ltd. Class A,"=""0.03163%""","$658,647","64,799.00"
Dubai Islamic Bank PJSC,"=""0.03163%""","$658,705","641,783.00"
Opap SA,"=""0.03158%""","$657,738","72,900.00"
SAIC Motor Corp. Ltd. Class A,"=""0.03154%""","$656,867","252,097.00"
Kumba Iron Ore Ltd.,"=""0.03152%""","$656,366","20,322.00"
Centrais Eletricas Brasileiras SA Preference Shares,"=""0.03131%""","$652,183","88,300.00"
Petronet LNG Ltd.,"=""0.03131%""","$652,111","196,837.00"
Shanghai Pharmaceuticals Holding Co. Ltd. Class H,"=""0.03125%""","$650,876","366,600.00"
Hindustan Petroleum Corp. Ltd.,"=""0.03109%""","$647,553","225,326.00"
Taiwan Business Bank,"=""0.03101%""","$645,838","1,873,219.00"
Beijing Enterprises Holdings Ltd.,"=""0.03089%""","$643,390","184,000.00"
Foshan Haitian Flavouring & Food Co. Ltd. Class A,"=""0.03078%""","$641,124","29,806.00"
Aldar Properties PJSC,"=""0.03078%""","$640,999","1,360,974.00"
China Lesso Group Holdings Ltd.,"=""0.03068%""","$638,920","331,000.00"
China Minsheng Banking Corp. Ltd. Class A,"=""0.03065%""","$638,304","803,900.00"
Luzhou Laojiao Co. Ltd. Class A,"=""0.03061%""","$637,478","37,700.00"
Nanya Technology Corp.,"=""0.03054%""","$635,964","307,430.00"
Anhui Gujing Distillery Co. Ltd. Class B,"=""0.03045%""","$634,264","57,500.00"
Wingtech Technology Co. Ltd. Class A,"=""0.03034%""","$631,975","29,000.00"
China Molybdenum Co. Ltd. Class H,"=""0.03029%""","$630,820","1,557,000.00"
Qatar International Islamic Bank QSC,"=""0.03016%""","$628,073","278,540.00"
Nine Dragons Paper Holdings Ltd.,"=""0.03005%""","$625,762","598,000.00"
Barwa Real Estate Co.,"=""0.02994%""","$623,640","717,432.00"
QL Resources Bhd.,"=""0.02955%""","$615,525","267,400.00"
China Pacific Insurance Group Co. Ltd. Class A,"=""0.02953%""","$614,963","145,400.00"
Tiger Brands Ltd.,"=""0.02951%""","$614,694","59,363.00"
China Life Insurance Co. Ltd. Class A,"=""0.02951%""","$614,508","117,500.00"
Contemporary Amperex Technology Co. Ltd. Class A,"=""0.02949%""","$614,228","20,199.00"
Far East Horizon Ltd.,"=""0.02949%""","$614,111","746,000.00"
Henan Shuanghui Investment & Development Co. Ltd. Class A,"=""0.02944%""","$613,068","78,300.00"
Komercni banka as,"=""0.02943%""","$612,939","26,440.00"
Muthoot Finance Ltd.,"=""0.02939%""","$612,122","35,951.00"
Jinxin Fertility Group Ltd.,"=""0.02936%""","$611,489","438,000.00"
Atacadao SA,"=""0.02933%""","$610,791","141,696.00"
Jubilant Foodworks Ltd.,"=""0.02918%""","$607,737","26,427.00"
Grupo Aeroportuario del Sureste SAB de CV Class B,"=""0.02914%""","$606,789","60,385.00"
CRRC Corp. Ltd. Class H,"=""0.02909%""","$605,823","1,393,250.00"
Alfa SAB de CV Class A,"=""0.02906%""","$605,152","1,111,717.00"
Indorama Ventures PCL,"=""0.02898%""","$603,624","752,900.00"
Bank of Ningbo Co. Ltd. Class A,"=""0.02897%""","$603,295","145,300.00"
Eneva SA,"=""0.02876%""","$598,929","61,900.00"
Bank of Communications Co. Ltd. Class A,"=""0.02876%""","$598,918","877,900.00"
China Aoyuan Group Ltd.,"=""0.02872%""","$598,178","475,000.00"
Gudang Garam Tbk PT,"=""0.02871%""","$597,989","174,700.00"
Delta Electronics Thailand PCL,"=""0.02861%""","$595,845","163,700.00"
Woolworths Holdings Ltd./South Africa,"=""0.02857%""","$594,965","319,304.00"
Land & Houses PCL,"=""0.02857%""","$594,928","2,506,940.00"
Boubyan Bank KSCP,"=""0.02850%""","$593,531","341,308.00"
Grupo Energia Bogota SA ESP,"=""0.02848%""","$593,216","965,812.00"
Banco de Credito e Inversiones SA,"=""0.02848%""","$593,052","16,625.00"
Teco Electric and Machinery Co. Ltd.,"=""0.02844%""","$592,384","638,000.00"
Yanzhou Coal Mining Co. Ltd. Class H,"=""0.02841%""","$591,714","758,000.00"
GOME Retail Holdings Ltd.,"=""0.02841%""","$591,634","4,094,000.00"
China Railway Construction Corp. Ltd. Class H,"=""0.02840%""","$591,429","740,500.00"
Biocon Ltd.,"=""0.02838%""","$591,012","107,947.00"
Promotora y Operadora de Infraestructura SAB de CV,"=""0.02835%""","$590,427","80,316.00"
CSC Financial Co. Ltd. Class H,"=""0.02829%""","$589,231","393,000.00"
Orbia Advance Corp. SAB de CV,"=""0.02825%""","$588,404","370,016.00"
China Communications Services Corp. Ltd. Class H,"=""0.02824%""","$588,134","908,000.00"
Shriram Transport Finance Co. Ltd.,"=""0.02821%""","$587,442","63,573.00"
Topsports International Holdings Ltd.,"=""0.02812%""","$585,642","487,000.00"
Guotai Junan Securities Co. Ltd. Class A,"=""0.02811%""","$585,342","221,000.00"
Berger Paints India Ltd.,"=""0.02807%""","$584,571","83,064.00"
Haidilao International Holding Ltd.,"=""0.02805%""","$584,185","127,000.00"
China Cinda Asset Management Co. Ltd. Class H,"=""0.02801%""","$583,420","3,097,000.00"
Tongcheng-Elong Holdings Ltd.,"=""0.02798%""","$582,730","317,600.00"
Ooredoo QPSC,"=""0.02762%""","$575,225","312,596.00"
Saudi Kayan Petrochemical Co.,"=""0.02757%""","$574,103","264,836.00"
Shanxi Xinghuacun Fen Wine Factory Co. Ltd. Class A,"=""0.02742%""","$571,035","22,093.00"
Epistar Corp.,"=""0.02724%""","$567,219","366,000.00"
Yonyou Network Technology Co. Ltd. Class A,"=""0.02723%""","$567,091","84,150.00"
CRRC Corp. Ltd. Class A,"=""0.02719%""","$566,318","676,600.00"
Zee Entertainment Enterprises Ltd.,"=""0.02717%""","$565,898","305,126.00"
Cia Siderurgica Nacional SA,"=""0.02712%""","$564,755","240,000.00"
JD.com Inc. Class A,"=""0.02712%""","$564,793","18,178.00"
Intouch Holdings PCL,"=""0.02705%""","$563,269","309,500.00"
Bangkok Bank PCL (Foreign),"=""0.02697%""","$561,597","176,000.00"
PSG Group Ltd.,"=""0.02696%""","$561,401","61,961.00"
Genting Malaysia Bhd.,"=""0.02695%""","$561,289","1,043,800.00"
China Merchants Port Holdings Co. Ltd.,"=""0.02693%""","$560,798","490,000.00"
Klabin SA,"=""0.02685%""","$559,183","140,900.00"
Kasikornbank PCL,"=""0.02684%""","$559,006","215,200.00"
China Hongqiao Group Ltd.,"=""0.02681%""","$558,389","972,500.00"
Osotspa PCL,"=""0.02681%""","$558,398","409,700.00"
Eregli Demir ve Celik Fabrikalari TAS,"=""0.02679%""","$557,990","509,750.00"
Jiangxi Copper Co. Ltd. Class H,"=""0.02676%""","$557,359","468,000.00"
Grupo Financiero Inbursa SAB de CV,"=""0.02675%""","$557,107","770,300.00"
BR Malls Participacoes SA,"=""0.02675%""","$557,120","292,955.00"
Shenzhen International Holdings Ltd.,"=""0.02664%""","$554,922","340,250.00"
BOE Technology Group Co. Ltd. Class A,"=""0.02662%""","$554,329","828,200.00"
Engie Brasil Energia SA,"=""0.02638%""","$549,432","61,950.00"
AU Small Finance Bank Ltd.,"=""0.02635%""","$548,821","55,451.00"
Torrent Pharmaceuticals Ltd.,"=""0.02633%""","$548,332","15,401.00"
Tupras Turkiye Petrol Rafinerileri AS,"=""0.02626%""","$546,986","46,247.00"
Tata Motors Ltd.,"=""0.02625%""","$546,730","390,848.00"
AviChina Industry & Technology Co. Ltd. Class H,"=""0.02608%""","$543,074","913,000.00"
Infraestructura Energetica Nova SAB de CV,"=""0.02606%""","$542,820","182,519.00"
Zoomlion Heavy Industry Science and Technology Co. Ltd. Class H,"=""0.02604%""","$542,420","526,800.00"
Shenzhen Kangtai Biological Products Co. Ltd. Class A,"=""0.02600%""","$541,424","16,800.00"
Indofood CBP Sukses Makmur Tbk PT,"=""0.02581%""","$537,633","853,200.00"
China Medical System Holdings Ltd.,"=""0.02579%""","$537,129","443,329.00"
Cyrela Brazil Realty SA Empreendimentos e Participacoes,"=""0.02577%""","$536,728","101,900.00"
China Merchants Securities Co. Ltd. Class A,"=""0.02577%""","$536,734","173,940.00"
Indah Kiat Pulp & Paper Corp. Tbk PT,"=""0.02575%""","$536,384","1,004,000.00"
Fuyao Glass Industry Group Co. Ltd. Class H,"=""0.02575%""","$536,347","192,000.00"
GAIL India Ltd.,"=""0.02556%""","$532,316","412,042.00"
BYD Co. Ltd. Class A,"=""0.02556%""","$532,368","43,500.00"
Taiwan Fertilizer Co. Ltd.,"=""0.02552%""","$531,438","279,000.00"
Rand Merchant Investment Holdings Ltd.,"=""0.02552%""","$531,447","284,498.00"
3SBio Inc.,"=""0.02547%""","$530,545","436,500.00"
Grupo Aeroportuario del Centro Norte SAB de CV,"=""0.02541%""","$529,268","126,500.00"
Life Healthcare Group Holdings Ltd.,"=""0.02532%""","$527,241","516,883.00"
ZTE Corp. Class A,"=""0.02520%""","$524,900","93,499.00"
Aselsan Elektronik Sanayi Ve Ticaret AS,"=""0.02517%""","$524,108","103,744.00"
Advanced Petrochemical Co.,"=""0.02513%""","$523,445","38,119.00"
Walsin Lihwa Corp.,"=""0.02513%""","$523,293","1,072,000.00"
HAP Seng Consolidated Bhd.,"=""0.02501%""","$520,958","246,800.00"
HDFC Asset Management Co. Ltd.,"=""0.02485%""","$517,583","16,003.00"
China United Network Communications Ltd. Class A,"=""0.02470%""","$514,389","706,500.00"
Cia de Saneamento do Parana,"=""0.02462%""","$512,816","87,100.00"
GMexico Transportes SAB de CV,"=""0.02461%""","$512,484","441,500.00"
Manila Electric Co.,"=""0.02458%""","$511,893","94,930.00"
Krungthai Card PCL,"=""0.02458%""","$511,900","519,100.00"
Poly Property Services Co. Ltd.,"=""0.02455%""","$511,384","48,600.00"
GoerTek Inc. Class A,"=""0.02447%""","$509,707","83,287.00"
Sahara International Petrochemical Co.,"=""0.02439%""","$507,907","130,828.00"
TMB Bank PCL,"=""0.02438%""","$507,697","16,664,496.00"
China Literature Ltd.,"=""0.02437%""","$507,515","77,200.00"
China Oilfield Services Ltd. Class H,"=""0.02436%""","$507,285","652,000.00"
Mouwasat Medical Services Co.,"=""0.02435%""","$507,217","17,452.00"
Abdullah Al Othaim Markets Co.,"=""0.02435%""","$507,108","16,063.00"
Bumrungrad Hospital PCL (Foreign),"=""0.02433%""","$506,727","138,000.00"
Cia Paranaense de Energia Preference Shares,"=""0.02431%""","$506,221","39,700.00"
New Hope Liuhe Co. Ltd. Class A,"=""0.02428%""","$505,704","108,500.00"
Ratchaburi Electricity Generating Holding PCL (Foreign),"=""0.02428%""","$505,669","263,900.00"
Tata Steel Ltd.,"=""0.02409%""","$501,625","102,451.00"
Thai Oil PCL (Foreign),"=""0.02406%""","$501,185","372,100.00"
Kimberly-Clark de Mexico SAB de CV Class A,"=""0.02403%""","$500,408","303,500.00"
Haitian International Holdings Ltd.,"=""0.02398%""","$499,507","217,000.00"
China Everbright Ltd.,"=""0.02397%""","$499,187","312,000.00"
Jiangsu Expressway Co. Ltd. Class H,"=""0.02389%""","$497,515","464,000.00"
AMMB Holdings Bhd.,"=""0.02383%""","$496,283","725,600.00"
China Everbright Bank Co. Ltd. Class A,"=""0.02382%""","$496,090","915,700.00"
Yangzijiang Shipbuilding Holdings Ltd.,"=""0.02377%""","$495,033","741,900.00"
Shenwan Hongyuan Group Co. Ltd. Class A,"=""0.02374%""","$494,418","591,711.00"
Guangzhou R&F Properties Co. Ltd. Class H,"=""0.02352%""","$489,927","425,200.00"
Co for Cooperative Insurance,"=""0.02343%""","$488,013","22,457.00"
Siemens Ltd.,"=""0.02340%""","$487,389","31,378.00"
Grupo de Inversiones Suramericana SA,"=""0.02328%""","$484,742","93,159.00"
Shanghai International Airport Co. Ltd. Class A,"=""0.02323%""","$483,876","49,700.00"
InterGlobe Aviation Ltd.,"=""0.02317%""","$482,561","36,844.00"
