Fund Name:,SPDR® MSCI Emerging Markets UCITS ETF,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ISIN:,IE00B469F816,,,,,,,,
Ticker Symbol:,SPYM GY,,,,,,,,
Holdings As Of:,27-Aug-2020,,,,,,,,
,,,,,,,,,
ISIN,SEDOL,Security Name,Currency,Number of Shares,Percent Of Fund,Trade Country Name,Local Price,Sector Classification,Industry Classification
CNE100000GR6,BD5CLQ4,Aier Eye Hospital Group Co. Ltd. Class A,CNY,17446,0.030170,China,50.510,Health Care,Health Care Providers & Services
HK0285041858,B29SHS5,BYD Electronic (International) Co. Ltd.,HKD,36500,0.029898,China,26.950,Information Technology,Communications Equipment
INE079A01024,B09QQ11,Ambuja Cements Limited,INR,42033,0.029745,India,221.750,Materials,Construction Materials
MYL1961OO001,B1Y3WG1,IOI Corp. Bhd.,MYR,116200,0.029454,Malaysia,4.490,Consumer Staples,Food Products
CNE1000004J3,6321954,TravelSky Technology Ltd. Class H,HKD,64000,0.029450,China,15.140,Information Technology,It Services
TH0465010R13,6368553,Electricity Generating Public Co. Ltd. NVDR,THB,17500,0.029303,Thailand,222.000,Utilities,Independent Power And Renewable Electricity Producers
CNE100000BP1,BD5CNT1,GoerTek Inc. Class A,CNY,20200,0.029220,China,42.250,Information Technology,Electronic Equipment Instruments & Components
CNE0000011B7,BP3R2B7,Shanghai Pudong Development Bank Co. Ltd. Class A,CNY,82100,0.029093,China,10.350,Financials,Banks
INE854D01024,BYWFSB7,United Spirits Limited,INR,15968,0.029051,India,570.100,Consumer Staples,Beverages
CNE100001FR6,BRTL411,LONGi Green Energy Technology Co Ltd Class A,CNY,14000,0.029047,China,60.600,Information Technology,Semiconductors & Semiconductor Equipment
MX01OR010004,BH3T8K8,Orbia Advance Corp. SAB de CV,MXN,73621,0.029010,Mexico,36.880,Materials,Chemicals
ID1000062201,6462422,PT Indah Kiat Pulp & Paper Tbk,IDR,191900,0.028907,Indonesia,9375.000,Materials,Paper & Forest Products
BRBRMLACNOR9,B1RYG58,BR Malls Participacoes S.A.,BRL,72738,0.028820,Brazil,9.420,Real Estate,Real Estate Management & Development
KYG216771363,B0BM5T8,China State Construction International Holdings Limited,HKD,153500,0.028692,China,6.150,Industrials,Construction & Engineering
CNE100002Q33,BFY8HT2,Shenzhen Kangtai Biological Products Co. Ltd. Class A,CNY,4200,0.028520,China,198.330,Health Care,Biotechnology
KYG555551095,BH6X937,Logan Group Co. Ltd.,HKD,64000,0.028478,China,14.640,Real Estate,Real Estate Management & Development
KR7071050009,6654586,KOREA INVESTMENT HOLDINGS CO LTD,KRW,2377,0.028396,South Korea,60100.000,Financials,Capital Markets
SA000A0LE310,B1P6WF8,Advanced Petrochemical Co.,SAR,8006,0.028259,Saudi Arabia,56.200,Materials,Chemicals
CNE100002MR0,BHQPSJ2,Ovctek China Inc. Class A,CNY,13010,0.028223,China,63.360,Health Care,Health Care Equipment & Supplies
TRATCELL91M1,B03MYN3,Turkcell Iletisim Hizmetleri A.S.,TRY,60302,0.028183,Turkey,14.620,Communication Services,Wireless Telecommunication Services
HK0392044647,6081690,Beijing Enterprises Holdings Limited,HKD,36500,0.028123,China,25.350,Utilities,Gas Utilities
CNE100001NT6,B92NYF2,China Galaxy Securities Co. Ltd. Class H,HKD,194700,0.028050,China,4.740,Financials,Capital Markets
CNE0000007J8,BD5CDB3,Changchun High & New Technology Industry (Group) Inc. Class A,CNY,1800,0.027974,China,453.910,Health Care,Pharmaceuticals
TW0001476000,6345783,Eclat Textile Co. Ltd.,TWD,9172,0.027973,Taiwan,380.000,Consumer Discretionary,Textiles Apparel & Luxury Goods
CNE100000X44,B4Q1Y57,Chongqing Rural Commercial Bank Co. Ltd. Class H,HKD,276000,0.027850,China,3.320,Financials,Banks
ZAE000145892,B4K90R1,Life Healthcare Group Holdings Limited,ZAR,116882,0.027406,South Africa,16.930,Health Care,Health Care Providers & Services
INE256A01028,6188535,Zee Entertainment Enterprises Limited,INR,40787,0.027288,India,209.650,Communication Services,Media
CNE000000VB0,BD5CNF7,New Hope Liuhe Co. Ltd. Class A,CNY,21300,0.027260,China,37.380,Consumer Staples,Food Products
ID1000061302,6454861,PT Indocement Tunggal Prakarsa Tbk,IDR,139000,0.027248,Indonesia,12200.000,Materials,Construction Materials
KYG8875G1029,BY9D3L9,3SBio Inc.,HKD,97500,0.027234,China,9.190,Health Care,Biotechnology
INE765G01017,BYXH7P9,ICICI Lombard General Insurance Co. Ltd.,INR,6669,0.027190,India,1277.600,Financials,Insurance
CNE000001F70,BP3R3H0,Sany Heavy Industry Co. Ltd. Class A,CNY,35000,0.027178,China,22.680,Industrials,Machinery
RU000A0JP5V6,B1WMD67,VTB Bank PJSC,USD,242522350,0.027135,Russia,0.000,Financials,Banks
