FTSE Developed World UCITS ETF - (USD) Distributing (VDEV)
As of 31 August 2020
Holding name,% of funds,Market value,Shares
Schlumberger Ltd.,"=""0.05351%""","$390,579","20,546.00"
Aflac Inc.,"=""0.05334%""","$389,350","10,720.00"
E.On Se,"=""0.05316%""","$388,018","32,739.00"
Celltrion Inc.,"=""0.05309%""","$387,533","1,550.00"
Best Buy Co. Inc.,"=""0.05291%""","$386,189","3,482.00"
Marvell Technology Group Ltd.,"=""0.05279%""","$385,357","9,937.00"
Williams Cos. Inc.,"=""0.05278%""","$385,264","18,558.00"
American International Group Inc.,"=""0.05277%""","$385,173","13,218.00"
American Water Works Co. Inc.,"=""0.05272%""","$384,869","2,723.00"
Palo Alto Networks Inc.,"=""0.05247%""","$383,026","1,488.00"
Xilinx Inc.,"=""0.05237%""","$382,267","3,670.00"
Phillips 66,"=""0.05229%""","$381,692","6,528.00"
Fujitsu Ltd.,"=""0.05213%""","$380,540","2,920.00"
Seven & i Holdings Co. Ltd.,"=""0.05189%""","$378,765","11,700.00"
Hilton Worldwide Holdings Inc.,"=""0.05153%""","$376,169","4,163.00"
Stanley Black & Decker Inc.,"=""0.05151%""","$375,990","2,331.00"
Dassault Systemes SE,"=""0.05144%""","$375,485","1,989.00"
Okta Inc.,"=""0.05122%""","$373,882","1,736.00"
Goodman Group,"=""0.05120%""","$373,722","27,599.00"
Alexion Pharmaceuticals Inc.,"=""0.05106%""","$372,700","3,263.00"
Glencore plc,"=""0.05103%""","$372,504","164,444.00"
Paychex Inc.,"=""0.05077%""","$370,574","4,846.00"
McKesson Corp.,"=""0.05076%""","$370,558","2,415.00"
Consolidated Edison Inc.,"=""0.05067%""","$369,898","5,185.00"
Suncor Energy Inc.,"=""0.05064%""","$369,654","23,012.00"
Skyworks Solutions Inc.,"=""0.05052%""","$368,788","2,546.00"
Rwe AG,"=""0.05048%""","$368,502","9,253.00"
M3 Inc.,"=""0.05043%""","$368,128","6,358.00"
Archer-Daniels-Midland Co.,"=""0.05035%""","$367,569","8,212.00"
LafargeHolcim Ltd.,"=""0.05033%""","$367,374","7,711.00"
SoftBank Corp.,"=""0.05021%""","$366,519","27,912.00"
State Street Corp.,"=""0.05021%""","$366,528","5,383.00"
Sun Life Financial Inc.,"=""0.05016%""","$366,137","8,763.00"
Match Group Inc.,"=""0.05003%""","$365,194","3,270.00"
Corning Inc.,"=""0.04989%""","$364,169","11,219.00"
Wheaton Precious Metals Corp.,"=""0.04985%""","$363,871","6,806.00"
Welltower Inc.,"=""0.04981%""","$363,584","6,321.00"
DR Horton Inc.,"=""0.04956%""","$361,775","5,069.00"
SWISS RE AG,"=""0.04944%""","$360,921","4,474.00"
Atlassian Corp. plc Class A,"=""0.04944%""","$360,892","1,882.00"
Eisai Co. Ltd.,"=""0.04907%""","$358,211","4,100.00"
East Japan Railway Co.,"=""0.04900%""","$357,711","5,500.00"
Ferrari NV,"=""0.04864%""","$355,031","1,819.00"
Align Technology Inc.,"=""0.04858%""","$354,594","1,194.00"
Church & Dwight Co. Inc.,"=""0.04857%""","$354,571","3,700.00"
Amadeus IT Group SA,"=""0.04844%""","$353,611","6,303.00"
Aptiv plc,"=""0.04843%""","$353,523","4,105.00"
Mettler-Toledo International Inc.,"=""0.04841%""","$353,364",364.00
Canadian Natural Resources Ltd.,"=""0.04803%""","$350,579","17,760.00"
Bayerische Motoren Werke AG,"=""0.04799%""","$350,330","4,870.00"
AMETEK Inc.,"=""0.04779%""","$348,825","3,464.00"
Freeport-McMoRan Inc.,"=""0.04762%""","$347,635","22,270.00"
BAE Systems plc,"=""0.04743%""","$346,196","49,761.00"
Vivendi SA,"=""0.04731%""","$345,377","12,134.00"
Legrand SA,"=""0.04724%""","$344,837","4,125.00"
Neste Oyj,"=""0.04720%""","$344,533","6,429.00"
Marathon Petroleum Corp.,"=""0.04713%""","$343,997","9,701.00"
Cerner Corp.,"=""0.04712%""","$343,959","4,688.00"
Coloplast A/S Class B,"=""0.04706%""","$343,500","2,020.00"
Shiseido Co. Ltd.,"=""0.04703%""","$343,334","5,900.00"
AvalonBay Communities Inc.,"=""0.04692%""","$342,516","2,167.00"
Kraft Heinz Co.,"=""0.04674%""","$341,184","9,737.00"
Eni SPA,"=""0.04664%""","$340,478","36,499.00"
DTE Energy Co.,"=""0.04663%""","$340,346","2,868.00"
Japan Tobacco Inc.,"=""0.04661%""","$340,247","18,200.00"
Dollar Tree Inc.,"=""0.04658%""","$340,026","3,532.00"
Heineken NV,"=""0.04656%""","$339,865","3,664.00"
Weyerhaeuser Co.,"=""0.04650%""","$339,442","11,199.00"
Ferguson plc,"=""0.04645%""","$339,046","3,433.00"
Wolters Kluwer NV,"=""0.04619%""","$337,189","4,098.00"
Oversea-Chinese Banking Corp. Ltd.,"=""0.04613%""","$336,699","52,800.00"
RingCentral Inc. Class A,"=""0.04605%""","$336,130","1,156.00"
Constellation Software Inc./Canada,"=""0.04604%""","$336,081",290.00
VeriSign Inc.,"=""0.04576%""","$334,014","1,555.00"
Capgemini SE,"=""0.04554%""","$332,398","2,396.00"
Orange SA,"=""0.04536%""","$331,142","29,677.00"
Hershey Co.,"=""0.04531%""","$330,724","2,225.00"
PPL Corp.,"=""0.04519%""","$329,875","11,939.00"
Genmab A/S,"=""0.04511%""","$329,291",870.00
Cellnex Telecom SA,"=""0.04508%""","$329,082","5,126.00"
Realty Income Corp.,"=""0.04505%""","$328,883","5,302.00"
Fortive Corp.,"=""0.04483%""","$327,235","4,538.00"
Corteva Inc.,"=""0.04472%""","$326,412","11,433.00"
Sandvik AB,"=""0.04459%""","$325,486","16,533.00"
VF Corp.,"=""0.04439%""","$324,016","4,928.00"
Assa Abloy AB Class B,"=""0.04418%""","$322,506","13,908.00"
Copart Inc.,"=""0.04418%""","$322,462","3,121.00"
Valero Energy Corp.,"=""0.04413%""","$322,166","6,126.00"
Alexandria Real Estate Equities Inc.,"=""0.04408%""","$321,774","1,911.00"
Essity AB Class B,"=""0.04394%""","$320,720","9,295.00"
Simon Property Group Inc.,"=""0.04371%""","$319,099","4,703.00"
Olympus Corp.,"=""0.04361%""","$318,358","16,084.00"
Equity Residential,"=""0.04359%""","$318,209","5,637.00"
Nutrien Ltd.,"=""0.04320%""","$315,343","8,505.00"
UniCredit SPA,"=""0.04287%""","$312,929","31,716.00"
Lennar Corp. Class A,"=""0.04273%""","$311,925","4,169.00"
Yum China Holdings Inc.,"=""0.04272%""","$311,865","5,404.00"
FleetCor Technologies Inc.,"=""0.04247%""","$310,038","1,233.00"
Fortescue Metals Group Ltd.,"=""0.04245%""","$309,900","24,055.00"
Equifax Inc.,"=""0.04244%""","$309,785","1,841.00"
Sampo Oyj Class A,"=""0.04219%""","$307,951","7,634.00"
Assicurazioni Generali SPA,"=""0.04217%""","$307,847","19,793.00"
Agnico Eagle Mines Ltd.,"=""0.04205%""","$306,951","3,719.00"
Flutter Entertainment plc,"=""0.04183%""","$305,334","1,842.00"
Samsung SDI Co. Ltd.,"=""0.04164%""","$303,978",798.00
Deutsche Bank AG,"=""0.04163%""","$303,905","31,665.00"
Kerry Group plc Class A,"=""0.04150%""","$302,970","2,303.00"
Geberit AG,"=""0.04134%""","$301,797",522.00
Entergy Corp.,"=""0.04125%""","$301,088","3,037.00"
Cie Generale des Etablissements Michelin SCA,"=""0.04124%""","$301,008","2,660.00"
Banco Bilbao Vizcaya Argentaria SA,"=""0.04076%""","$297,535","101,421.00"
Arthur J Gallagher & Co.,"=""0.04074%""","$297,367","2,824.00"
Panasonic Corp.,"=""0.04068%""","$296,934","32,200.00"
Seattle Genetics Inc.,"=""0.04067%""","$296,888","1,875.00"
Kubota Corp.,"=""0.04060%""","$296,389","16,400.00"
Komatsu Ltd.,"=""0.04048%""","$295,482","13,600.00"
Old Dominion Freight Line Inc.,"=""0.04035%""","$294,576","1,457.00"
Take-Two Interactive Software Inc.,"=""0.04022%""","$293,591","1,715.00"
First Republic Bank/CA,"=""0.04011%""","$292,776","2,593.00"
Cie de Saint-Gobain,"=""0.03999%""","$291,905","7,183.00"
Ameriprise Financial Inc.,"=""0.03982%""","$290,707","1,854.00"
Edison International,"=""0.03972%""","$289,952","5,525.00"
Ameren Corp.,"=""0.03960%""","$289,068","3,654.00"
Yandex NV Class A,"=""0.03951%""","$288,408","4,227.00"
Republic Services Inc. Class A,"=""0.03944%""","$287,896","3,105.00"
Newcrest Mining Ltd.,"=""0.03925%""","$286,492","12,121.00"
Hyundai Motor Co.,"=""0.03924%""","$286,465","1,928.00"
United Overseas Bank Ltd.,"=""0.03922%""","$286,293","19,900.00"
STMicroelectronics NV,"=""0.03911%""","$285,489","9,469.00"
Conagra Brands Inc.,"=""0.03906%""","$285,130","7,433.00"
Deutsche Wohnen SE,"=""0.03903%""","$284,928","5,337.00"
Teleflex Inc.,"=""0.03887%""","$283,710",722.00
Secom Co. Ltd.,"=""0.03885%""","$283,606","3,000.00"
Hexagon AB Class B,"=""0.03874%""","$282,808","3,894.00"
Sun Hung Kai Properties Ltd.,"=""0.03868%""","$282,343","21,000.00"
Akamai Technologies Inc.,"=""0.03865%""","$282,110","2,423.00"
Chocoladefabriken Lindt & Spruengli AG,"=""0.03863%""","$282,009",33.00
National Bank of Canada,"=""0.03860%""","$281,748","5,120.00"
Denso Corp.,"=""0.03858%""","$281,596","6,700.00"
Otsuka Holdings Co. Ltd.,"=""0.03850%""","$281,058","6,400.00"
Akzo Nobel NV,"=""0.03840%""","$280,317","2,826.00"
Telefonica SA,"=""0.03837%""","$280,092","70,734.00"
Fresenius SE & Co. KGaA,"=""0.03812%""","$278,278","5,997.00"
Maxim Integrated Products Inc.,"=""0.03800%""","$277,387","4,053.00"
Amcor plc,"=""0.03796%""","$277,091","24,731.00"
Tyson Foods Inc. Class A,"=""0.03783%""","$276,132","4,397.00"
Bridgestone Corp.,"=""0.03777%""","$275,739","8,700.00"
Kakao Corp.,"=""0.03774%""","$275,468",804.00
Suzuki Motor Corp.,"=""0.03764%""","$274,773","6,700.00"
MarketAxess Holdings Inc.,"=""0.03761%""","$274,556",565.00
Teleperformance,"=""0.03759%""","$274,422",888.00
Fortis Inc./Canada,"=""0.03745%""","$273,352","6,827.00"
Keysight Technologies Inc.,"=""0.03736%""","$272,703","2,768.00"
Mitsubishi Estate Co. Ltd.,"=""0.03735%""","$272,621","17,400.00"
Citrix Systems Inc.,"=""0.03732%""","$272,395","1,876.00"
Merck KGaA,"=""0.03728%""","$272,111","2,002.00"
Atlas Copco AB Class B,"=""0.03721%""","$271,600","6,745.00"
Z Holdings Corp.,"=""0.03689%""","$269,249","40,500.00"
Fortinet Inc.,"=""0.03682%""","$268,762","2,036.00"
Kellogg Co.,"=""0.03680%""","$268,607","3,788.00"
Tractor Supply Co.,"=""0.03662%""","$267,299","1,796.00"
CMS Energy Corp.,"=""0.03661%""","$267,245","4,418.00"
Incyte Corp.,"=""0.03647%""","$266,215","2,763.00"
Henkel AG & Co. KGaA Preference Shares,"=""0.03615%""","$263,897","2,579.00"
SSE plc,"=""0.03612%""","$263,666","15,641.00"
Smith & Nephew plc,"=""0.03608%""","$263,371","12,928.00"
FUJIFILM Holdings Corp.,"=""0.03585%""","$261,710","5,500.00"
Las Vegas Sands Corp.,"=""0.03584%""","$261,613","5,159.00"
Fresenius Medical Care AG & Co. KGaA,"=""0.03579%""","$261,241","3,074.00"
CK Hutchison Holdings Ltd.,"=""0.03576%""","$261,066","39,868.00"
Pioneer Natural Resources Co.,"=""0.03572%""","$260,760","2,509.00"
Aeon Co. Ltd.,"=""0.03566%""","$260,309","10,500.00"
Symrise AG Class A,"=""0.03561%""","$259,939","1,881.00"
Daiwa House Industry Co. Ltd.,"=""0.03559%""","$259,822","9,700.00"
Legal & General Group plc,"=""0.03555%""","$259,525","89,198.00"
LyondellBasell Industries NV Class A,"=""0.03539%""","$258,319","3,945.00"
Kyocera Corp.,"=""0.03539%""","$258,301","4,500.00"
Coles Group Ltd.,"=""0.03526%""","$257,354","19,627.00"
Swedbank AB Class A,"=""0.03523%""","$257,152","15,127.00"
CarMax Inc.,"=""0.03522%""","$257,060","2,404.00"
Mitsui Fudosan Co. Ltd.,"=""0.03522%""","$257,098","14,200.00"
Kansas City Southern,"=""0.03519%""","$256,858","1,411.00"
Unicharm Corp.,"=""0.03517%""","$256,708","5,900.00"
Partners Group Holding AG,"=""0.03505%""","$255,836",251.00
Canon Inc.,"=""0.03503%""","$255,680","14,800.00"
Laboratory Corp. of America Holdings,"=""0.03489%""","$254,662","1,449.00"
Shimano Inc.,"=""0.03480%""","$254,043","1,200.00"
Sysmex Corp.,"=""0.03468%""","$253,150","2,900.00"
Dnb ASA,"=""0.03457%""","$252,337","15,619.00"
Galaxy Entertainment Group Ltd.,"=""0.03453%""","$252,073","32,000.00"
Discover Financial Services,"=""0.03448%""","$251,705","4,742.00"
UPM-Kymmene Oyj,"=""0.03430%""","$250,406","8,240.00"
Link REIT,"=""0.03414%""","$249,184","31,300.00"
CGI Inc.,"=""0.03405%""","$248,572","3,535.00"
Dai-ichi Life Holdings Inc.,"=""0.03381%""","$246,779","16,300.00"
TransUnion,"=""0.03379%""","$246,632","2,844.00"
Dover Corp.,"=""0.03366%""","$245,712","2,237.00"
CLP Holdings Ltd.,"=""0.03365%""","$245,640","25,000.00"
CDW Corp./DE,"=""0.03340%""","$243,779","2,145.00"
Ashtead Group plc,"=""0.03329%""","$242,972","6,966.00"
Equinor ASA,"=""0.03325%""","$242,734","14,876.00"
Varian Medical Systems Inc.,"=""0.03317%""","$242,096","1,394.00"
Garmin Ltd.,"=""0.03309%""","$241,515","2,331.00"
Techtronic Industries Co. Ltd.,"=""0.03305%""","$241,234","19,000.00"
WW Grainger Inc.,"=""0.03289%""","$240,088",657.00
ORIX Corp.,"=""0.03279%""","$239,355","19,200.00"
CBRE Group Inc. Class A,"=""0.03275%""","$239,053","5,083.00"
Nasdaq Inc.,"=""0.03274%""","$238,999","1,778.00"
Broadridge Financial Solutions Inc.,"=""0.03271%""","$238,801","1,738.00"
Masco Corp.,"=""0.03269%""","$238,622","4,093.00"
FirstEnergy Corp.,"=""0.03250%""","$237,211","8,297.00"
Ventas Inc.,"=""0.03249%""","$237,164","5,755.00"
Restaurant Brands International Inc.,"=""0.03233%""","$235,992","4,351.00"
Domino's Pizza Inc.,"=""0.03227%""","$235,561",576.00
Northern Trust Corp.,"=""0.03216%""","$234,779","2,867.00"
Vulcan Materials Co.,"=""0.03204%""","$233,880","1,949.00"
Imperial Brands plc,"=""0.03199%""","$233,486","13,917.00"
KBC Group NV,"=""0.03197%""","$233,380","4,057.00"
Delivery Hero SE,"=""0.03196%""","$233,298","2,167.00"
Shionogi & Co. Ltd.,"=""0.03192%""","$233,001","4,200.00"
Tiffany & Co.,"=""0.03180%""","$232,138","1,895.00"
Zebra Technologies Corp.,"=""0.03179%""","$232,089",810.00
Invitation Homes Inc.,"=""0.03175%""","$231,731","8,094.00"
Hologic Inc.,"=""0.03160%""","$230,698","3,863.00"
Nitori Holdings Co. Ltd.,"=""0.03152%""","$230,072","1,100.00"
ViacomCBS Inc. Class B,"=""0.03151%""","$229,985","8,258.00"
Nomura Holdings Inc.,"=""0.03151%""","$230,031","44,800.00"
Intact Financial Corp.,"=""0.03143%""","$229,463","2,140.00"
Healthpeak Properties Inc.,"=""0.03126%""","$228,196","8,256.00"
Cooper Cos. Inc.,"=""0.03114%""","$227,297",723.00
Paycom Software Inc.,"=""0.03110%""","$226,991",758.00
Ocado Group plc,"=""0.03107%""","$226,780","6,783.00"
Segro plc,"=""0.03100%""","$226,318","17,740.00"
Hong Kong & China Gas Co. Ltd.,"=""0.03078%""","$224,671","154,365.00"
CK Asset Holdings Ltd.,"=""0.03078%""","$224,717","41,368.00"
Alnylam Pharmaceuticals Inc.,"=""0.03076%""","$224,560","1,693.00"
Cardinal Health Inc.,"=""0.03072%""","$224,258","4,418.00"
Air Liquide SA Loyalty Line 2021,"=""0.03071%""","$224,168","1,348.00"
Quest Diagnostics Inc.,"=""0.03065%""","$223,704","2,011.00"
Aviva plc,"=""0.03065%""","$223,714","59,102.00"
SGS SA-REG,"=""0.03059%""","$223,297",86.00
Synchrony Financial,"=""0.03057%""","$223,116","8,993.00"
L'Oreal Loyalty Line 2021,"=""0.03049%""","$222,539",672.00
Hormel Foods Corp.,"=""0.03046%""","$222,324","4,361.00"
Kirin Holdings Co. Ltd.,"=""0.03044%""","$222,175","11,300.00"
Ucb SA,"=""0.03036%""","$221,617","1,862.00"
Sumitomo Corp.,"=""0.03019%""","$220,345","17,000.00"
Fisher & Paykel Healthcare Corp. Ltd.,"=""0.03019%""","$220,351","8,847.00"
Markel Corp.,"=""0.03008%""","$219,540",202.00
Sun Communities Inc.,"=""0.03004%""","$219,297","1,471.00"
Liberty Broadband Corp.,"=""0.03002%""","$219,101","1,564.00"
AmerisourceBergen Corp. Class A,"=""0.03001%""","$219,094","2,258.00"
Fifth Third Bancorp,"=""0.02994%""","$218,583","10,580.00"
International Paper Co.,"=""0.02983%""","$217,765","6,004.00"
Japan Exchange Group Inc.,"=""0.02982%""","$217,674","8,400.00"
Expeditors International of Washington Inc.,"=""0.02978%""","$217,351","2,459.00"
Nice Ltd.,"=""0.02976%""","$217,219",948.00
Duke Realty Corp.,"=""0.02971%""","$216,882","5,626.00"
Qorvo Inc.,"=""0.02968%""","$216,648","1,689.00"
Rogers Communications Inc. Class B,"=""0.02962%""","$216,215","5,192.00"
Xylem Inc./NY,"=""0.02960%""","$216,085","2,695.00"
Sartorius AG Preference Shares,"=""0.02955%""","$215,678",508.00
Swisscom AG,"=""0.02951%""","$215,448",388.00
Hartford Financial Services Group Inc.,"=""0.02947%""","$215,154","5,319.00"
Zalando SE,"=""0.02945%""","$215,006","2,458.00"
Nippon Paint Holdings Co. Ltd.,"=""0.02939%""","$214,532","2,500.00"
FMC Corp.,"=""0.02935%""","$214,254","2,005.00"
EDP - Energias de Portugal SA,"=""0.02935%""","$214,242","42,230.00"
Halliburton Co.,"=""0.02921%""","$213,236","13,179.00"
Omron Corp.,"=""0.02911%""","$212,485","2,900.00"
BioMarin Pharmaceutical Inc.,"=""0.02910%""","$212,398","2,722.00"
Svenska Handelsbanken AB Class A,"=""0.02907%""","$212,179","21,030.00"
STERIS plc,"=""0.02904%""","$212,002","1,328.00"
Hennes & Mauritz AB Class B,"=""0.02902%""","$211,832","13,249.00"
Engie SA,"=""0.02901%""","$211,772","15,193.00"
Magna International Inc.,"=""0.02898%""","$211,530","4,339.00"
Swiss Life Holding AG,"=""0.02892%""","$211,073",521.00
Essex Property Trust Inc.,"=""0.02892%""","$211,097",975.00
IDEX Corp.,"=""0.02891%""","$211,049","1,171.00"
SS&C Technologies Holdings Inc.,"=""0.02889%""","$210,913","3,310.00"
Carlsberg AS Class B,"=""0.02876%""","$209,973","1,491.00"
Boston Properties Inc.,"=""0.02873%""","$209,704","2,414.00"
Pembina Pipeline Corp.,"=""0.02871%""","$209,574","8,454.00"
NVR Inc.,"=""0.02855%""","$208,417",50.00
GoDaddy Inc. Class A,"=""0.02854%""","$208,363","2,490.00"
Expedia Group Inc.,"=""0.02851%""","$208,078","2,120.00"
Woodside Petroleum Ltd.,"=""0.02846%""","$207,779","14,349.00"
Afterpay Ltd.,"=""0.02838%""","$207,134","3,063.00"
Extra Space Storage Inc.,"=""0.02813%""","$205,322","1,927.00"
Waters Corp.,"=""0.02812%""","$205,231",949.00
International Flavors & Fragrances Inc.,"=""0.02802%""","$204,501","1,652.00"
Nucor Corp.,"=""0.02792%""","$203,797","4,483.00"
Mid-America Apartment Communities Inc.,"=""0.02785%""","$203,320","1,736.00"
M&T Bank Corp.,"=""0.02783%""","$203,112","1,967.00"
Aristocrat Leisure Ltd.,"=""0.02779%""","$202,845","9,668.00"
Standard Chartered plc,"=""0.02778%""","$202,811","38,601.00"
Genuine Parts Co.,"=""0.02773%""","$202,385","2,143.00"
NortonLifeLock Inc.,"=""0.02770%""","$202,225","8,598.00"
ABIOMED Inc.,"=""0.02756%""","$201,183",654.00
Check Point Software Technologies Ltd.,"=""0.02754%""","$201,006","1,592.00"
Worldline SA/France,"=""0.02753%""","$200,989","2,182.00"
Alliant Energy Corp.,"=""0.02752%""","$200,896","3,710.00"
BCE Inc.,"=""0.02747%""","$200,542","4,661.00"
J M Smucker Co.,"=""0.02743%""","$200,220","1,666.00"
CH Robinson Worldwide Inc.,"=""0.02739%""","$199,942","2,034.00"
Asahi Group Holdings Ltd.,"=""0.02734%""","$199,577","5,700.00"
Ferrovial SA,"=""0.02725%""","$198,947","7,433.00"
Sompo Holdings Inc.,"=""0.02725%""","$198,916","5,300.00"
Kingspan Group plc,"=""0.02723%""","$198,772","2,310.00"
Toshiba Corp.,"=""0.02723%""","$198,779","6,900.00"
Arista Networks Inc.,"=""0.02721%""","$198,647",889.00
Intertek Group plc,"=""0.02709%""","$197,715","2,513.00"
Brown-Forman Corp. Class B,"=""0.02698%""","$196,974","2,692.00"
Rentokil Initial plc,"=""0.02692%""","$196,492","27,533.00"
Ono Pharmaceutical Co. Ltd.,"=""0.02686%""","$196,082","6,500.00"
Burlington Stores Inc.,"=""0.02676%""","$195,355",992.00
Subaru Corp.,"=""0.02675%""","$195,233","9,400.00"
NN Group NV,"=""0.02673%""","$195,113","5,171.00"
NEC Corp.,"=""0.02672%""","$195,040","3,700.00"
Martin Marietta Materials Inc.,"=""0.02662%""","$194,349",958.00
MS&AD Insurance Group Holdings Inc.,"=""0.02660%""","$194,135","7,000.00"
United Rentals Inc.,"=""0.02651%""","$193,516","1,093.00"
Fiat Chrysler Automobiles NV,"=""0.02651%""","$193,484","17,526.00"
Singapore Telecommunications Ltd.,"=""0.02647%""","$193,189","114,200.00"
SVB Financial Group,"=""0.02631%""","$192,046",752.00
Hess Corp.,"=""0.02629%""","$191,941","4,169.00"
Arch Capital Group Ltd.,"=""0.02628%""","$191,826","6,082.00"
China Mengniu Dairy Co. Ltd.,"=""0.02627%""","$191,725","39,000.00"
Skandinaviska Enskilda Banken AB Class A,"=""0.02622%""","$191,432","19,257.00"
Hewlett Packard Enterprise Co.,"=""0.02616%""","$190,934","19,745.00"
Hyundai Mobis Co. Ltd.,"=""0.02614%""","$190,831","1,012.00"
Trimble Inc.,"=""0.02612%""","$190,668","3,638.00"
Ulta Beauty Inc.,"=""0.02608%""","$190,388",820.00
Thomson Reuters Corp.,"=""0.02596%""","$189,479","2,476.00"
Wabtec Corp.,"=""0.02589%""","$189,002","2,840.00"
Slack Technologies Inc. Class A,"=""0.02584%""","$188,600","5,743.00"
Edenred,"=""0.02571%""","$187,693","3,627.00"
Brambles Ltd.,"=""0.02568%""","$187,464","22,857.00"
ASX Ltd.,"=""0.02566%""","$187,318","2,900.00"
TDK Corp.,"=""0.02560%""","$186,883","1,800.00"
BT Group plc,"=""0.02560%""","$186,837","133,340.00"
Societe Generale SA,"=""0.02556%""","$186,604","11,488.00"
Keurig Dr Pepper Inc.,"=""0.02551%""","$186,229","6,243.00"
3i Group plc,"=""0.02547%""","$185,904","14,802.00"
WP Carey Inc.,"=""0.02541%""","$185,495","2,674.00"
ONEOK Inc.,"=""0.02537%""","$185,215","6,740.00"
Sonova Holding AG,"=""0.02537%""","$185,206",790.00
Celanese Corp. Class A,"=""0.02536%""","$185,104","1,830.00"
Cincinnati Financial Corp.,"=""0.02528%""","$184,549","2,324.00"
Evergy Inc.,"=""0.02526%""","$184,354","3,464.00"
Leidos Holdings Inc.,"=""0.02525%""","$184,328","2,037.00"
AES Corp.,"=""0.02524%""","$184,210","10,378.00"
QBE Insurance Group Ltd.,"=""0.02515%""","$183,595","23,398.00"
Atmos Energy Corp.,"=""0.02508%""","$183,070","1,834.00"
Sumitomo Realty & Development Co. Ltd.,"=""0.02508%""","$183,056","6,200.00"
Swedish Match AB,"=""0.02495%""","$182,098","2,392.00"
Continental AG,"=""0.02489%""","$181,712","1,666.00"
Fortune Brands Home & Security Inc.,"=""0.02488%""","$181,613","2,160.00"
Exact Sciences Corp.,"=""0.02488%""","$181,599","2,412.00"
Shinhan Financial Group Co. Ltd.,"=""0.02482%""","$181,210","7,260.00"
PulteGroup Inc.,"=""0.02475%""","$180,634","4,051.00"
Credit Agricole SA,"=""0.02469%""","$180,222","17,547.00"
Bandai Namco Holdings Inc.,"=""0.02468%""","$180,134","2,900.00"
Beiersdorf AG,"=""0.02466%""","$180,019","1,555.00"
Cheniere Energy Inc.,"=""0.02465%""","$179,937","3,457.00"
Seagate Technology plc,"=""0.02460%""","$179,579","3,742.00"
Novozymes A/S,"=""0.02456%""","$179,253","3,023.00"
KeyCorp,"=""0.02446%""","$178,578","14,495.00"
E*TRADE Financial Corp.,"=""0.02445%""","$178,476","3,299.00"
KB Financial Group Inc.,"=""0.02441%""","$178,185","5,744.00"
Chr Hansen Holding A/S,"=""0.02440%""","$178,111","1,548.00"
Veolia Environnement SA,"=""0.02437%""","$177,925","7,365.00"
Royal Caribbean Cruises Ltd.,"=""0.02435%""","$177,745","2,582.00"
Darden Restaurants Inc.,"=""0.02435%""","$177,760","2,051.00"
MEIJI Holdings Co. Ltd.,"=""0.02433%""","$177,585","2,200.00"
Obic Co. Ltd.,"=""0.02427%""","$177,189","1,000.00"
Halma plc,"=""0.02419%""","$176,584","5,946.00"
Pan Pacific International Holdings Corp.,"=""0.02413%""","$176,175","7,500.00"
Dollarama Inc.,"=""0.02410%""","$175,902","4,501.00"
JB Hunt Transport Services Inc.,"=""0.02409%""","$175,816","1,251.00"
VMware Inc. Class A,"=""0.02406%""","$175,639","1,216.00"
Makita Corp.,"=""0.02405%""","$175,586","3,800.00"
Western Digital Corp.,"=""0.02399%""","$175,118","4,558.00"
Elanco Animal Health Inc.,"=""0.02391%""","$174,534","6,006.00"
Gartner Inc.,"=""0.02390%""","$174,478","1,344.00"
Teledyne Technologies Inc.,"=""0.02376%""","$173,426",553.00
Omnicom Group Inc.,"=""0.02372%""","$173,142","3,201.00"
Equity LifeStyle Properties Inc.,"=""0.02372%""","$173,149","2,612.00"
Hang Seng Bank Ltd.,"=""0.02370%""","$173,016","11,000.00"
NCSoft Corp.,"=""0.02360%""","$172,237",248.00
CenturyLink Inc.,"=""0.02355%""","$171,903","15,991.00"
Logitech International SA,"=""0.02350%""","$171,567","2,312.00"
BOC Hong Kong Holdings Ltd.,"=""0.02333%""","$170,319","60,000.00"
Sonic Healthcare Ltd.,"=""0.02328%""","$169,924","7,169.00"
Principal Financial Group Inc.,"=""0.02328%""","$169,914","4,035.00"
Snam SPA,"=""0.02325%""","$169,685","33,073.00"
Sands China Ltd.,"=""0.02321%""","$169,452","38,400.00"
Zillow Group Inc. Class C,"=""0.02320%""","$169,376","1,975.00"
Metro Inc./CN,"=""0.02318%""","$169,170","3,741.00"
Qiagen Nv,"=""0.02310%""","$168,619","3,312.00"
Just Eat Takeaway,"=""0.02304%""","$168,200","1,493.00"
Sekisui House Ltd.,"=""0.02302%""","$168,004","8,500.00"
ENEOS Holdings Inc.,"=""0.02301%""","$167,933","42,850.00"
Citizens Financial Group Inc.,"=""0.02293%""","$167,379","6,470.00"
Jacobs Engineering Group Inc.,"=""0.02275%""","$166,097","1,840.00"
Sumitomo Mitsui Trust Holdings Inc.,"=""0.02261%""","$165,069","5,700.00"
Telenor ASA,"=""0.02253%""","$164,452","10,043.00"
Persimmon plc,"=""0.02249%""","$164,177","4,680.00"
Advance Auto Parts Inc.,"=""0.02246%""","$163,969","1,049.00"
Posco,"=""0.02234%""","$163,082","1,050.00"
Regions Financial Corp.,"=""0.02234%""","$163,088","14,108.00"
NetApp Inc.,"=""0.02231%""","$162,832","3,436.00"
Brown & Brown Inc.,"=""0.02214%""","$161,611","3,483.00"
