FTSE Developed World UCITS ETF - (USD) Distributing (VDEV)
As of 31 August 2020
Holding name,% of funds,Market value,Shares
Toronto-Dominion Bank,"=""0.18882%""","$1,378,308","27,599.00"
Allianz SE,"=""0.18831%""","$1,374,607","6,332.00"
HSBC Holdings plc,"=""0.18762%""","$1,369,524","309,809.00"
Commonwealth Bank of Australia,"=""0.18746%""","$1,368,353","27,098.00"
S&P Global Inc.,"=""0.18267%""","$1,333,402","3,639.00"
BlackRock Inc.,"=""0.18152%""","$1,325,044","2,230.00"
Raytheon Technologies Corp.,"=""0.18071%""","$1,319,125","21,625.00"
Intuit Inc.,"=""0.18042%""","$1,316,972","3,813.00"
Intuitive Surgical Inc.,"=""0.17581%""","$1,283,355","1,756.00"
Unilever NV,"=""0.17572%""","$1,282,665","22,109.00"
Gilead Sciences Inc.,"=""0.17438%""","$1,272,922","19,070.00"
BHP Group Ltd.,"=""0.17289%""","$1,262,000","45,013.00"
Mondelez International Inc. Class A,"=""0.17107%""","$1,248,728","21,375.00"
Altria Group Inc.,"=""0.16908%""","$1,234,212","28,217.00"
CVS Health Corp.,"=""0.16893%""","$1,233,144","19,851.00"
Booking Holdings Inc.,"=""0.16279%""","$1,188,300",622.00
British American Tobacco plc,"=""0.16088%""","$1,174,367","34,633.00"
Caterpillar Inc.,"=""0.16068%""","$1,172,919","8,242.00"
Diageo plc,"=""0.16063%""","$1,172,539","34,896.00"
Zoetis Inc.,"=""0.15831%""","$1,155,602","7,218.00"
Iberdrola SA,"=""0.15770%""","$1,151,149","91,236.00"
Target Corp.,"=""0.15700%""","$1,146,021","7,579.00"
Prologis Inc.,"=""0.15555%""","$1,135,433","11,147.00"
Canadian National Railway Co.,"=""0.15525%""","$1,133,234","10,773.00"
Keyence Corp.,"=""0.15235%""","$1,112,132","2,700.00"
Vertex Pharmaceuticals Inc.,"=""0.15035%""","$1,097,500","3,932.00"
Anthem Inc.,"=""0.14782%""","$1,079,066","3,833.00"
BP plc,"=""0.14653%""","$1,069,629","302,368.00"
Enel SPA,"=""0.14653%""","$1,069,623","117,851.00"
Equinix Inc.,"=""0.14401%""","$1,051,197","1,331.00"
Stryker Corp.,"=""0.14298%""","$1,043,709","5,267.00"
Goldman Sachs Group Inc.,"=""0.14179%""","$1,035,003","5,052.00"
Crown Castle International Corp.,"=""0.14105%""","$1,029,618","6,307.00"
Rio Tinto plc,"=""0.14008%""","$1,022,568","16,477.00"
American Express Co.,"=""0.13902%""","$1,014,783","9,989.00"
Colgate-Palmolive Co.,"=""0.13831%""","$1,009,614","12,738.00"
Deere & Co.,"=""0.13738%""","$1,002,826","4,774.00"
TJX Cos. Inc.,"=""0.13700%""","$1,000,082","18,253.00"
Bayer AG,"=""0.13644%""","$995,947","14,994.00"
Dominion Energy Inc.,"=""0.13640%""","$995,639","12,693.00"
Becton Dickinson and Co.,"=""0.13622%""","$994,386","4,096.00"
Enbridge Inc.,"=""0.13610%""","$993,488","31,020.00"
Schneider Electric SE,"=""0.13607%""","$993,259","8,005.00"
Unilever plc,"=""0.13557%""","$989,633","16,572.00"
Hong Kong Exchanges & Clearing Ltd.,"=""0.13484%""","$984,291","19,500.00"
Berkshire Hathaway Inc. Class A,"=""0.13462%""","$982,680",3.00
