FTSE All-World UCITS ETF - (USD) Distributing (VWRD)
As of 31 July 2020
Holding name,% of funds,Market value,Shares
Fidelity National Information Services Inc.,"=""0.17592%""","$10,547,342","72,089.00"
Meituan Dianping Class B,"=""0.17505%""","$10,495,099","423,862.00"
CSL Ltd.,"=""0.17404%""","$10,434,544","53,869.00"
TOTAL SE,"=""0.17345%""","$10,399,443","280,973.00"
Gilead Sciences Inc.,"=""0.17256%""","$10,345,855","148,797.00"
Allianz SE,"=""0.17158%""","$10,287,103","49,367.00"
Charter Communications Inc. Class A,"=""0.17079%""","$10,239,900","17,655.00"
Reliance Industries Ltd.,"=""0.16956%""","$10,166,057","367,930.00"
BlackRock Inc.,"=""0.16771%""","$10,055,200","17,487.00"
Unilever NV,"=""0.16770%""","$10,054,659","169,786.00"
Diageo plc,"=""0.16730%""","$10,030,304","272,836.00"
3M Co.,"=""0.16628%""","$9,969,390","66,255.00"
Boeing Co.,"=""0.16597%""","$9,950,840","62,980.00"
S&P Global Inc.,"=""0.16562%""","$9,929,588","28,350.00"
ServiceNow Inc.,"=""0.16455%""","$9,865,750","22,463.00"
CVS Health Corp.,"=""0.16111%""","$9,659,213","153,467.00"
Raytheon Technologies Corp.,"=""0.15960%""","$9,569,001","168,825.00"
Toronto-Dominion Bank,"=""0.15778%""","$9,459,793","213,791.00"
Naspers Ltd.,"=""0.15602%""","$9,353,961","50,609.00"
Intuitive Surgical Inc.,"=""0.15569%""","$9,334,322","13,618.00"
Mondelez International Inc. Class A,"=""0.15495%""","$9,289,858","167,415.00"
BHP Group Ltd.,"=""0.15454%""","$9,265,535","351,563.00"
Prologis Inc.,"=""0.15331%""","$9,191,781","87,192.00"
Intuit Inc.,"=""0.15128%""","$9,069,777","29,604.00"
Iberdrola SA,"=""0.15127%""","$9,069,349","702,348.00"
Altria Group Inc.,"=""0.15033%""","$9,012,796","219,023.00"
Becton Dickinson and Co.,"=""0.15011%""","$9,000,067","31,990.00"
Keyence Corp.,"=""0.14998%""","$8,992,055","21,500.00"
British American Tobacco plc,"=""0.14950%""","$8,963,095","270,510.00"
Zoetis Inc.,"=""0.14265%""","$8,552,477","56,385.00"
BP plc,"=""0.14147%""","$8,481,768","2,348,646.00"
Caterpillar Inc.,"=""0.14132%""","$8,473,093","63,765.00"
Vertex Pharmaceuticals Inc.,"=""0.13966%""","$8,373,248","30,784.00"
Enel SPA,"=""0.13945%""","$8,360,625","914,775.00"
Canadian National Railway Co.,"=""0.13726%""","$8,229,196","84,248.00"
Crown Castle International Corp.,"=""0.13707%""","$8,217,977","49,298.00"
Equinix Inc.,"=""0.13590%""","$8,147,784","10,373.00"
Anthem Inc.,"=""0.13572%""","$8,137,336","29,720.00"
Booking Holdings Inc.,"=""0.13490%""","$8,087,925","4,866.00"
Stryker Corp.,"=""0.13204%""","$7,916,602","40,955.00"
Dominion Energy Inc.,"=""0.13169%""","$7,895,644","97,441.00"
China Construction Bank Corp. Class H,"=""0.13165%""","$7,893,164","10,770,000.00"
Rio Tinto plc,"=""0.12963%""","$7,771,856","128,308.00"
Unilever plc,"=""0.12962%""","$7,771,590","129,482.00"
Bayer AG,"=""0.12883%""","$7,724,350","116,149.00"
Colgate-Palmolive Co.,"=""0.12846%""","$7,701,858","99,765.00"
Goldman Sachs Group Inc.,"=""0.12838%""","$7,697,279","38,883.00"
Enbridge Inc.,"=""0.12777%""","$7,660,752","239,365.00"
Reckitt Benckiser Group plc,"=""0.12649%""","$7,583,571","74,980.00"
Air Products & Chemicals Inc.,"=""0.12556%""","$7,528,050","26,264.00"
Activision Blizzard Inc.,"=""0.12482%""","$7,483,634","90,568.00"
TJX Cos. Inc.,"=""0.12367%""","$7,414,502","142,614.00"
Cigna Corp.,"=""0.12338%""","$7,397,003","42,834.00"
Target Corp.,"=""0.12245%""","$7,341,447","58,321.00"
Duke Energy Corp.,"=""0.12188%""","$7,307,384","86,233.00"
Hong Kong Exchanges & Clearing Ltd.,"=""0.12070%""","$7,236,626","151,500.00"
Regeneron Pharmaceuticals Inc.,"=""0.12057%""","$7,228,985","11,437.00"
American Express Co.,"=""0.12053%""","$7,226,701","77,440.00"
Schneider Electric SE,"=""0.11958%""","$7,169,590","61,717.00"
Royal Dutch Shell plc Class A,"=""0.11829%""","$7,092,386","481,787.00"
Marsh & McLennan Cos. Inc.,"=""0.11663%""","$6,992,619","59,971.00"
Applied Materials Inc.,"=""0.11646%""","$6,982,443","108,541.00"
T-Mobile US Inc.,"=""0.11633%""","$6,974,653","64,953.00"
CME Group Inc.,"=""0.11629%""","$6,972,082","41,955.00"
Illinois Tool Works Inc.,"=""0.11433%""","$6,854,619","37,054.00"
Chubb Ltd.,"=""0.11373%""","$6,818,919","53,591.00"
Automatic Data Processing Inc.,"=""0.11271%""","$6,757,410","50,842.00"
Southern Co.,"=""0.11253%""","$6,746,847","123,546.00"
Illumina Inc.,"=""0.11147%""","$6,683,214","17,488.00"
Daiichi Sankyo Co. Ltd.,"=""0.11070%""","$6,637,250","75,800.00"
Micron Technology Inc.,"=""0.11051%""","$6,625,530","132,365.00"
Newmont Corp.,"=""0.11019%""","$6,606,386","95,468.00"
Fiserv Inc.,"=""0.10977%""","$6,581,350","65,952.00"
JD.com Inc. ADR,"=""0.10942%""","$6,560,419","102,844.00"
Lam Research Corp.,"=""0.10882%""","$6,524,491","17,299.00"
Takeda Pharmaceutical Co. Ltd.,"=""0.10807%""","$6,479,660","182,400.00"
Boston Scientific Corp.,"=""0.10778%""","$6,461,748","167,533.00"
Deere & Co.,"=""0.10743%""","$6,440,781","36,531.00"
Zurich Insurance Group AG,"=""0.10666%""","$6,395,081","17,304.00"
adidas AG,"=""0.10640%""","$6,379,197","23,064.00"
Morgan Stanley,"=""0.10626%""","$6,371,019","130,340.00"
Deutsche Telekom AG,"=""0.10553%""","$6,327,221","377,742.00"
Sherwin-Williams Co.,"=""0.10484%""","$6,285,472","9,701.00"
