FTSE All-World UCITS ETF - (USD) Distributing (VWRD)
As of 31 July 2020
Holding name,% of funds,Market value,Shares
Omnicom Group Inc.,"=""0.02298%""","$1,378,067","25,648.00"
Trimble Inc.,"=""0.02297%""","$1,377,139","30,940.00"
Nan Ya Plastics Corp.,"=""0.02293%""","$1,374,925","659,210.00"
Pan Pacific International Holdings Corp.,"=""0.02293%""","$1,375,026","60,500.00"
Uni-President Enterprises Corp.,"=""0.02292%""","$1,374,146","563,006.00"
Arch Capital Group Ltd.,"=""0.02290%""","$1,373,018","44,651.00"
Qiagen Nv,"=""0.02289%""","$1,372,612","27,526.00"
L'Oreal SA,"=""0.02288%""","$1,371,720","4,099.00"
QBE Insurance Group Ltd.,"=""0.02288%""","$1,371,522","192,983.00"
Principal Financial Group Inc.,"=""0.02288%""","$1,371,550","32,325.00"
Seagate Technology plc,"=""0.02285%""","$1,369,714","30,290.00"
SVB Financial Group,"=""0.02284%""","$1,369,168","6,105.00"
MEIJI Holdings Co. Ltd.,"=""0.02280%""","$1,367,162","17,500.00"
Ambev SA,"=""0.02279%""","$1,366,455","511,762.00"
Ferrovial SA,"=""0.02274%""","$1,363,421","55,593.00"
MS&AD Insurance Group Holdings Inc.,"=""0.02270%""","$1,361,256","54,600.00"
Cincinnati Financial Corp.,"=""0.02265%""","$1,358,164","17,428.00"
Gold Fields Ltd.,"=""0.02258%""","$1,353,921","103,602.00"
Bank Rakyat Indonesia Persero Tbk PT,"=""0.02258%""","$1,353,714","6,254,500.00"
Sompo Holdings Inc.,"=""0.02256%""","$1,352,852","41,400.00"
Teledyne Technologies Inc.,"=""0.02255%""","$1,352,240","4,409.00"
Chr Hansen Holding A/S,"=""0.02252%""","$1,350,070","11,860.00"
FirstRand Ltd.,"=""0.02247%""","$1,346,939","590,847.00"
Hyundai Mobis Co. Ltd.,"=""0.02241%""","$1,343,840","7,791.00"
Wabtec Corp.,"=""0.02237%""","$1,341,252","21,567.00"
L'Oreal Loyalty Line 2021,"=""0.02237%""","$1,340,933","4,007.00"
JB Hunt Transport Services Inc.,"=""0.02236%""","$1,340,325","10,358.00"
Sunac China Holdings Ltd.,"=""0.02236%""","$1,340,622","284,660.00"
AP Moller - Maersk A/S Class B,"=""0.02233%""","$1,338,595","1,044.00"
Kingspan Group plc,"=""0.02228%""","$1,335,879","18,596.00"
Fortune Brands Home & Security Inc.,"=""0.02227%""","$1,335,002","17,451.00"
Logitech International SA,"=""0.02224%""","$1,333,615","18,304.00"
Posco,"=""0.02223%""","$1,332,607","8,205.00"
China Petroleum & Chemical Corp. Class H,"=""0.02216%""","$1,328,565","3,101,400.00"
Fiat Chrysler Automobiles NV,"=""0.02215%""","$1,327,902","130,274.00"
ASX Ltd.,"=""0.02215%""","$1,327,881","22,403.00"
Slack Technologies Inc. Class A,"=""0.02215%""","$1,328,184","44,947.00"
E*TRADE Financial Corp.,"=""0.02214%""","$1,327,179","26,141.00"
Geely Automobile Holdings Ltd.,"=""0.02212%""","$1,326,260","630,600.00"
Nippon Paint Holdings Co. Ltd.,"=""0.02209%""","$1,324,222","19,500.00"
3i Group plc,"=""0.02209%""","$1,324,163","113,409.00"
Intertek Group plc,"=""0.02207%""","$1,323,069","18,744.00"
Liberty Global plc Class C,"=""0.02207%""","$1,323,289","58,141.00"
Obic Co. Ltd.,"=""0.02207%""","$1,323,503","7,400.00"
NCSoft Corp.,"=""0.02205%""","$1,321,942","1,942.00"
Sekisui House Ltd.,"=""0.02200%""","$1,318,818","72,700.00"
E.Sun Financial Holding Co. Ltd.,"=""0.02197%""","$1,317,292","1,423,963.00"
Zalando SE,"=""0.02188%""","$1,311,532","18,111.00"
Veolia Environnement SA,"=""0.02185%""","$1,309,945","57,368.00"
Air Liquide SA Loyalty Line 2021,"=""0.02184%""","$1,309,556","7,933.00"
Subaru Corp.,"=""0.02180%""","$1,307,281","69,300.00"
Schindler Holding AG,"=""0.02176%""","$1,304,655","5,149.00"
KB Financial Group Inc.,"=""0.02174%""","$1,303,309","44,050.00"
Cathay Financial Holding Co. Ltd.,"=""0.02168%""","$1,299,965","961,662.00"
Citizens Financial Group Inc.,"=""0.02167%""","$1,299,225","52,367.00"
Air Liquide SA,"=""0.02165%""","$1,297,835","7,862.00"
Credit Agricole SA,"=""0.02163%""","$1,296,638","134,940.00"
Dollarama Inc.,"=""0.02161%""","$1,295,566","35,431.00"
Straumann Holding AG,"=""0.02152%""","$1,289,984","1,310.00"
Pinnacle West Capital Corp.,"=""0.02152%""","$1,289,983","15,527.00"
HCL Technologies Ltd.,"=""0.02148%""","$1,287,859","136,625.00"
CSPC Pharmaceutical Group Ltd.,"=""0.02134%""","$1,279,314","609,775.00"
Gartner Inc.,"=""0.02134%""","$1,279,679","10,267.00"
Concho Resources Inc.,"=""0.02132%""","$1,278,088","24,326.00"
Maruti Suzuki India Ltd.,"=""0.02130%""","$1,277,120","15,256.00"
Sonic Healthcare Ltd.,"=""0.02128%""","$1,275,659","55,414.00"
Epiroc AB Class A,"=""0.02127%""","$1,275,374","91,184.00"
PulteGroup Inc.,"=""0.02126%""","$1,274,515","29,232.00"
Danske Bank A/S,"=""0.02124%""","$1,273,740","78,965.00"
Bandai Namco Holdings Inc.,"=""0.02121%""","$1,271,778","23,100.00"
Tatneft PJSC,"=""0.02117%""","$1,269,195","171,006.00"
Engie SA,"=""0.02113%""","$1,266,822","94,890.00"
Halma plc,"=""0.02111%""","$1,265,942","44,285.00"
Regions Financial Corp.,"=""0.02111%""","$1,265,635","116,541.00"
Expedia Group Inc.,"=""0.02106%""","$1,262,460","15,584.00"
Brown & Brown Inc.,"=""0.02104%""","$1,261,702","27,748.00"
Nexon Co. Ltd.,"=""0.02102%""","$1,260,040","48,800.00"
Tenaga Nasional Bhd.,"=""0.02101%""","$1,259,479","466,800.00"
Annaly Capital Management Inc.,"=""0.02101%""","$1,259,833","170,018.00"
Telia Co. AB,"=""0.02099%""","$1,258,473","322,888.00"
NIO Inc. ADR,"=""0.02097%""","$1,257,103","105,285.00"
Jacobs Engineering Group Inc.,"=""0.02095%""","$1,256,011","14,716.00"
Advantest Corp.,"=""0.02086%""","$1,250,733","23,200.00"
BOC Hong Kong Holdings Ltd.,"=""0.02085%""","$1,249,981","448,500.00"
LG Household & Health Care Ltd.,"=""0.02084%""","$1,249,711","1,086.00"
VMware Inc. Class A,"=""0.02073%""","$1,242,821","8,864.00"
Keurig Dr Pepper Inc.,"=""0.02071%""","$1,241,556","40,587.00"
Scout24 AG,"=""0.02069%""","$1,240,458","14,282.00"
China Merchants Bank Co. Ltd. Class A,"=""0.02068%""","$1,239,927","248,600.00"
CenturyLink Inc.,"=""0.02067%""","$1,239,485","128,444.00"
ENEOS Holdings Inc.,"=""0.02063%""","$1,236,908","356,150.00"
Magazine Luiza SA,"=""0.02059%""","$1,234,386","79,618.00"
Bunzl plc,"=""0.02053%""","$1,230,832","42,665.00"
Julius Baer Group Ltd.,"=""0.02047%""","$1,227,526","27,917.00"
Argenx SE,"=""0.02045%""","$1,226,007","5,306.00"
Eastman Chemical Co.,"=""0.02041%""","$1,223,857","16,399.00"
LEG Immobilien AG,"=""0.02040%""","$1,223,062","8,746.00"
Ulta Beauty Inc.,"=""0.02028%""","$1,215,837","6,300.00"
Afterpay Ltd.,"=""0.02028%""","$1,215,909","24,737.00"
Spirax-Sarco Engineering plc,"=""0.02023%""","$1,212,862","8,963.00"
Dentsply Sirona Inc.,"=""0.02023%""","$1,212,674","27,190.00"
Continental AG,"=""0.02021%""","$1,211,944","12,414.00"
Terna Rete Elettrica Nazionale SPA,"=""0.02015%""","$1,208,255","162,033.00"
Fubon Financial Holding Co. Ltd.,"=""0.02014%""","$1,207,698","847,399.00"
AES Corp.,"=""0.02002%""","$1,200,352","78,815.00"
Sumitomo Realty & Development Co. Ltd.,"=""0.01998%""","$1,198,103","47,100.00"
Ingenico Group SA,"=""0.01996%""","$1,196,532","7,432.00"
Baker Hughes Co. Class A,"=""0.01989%""","$1,192,776","77,003.00"
Hannover Rueck SE,"=""0.01989%""","$1,192,420","7,032.00"
Persimmon plc,"=""0.01988%""","$1,191,629","37,798.00"
NetApp Inc.,"=""0.01986%""","$1,190,917","26,883.00"
Grupo Financiero Banorte SAB de CV,"=""0.01985%""","$1,189,975","331,300.00"
Sage Group plc,"=""0.01984%""","$1,189,655","124,267.00"
UDR Inc.,"=""0.01981%""","$1,187,722","32,810.00"
Vipshop Holdings Ltd.,"=""0.01979%""","$1,186,454","52,106.00"
Just Eat Takeaway,"=""0.01979%""","$1,186,762","10,960.00"
Telekomunikasi Indonesia Persero Tbk PT,"=""0.01974%""","$1,183,755","5,666,500.00"
Alstom SA,"=""0.01971%""","$1,181,663","21,158.00"
Repsol SA,"=""0.01966%""","$1,178,760","151,495.00"
ENN Energy Holdings Ltd.,"=""0.01960%""","$1,175,234","97,000.00"
Power Corp. of Canada,"=""0.01953%""","$1,170,968","65,987.00"
Advance Auto Parts Inc.,"=""0.01948%""","$1,167,639","7,777.00"
Umicore SA,"=""0.01942%""","$1,164,196","24,650.00"
Country Garden Holdings Co. Ltd.,"=""0.01941%""","$1,163,930","906,602.00"
Top Glove Corp. Bhd.,"=""0.01935%""","$1,160,327","190,100.00"
China Pacific Insurance Group Co. Ltd. Class H,"=""0.01934%""","$1,159,259","400,200.00"
Brenntag AG,"=""0.01931%""","$1,157,940","18,788.00"
Sands China Ltd.,"=""0.01929%""","$1,156,615","298,800.00"
Western Union Co.,"=""0.01929%""","$1,156,723","47,641.00"
Whirlpool Corp.,"=""0.01927%""","$1,155,053","7,081.00"
Croda International plc,"=""0.01925%""","$1,153,965","15,344.00"
Teva Pharmaceutical Industries Ltd.,"=""0.01921%""","$1,151,675","101,589.00"
IAC/InterActiveCorp,"=""0.01921%""","$1,151,922","8,699.00"
Hasbro Inc.,"=""0.01920%""","$1,151,427","15,825.00"
Sumitomo Mitsui Trust Holdings Inc.,"=""0.01920%""","$1,150,846","44,900.00"
Groupe Bruxelles Lambert SA,"=""0.01919%""","$1,150,434","13,197.00"
Sumitomo Electric Industries Ltd.,"=""0.01915%""","$1,148,024","104,100.00"
Cboe Global Markets Inc.,"=""0.01912%""","$1,146,064","13,068.00"
Darden Restaurants Inc.,"=""0.01909%""","$1,144,496","15,079.00"
CenterPoint Energy Inc.,"=""0.01904%""","$1,141,798","60,063.00"
a2 Milk Co. Ltd.,"=""0.01901%""","$1,140,050","82,121.00"
Yamato Holdings Co. Ltd.,"=""0.01900%""","$1,139,379","44,700.00"
Roche Holding AG (Bearer),"=""0.01896%""","$1,136,641","3,293.00"
Huntington Bancshares Inc./OH,"=""0.01895%""","$1,136,066","122,553.00"
Telstra Corp. Ltd.,"=""0.01893%""","$1,135,106","472,478.00"
Shenzhou International Group Holdings Ltd.,"=""0.01889%""","$1,132,648","94,900.00"
Henry Schein Inc.,"=""0.01889%""","$1,132,739","16,481.00"
Endesa SA,"=""0.01888%""","$1,131,719","39,811.00"
China Steel Corp.,"=""0.01877%""","$1,125,356","1,664,987.00"
Telenor ASA,"=""0.01872%""","$1,122,521","72,355.00"
Elanco Animal Health Inc.,"=""0.01868%""","$1,119,826","47,390.00"
Itausa - Investimentos Itau SA Preference Shares,"=""0.01867%""","$1,119,227","546,061.00"
Henkel AG & Co. KGaA,"=""0.01866%""","$1,118,511","12,843.00"
Japan Post Holdings Co. Ltd.,"=""0.01864%""","$1,117,578","164,731.00"
Loews Corp.,"=""0.01861%""","$1,115,675","30,642.00"
Taiwan Cement Corp.,"=""0.01853%""","$1,110,764","723,095.00"
PTC Inc.,"=""0.01852%""","$1,110,312","12,977.00"
Shaw Communications Inc. Class B,"=""0.01850%""","$1,109,441","60,657.00"
TD Ameritrade Holding Corp.,"=""0.01839%""","$1,102,864","30,729.00"
Galapagos NV,"=""0.01838%""","$1,101,772","5,912.00"
Juniper Networks Inc.,"=""0.01837%""","$1,101,314","43,393.00"
Allegion plc,"=""0.01835%""","$1,099,928","11,059.00"
Vistra Corp.,"=""0.01834%""","$1,099,708","58,934.00"
Loblaw Cos. Ltd.,"=""0.01831%""","$1,097,989","21,165.00"
ASE Technology Holding Co. Ltd.,"=""0.01818%""","$1,089,776","422,281.00"
Longfor Group Holdings Ltd.,"=""0.01817%""","$1,089,669","220,500.00"
WPP plc,"=""0.01815%""","$1,087,930","145,933.00"
Peugeot SA,"=""0.01813%""","$1,086,824","67,382.00"
Kia Motors Corp.,"=""0.01812%""","$1,086,297","32,035.00"
Next plc,"=""0.01809%""","$1,084,700","15,164.00"
Globe Life Inc.,"=""0.01809%""","$1,084,868","13,629.00"
United Microelectronics Corp.,"=""0.01808%""","$1,084,140","1,421,000.00"
Tokyo Gas Co. Ltd.,"=""0.01802%""","$1,080,125","51,200.00"
Kikkoman Corp.,"=""0.01799%""","$1,078,483","23,200.00"
Amdocs Ltd.,"=""0.01791%""","$1,074,020","17,295.00"
APA Group,"=""0.01790%""","$1,073,338","136,061.00"
Wuliangye Yibin Co. Ltd. Class A,"=""0.01789%""","$1,072,342","34,400.00"
Bajaj Finance Ltd.,"=""0.01788%""","$1,072,272","24,673.00"
SM Investments Corp.,"=""0.01787%""","$1,071,390","59,160.00"
Aena SME SA,"=""0.01785%""","$1,070,437","8,207.00"
First Financial Holding Co. Ltd.,"=""0.01785%""","$1,070,339","1,328,604.00"
Packaging Corp. of America,"=""0.01784%""","$1,069,527","11,127.00"
Ajinomoto Co. Inc.,"=""0.01784%""","$1,069,683","59,400.00"
NiSource Inc.,"=""0.01783%""","$1,068,807","43,714.00"
Avery Dennison Corp.,"=""0.01781%""","$1,067,889","9,422.00"
Lamb Weston Holdings Inc.,"=""0.01777%""","$1,065,459","17,734.00"
Yaskawa Electric Corp.,"=""0.01776%""","$1,064,651","32,300.00"
China Conch Venture Holdings Ltd.,"=""0.01774%""","$1,063,424","247,500.00"
Nitto Denko Corp.,"=""0.01774%""","$1,063,605","18,900.00"
Elisa Oyj,"=""0.01769%""","$1,060,317","17,770.00"
Grupo Mexico SAB de CV Class B,"=""0.01756%""","$1,052,619","414,400.00"
Carrefour SA,"=""0.01753%""","$1,051,021","65,838.00"
PG&E Corp.,"=""0.01753%""","$1,050,781","112,383.00"
MTU Aero Engines AG,"=""0.01749%""","$1,048,847","6,040.00"
Dell Technologies Inc.,"=""0.01747%""","$1,047,623","17,510.00"
Albemarle Corp.,"=""0.01744%""","$1,045,675","12,681.00"
Makita Corp.,"=""0.01744%""","$1,045,673","27,400.00"
Everest Re Group Ltd.,"=""0.01744%""","$1,045,379","4,778.00"
Chubu Electric Power Co. Inc.,"=""0.01730%""","$1,037,012","87,400.00"
Associated British Foods plc,"=""0.01726%""","$1,035,063","44,681.00"
Weg SA,"=""0.01725%""","$1,034,301","79,946.00"
Royal Caribbean Cruises Ltd.,"=""0.01725%""","$1,034,211","21,232.00"
China Tower Corp. Ltd. Class H,"=""0.01720%""","$1,030,970","5,666,825.00"
Chocoladefabriken Lindt & Spruengli AG,"=""0.01718%""","$1,030,230",12.00
RenaissanceRe Holdings Ltd.,"=""0.01717%""","$1,029,609","5,708.00"
W R Berkley Corp.,"=""0.01716%""","$1,028,570","16,657.00"
Standard Bank Group Ltd.,"=""0.01715%""","$1,028,299","161,225.00"
Yuanta Financial Holding Co. Ltd.,"=""0.01710%""","$1,025,285","1,668,623.00"
Daifuku Co. Ltd.,"=""0.01708%""","$1,024,307","11,400.00"
Jardine Matheson Holdings Ltd.,"=""0.01706%""","$1,023,000","25,000.00"
DCC plc,"=""0.01706%""","$1,022,776","11,406.00"
Equitable Holdings Inc.,"=""0.01706%""","$1,022,857","49,993.00"
Kuehne + Nagel International AG,"=""0.01705%""","$1,022,256","5,927.00"
Asahi Kasei Corp.,"=""0.01704%""","$1,021,924","143,700.00"
Heineken Holding NV,"=""0.01701%""","$1,019,846","11,758.00"
Temenos AG,"=""0.01698%""","$1,017,880","6,859.00"
Ascendas REIT,"=""0.01697%""","$1,017,529","394,163.00"
Raymond James Financial Inc.,"=""0.01694%""","$1,015,798","14,620.00"
Porsche Automobil Holding SE Preference Shares,"=""0.01693%""","$1,014,781","17,845.00"
FinecoBank Banca Fineco SPA,"=""0.01690%""","$1,013,247","69,806.00"
Polymetal International plc,"=""0.01689%""","$1,012,857","40,723.00"
China Vanke Co. Ltd. Class H,"=""0.01689%""","$1,012,637","321,645.00"
China Gas Holdings Ltd.,"=""0.01686%""","$1,010,923","336,260.00"
Fidelity National Financial Inc.,"=""0.01682%""","$1,008,467","31,164.00"
LKQ Corp.,"=""0.01680%""","$1,007,426","35,737.00"
Insurance Australia Group Ltd.,"=""0.01675%""","$1,004,542","275,195.00"
InterContinental Hotels Group plc,"=""0.01674%""","$1,003,847","21,753.00"
James Hardie Industries plc,"=""0.01673%""","$1,002,891","48,272.00"
Mondi plc,"=""0.01667%""","$999,533","55,873.00"
Severn Trent plc,"=""0.01666%""","$998,612","31,055.00"
Red Electrica Corp. SA,"=""0.01663%""","$997,276","51,051.00"
NRG Energy Inc.,"=""0.01660%""","$995,468","29,443.00"
Anhui Conch Cement Co. Ltd. Class H,"=""0.01657%""","$993,436","131,500.00"
Fairfax Financial Holdings Ltd.,"=""0.01656%""","$992,569","3,168.00"
Toyota Industries Corp.,"=""0.01651%""","$989,918","19,600.00"
Ramsay Health Care Ltd.,"=""0.01651%""","$989,878","22,270.00"
Sun Pharmaceutical Industries Ltd.,"=""0.01650%""","$989,308","139,200.00"
Fortum Oyj,"=""0.01648%""","$988,179","48,529.00"
Hargreaves Lansdown plc,"=""0.01646%""","$987,069","42,999.00"
Eurofins Scientific SE,"=""0.01644%""","$985,933","1,511.00"
Boliden AB,"=""0.01641%""","$984,064","36,169.00"
Orkla ASA,"=""0.01641%""","$983,678","99,784.00"
Emirates Telecommunications Group Co. PJSC,"=""0.01638%""","$982,363","216,849.00"
Campbell Soup Co.,"=""0.01637%""","$981,387","19,798.00"
Kinnevik AB,"=""0.01636%""","$981,032","27,969.00"
Coca-Cola European Partners plc,"=""0.01635%""","$980,381","23,813.00"
GN Store Nord A/S,"=""0.01635%""","$980,176","16,015.00"
F5 Networks Inc.,"=""0.01635%""","$980,247","7,213.00"
Mylan NV,"=""0.01629%""","$976,653","60,624.00"
West Japan Railway Co.,"=""0.01629%""","$976,434","22,800.00"
Investor AB Class A,"=""0.01627%""","$975,772","16,648.00"
Samsung Biologics Co. Ltd.,"=""0.01626%""","$975,159","1,585.00"
United Utilities Group plc,"=""0.01621%""","$971,992","82,285.00"
Fox Corp. Class A,"=""0.01612%""","$966,401","37,501.00"
Power Assets Holdings Ltd.,"=""0.01611%""","$965,978","173,500.00"
DISH Network Corp. Class A,"=""0.01610%""","$965,034","30,054.00"
Zillow Group Inc. Class C,"=""0.01610%""","$965,051","14,111.00"
Cochlear Ltd.,"=""0.01609%""","$964,463","7,070.00"
Koninklijke KPN NV,"=""0.01609%""","$964,906","371,918.00"
Universal Health Services Inc. Class B,"=""0.01608%""","$963,823","8,770.00"
Northern Star Resources Ltd.,"=""0.01606%""","$962,818","86,841.00"
LG Electronics Inc.,"=""0.01600%""","$959,322","16,166.00"
Bank Mandiri Persero Tbk PT,"=""0.01597%""","$957,238","2,409,600.00"
Samsung Electro-Mechanics Co. Ltd.,"=""0.01596%""","$956,636","8,112.00"
Snap-on Inc.,"=""0.01590%""","$953,115","6,534.00"
Altice USA Inc. Class A,"=""0.01589%""","$952,936","35,307.00"
HeidelbergCement AG,"=""0.01582%""","$948,336","16,991.00"
Marubeni Corp.,"=""0.01580%""","$947,248","206,500.00"
Kuwait Finance House KSCP,"=""0.01573%""","$942,815","498,077.00"
Formosa Chemicals & Fibre Corp.,"=""0.01572%""","$942,259","409,540.00"
ITC Ltd.,"=""0.01568%""","$940,365","362,354.00"
UltraTech Cement Ltd.,"=""0.01567%""","$939,281","17,067.00"
Atos SE,"=""0.01565%""","$938,404","10,961.00"
Vail Resorts Inc.,"=""0.01563%""","$936,914","4,879.00"
Shimadzu Corp.,"=""0.01562%""","$936,245","37,200.00"
Thales SA,"=""0.01554%""","$931,430","12,837.00"
Smiths Group plc,"=""0.01554%""","$931,830","52,396.00"
Suncorp Group Ltd.,"=""0.01552%""","$930,328","151,726.00"
Asian Paints Ltd.,"=""0.01551%""","$929,747","40,546.00"
Atlantia SPA,"=""0.01546%""","$926,731","58,268.00"
Tencent Music Entertainment Group ADR,"=""0.01546%""","$927,130","57,443.00"
Standard Life Aberdeen plc,"=""0.01544%""","$925,807","281,700.00"
Samsung C&T Corp.,"=""0.01539%""","$922,629","10,370.00"
MTR Corp. Ltd.,"=""0.01537%""","$921,492","185,500.00"
South32 Ltd.,"=""0.01536%""","$921,094","623,486.00"
Osaka Gas Co. Ltd.,"=""0.01536%""","$921,161","50,100.00"
MGM Resorts International,"=""0.01532%""","$918,626","57,093.00"
Iron Mountain Inc.,"=""0.01531%""","$918,205","32,572.00"
Scentre Group,"=""0.01529%""","$916,694","626,591.00"
SG Holdings Co. Ltd.,"=""0.01526%""","$915,067","25,000.00"
BorgWarner Inc.,"=""0.01526%""","$915,183","25,005.00"
ArcelorMittal SA,"=""0.01525%""","$914,323","82,785.00"
Textron Inc.,"=""0.01525%""","$914,275","26,167.00"
Yara International ASA,"=""0.01523%""","$913,171","21,800.00"
Bouygues SA,"=""0.01518%""","$910,182","25,657.00"
Yakult Honsha Co. Ltd.,"=""0.01517%""","$909,486","16,000.00"
Mitsubishi Chemical Holdings Corp.,"=""0.01514%""","$907,592","169,600.00"
Regency Centers Corp.,"=""0.01513%""","$907,378","22,115.00"
Cabot Oil & Gas Corp.,"=""0.01512%""","$906,370","48,469.00"
Ubisoft Entertainment SA,"=""0.01512%""","$906,442","10,830.00"
KT&G Corp.,"=""0.01511%""","$905,830","13,340.00"
Host Hotels & Resorts Inc.,"=""0.01506%""","$903,159","83,781.00"
Resona Holdings Inc.,"=""0.01504%""","$901,691","277,300.00"
Barratt Developments plc,"=""0.01502%""","$900,692","134,399.00"
Sartorius Stedim Biotech,"=""0.01496%""","$897,205","2,874.00"
Bank Leumi Le-Israel BM,"=""0.01496%""","$897,099","179,117.00"
Sumitomo Metal Mining Co. Ltd.,"=""0.01493%""","$895,174","30,200.00"
Yamaha Corp.,"=""0.01492%""","$894,495","19,500.00"
Arkema SA,"=""0.01490%""","$893,538","8,624.00"
Sirius XM Holdings Inc.,"=""0.01482%""","$888,738","151,146.00"
NTT Data Corp.,"=""0.01481%""","$887,646","78,800.00"
Tele2 AB,"=""0.01479%""","$886,755","62,505.00"
OTP Bank Nyrt,"=""0.01478%""","$885,959","24,838.00"
Chocoladefabriken Lindt & Spruengli AG,"=""0.01476%""","$884,731",114.00
Innovent Biologics Inc.,"=""0.01476%""","$884,899","144,382.00"
Nissan Chemical Corp.,"=""0.01474%""","$883,921","16,900.00"
Euronext NV,"=""0.01468%""","$879,892","7,679.00"
China Shenhua Energy Co. Ltd. Class H,"=""0.01465%""","$878,537","527,000.00"
Bangkok Dusit Medical Services PCL,"=""0.01465%""","$878,259","1,239,200.00"
Huntington Ingalls Industries Inc.,"=""0.01464%""","$877,757","5,053.00"
Perrigo Co. plc,"=""0.01464%""","$877,534","16,551.00"
CaixaBank SA,"=""0.01464%""","$877,929","407,931.00"
Auto Trader Group plc,"=""0.01462%""","$876,824","124,498.00"
Wilmar International Ltd.,"=""0.01458%""","$873,936","259,400.00"
Mowi ASA,"=""0.01457%""","$873,753","48,429.00"
AGL Energy Ltd.,"=""0.01457%""","$873,308","73,270.00"
Hana Financial Group Inc.,"=""0.01457%""","$873,461","35,276.00"
Credicorp Ltd.,"=""0.01457%""","$873,276","6,867.00"
Trend Micro Inc./Japan,"=""0.01455%""","$872,505","15,000.00"
Swatch Group AG (Bearer),"=""0.01454%""","$871,961","4,153.00"
DaVita Inc.,"=""0.01454%""","$871,803","9,976.00"
Adecco Group AG,"=""0.01451%""","$870,044","18,334.00"
Kansai Electric Power Co. Inc.,"=""0.01450%""","$869,552","91,800.00"
PetroChina Co. Ltd. Class H,"=""0.01444%""","$865,637","2,494,000.00"
Ally Financial Inc.,"=""0.01444%""","$865,566","43,063.00"
Astra International Tbk PT,"=""0.01443%""","$865,235","2,452,900.00"
WH Group Ltd.,"=""0.01443%""","$865,378","973,418.00"
Hengan International Group Co. Ltd.,"=""0.01442%""","$864,513","103,000.00"
AGNC Investment Corp.,"=""0.01441%""","$864,226","63,546.00"
Getlink SE,"=""0.01439%""","$862,535","57,299.00"
Interpublic Group of Cos. Inc.,"=""0.01439%""","$862,790","47,800.00"
VEREIT Inc.,"=""0.01437%""","$861,585","132,348.00"
Informa plc,"=""0.01436%""","$860,916","177,328.00"
Voya Financial Inc.,"=""0.01436%""","$860,844","17,426.00"
Dai Nippon Printing Co. Ltd.,"=""0.01433%""","$859,192","39,600.00"
Natura & Co. Holding SA,"=""0.01432%""","$858,337","94,990.00"
Grifols SA,"=""0.01429%""","$856,546","29,326.00"
Pentair plc,"=""0.01428%""","$855,972","19,976.00"
Alleghany Corp.,"=""0.01428%""","$856,082","1,639.00"
Country Garden Services Holdings Co. Ltd.,"=""0.01425%""","$854,616","141,678.00"
MISUMI Group Inc.,"=""0.01424%""","$853,900","36,200.00"
Bank Hapoalim BM,"=""0.01423%""","$852,937","143,304.00"
Moncler SPA,"=""0.01416%""","$849,091","22,026.00"
Hydro One Ltd.,"=""0.01414%""","$847,763","39,789.00"
GDS Holdings Ltd. ADR,"=""0.01414%""","$847,702","10,558.00"
Hotai Motor Co. Ltd.,"=""0.01411%""","$846,234","37,000.00"
Shimao Group Holdings Ltd.,"=""0.01410%""","$845,601","199,500.00"
Airports of Thailand PCL (Foreign),"=""0.01407%""","$843,290","510,600.00"
Kingfisher plc,"=""0.01402%""","$840,736","264,804.00"
Mitsubishi Heavy Industries Ltd.,"=""0.01401%""","$839,950","36,300.00"
Lyft Inc. Class A,"=""0.01401%""","$840,070","28,740.00"
Hua Nan Financial Holdings Co. Ltd.,"=""0.01399%""","$838,510","1,222,076.00"
CapitaLand Ltd.,"=""0.01398%""","$838,084","416,400.00"
CNH Industrial NV,"=""0.01397%""","$837,493","122,448.00"
Skf Ab,"=""0.01396%""","$836,834","45,322.00"
Alfa Laval AB,"=""0.01395%""","$836,434","35,315.00"
Lasertec Corp.,"=""0.01393%""","$835,335","9,600.00"
Disco Corp.,"=""0.01390%""","$833,207","3,500.00"
Samba Financial Group,"=""0.01387%""","$831,483","120,868.00"
Rakuten Inc.,"=""0.01384%""","$829,646","90,900.00"
Rollins Inc.,"=""0.01383%""","$829,282","15,826.00"
Sanlam Ltd.,"=""0.01383%""","$829,116","232,179.00"
New World Development Co. Ltd.,"=""0.01382%""","$828,877","169,946.00"
Berkeley Group Holdings plc,"=""0.01379%""","$826,782","14,143.00"
Daiwa Securities Group Inc.,"=""0.01379%""","$826,800","188,400.00"
Ageas SA/NV,"=""0.01378%""","$826,431","21,943.00"
MINEBEA MITSUMI Inc.,"=""0.01377%""","$825,739","50,700.00"
Advanced Info Service PCL (Foreign),"=""0.01375%""","$824,661","139,000.00"
Stora Enso Oyj,"=""0.01373%""","$823,035","65,292.00"
Taiwan Cooperative Financial Holding Co. Ltd.,"=""0.01373%""","$823,477","1,127,259.00"
ASM International NV,"=""0.01373%""","$822,925","5,439.00"
Lincoln National Corp.,"=""0.01371%""","$821,990","22,055.00"
Swiss Prime Site AG,"=""0.01370%""","$821,628","8,989.00"
Quanta Computer Inc.,"=""0.01365%""","$818,154","293,000.00"
Lojas Renner SA,"=""0.01364%""","$817,536","103,475.00"
Vifor Pharma AG,"=""0.01362%""","$816,561","5,774.00"
Westrock Co.,"=""0.01361%""","$815,792","30,372.00"
Aroundtown SA,"=""0.01361%""","$816,044","135,102.00"
