FTSE All-World High Dividend Yield UCITS ETF (USD)   Distributing (VHYL)

Holding details 
As at date 31 July 2020


Holding name,% of funds,Market value,Shares,
"=""Kimberly-Clark Corp.""","=""0.26970%""","=""$2,919,472""","=""19,202""",
"=""Basf Se""","=""0.26614%""","=""$2,880,893""","=""52,046""",
"=""Truist Financial Corp.""","=""0.26380%""","=""$2,855,576""","=""76,230""",
"=""US Bancorp""","=""0.26170%""","=""$2,832,922""","=""76,898""",
"=""Bank of Nova Scotia""","=""0.25959%""","=""$2,810,089""","=""68,426""",
"=""Nintendo Co. Ltd.""","=""0.25157%""","=""$2,723,238""","=""6,200""",
"=""Infosys Ltd.""","=""0.24391%""","=""$2,640,264""","=""204,477""",
"=""Mitsubishi UFJ Financial Group Inc.""","=""0.24371%""","=""$2,638,192""","=""709,400""",
"=""Industrial & Commercial Bank of China Ltd. Class H""","=""0.23818%""","=""$2,578,326""","=""4,363,000""",
"=""Anheuser-Busch InBev SA/NV""","=""0.23762%""","=""$2,572,233""","=""47,165""",
"=""BHP Group plc""","=""0.23640%""","=""$2,559,011""","=""117,808""",
"=""PNC Financial Services Group Inc.""","=""0.23620%""","=""$2,556,880""","=""23,970""",
"=""ABB Ltd.""","=""0.23366%""","=""$2,529,355""","=""101,052""",
"=""Westpac Banking Corp.""","=""0.23172%""","=""$2,508,369""","=""204,663""",
"=""BNP Paribas SA""","=""0.22852%""","=""$2,473,669""","=""61,319""",
"=""TC Energy Corp.""","=""0.22501%""","=""$2,435,665""","=""53,441""",
"=""American Electric Power Co. Inc.""","=""0.22500%""","=""$2,435,594""","=""28,034""",
"=""National Grid plc""","=""0.21660%""","=""$2,344,689""","=""198,404""",
"=""Honda Motor Co. Ltd.""","=""0.21502%""","=""$2,327,532""","=""97,500""",
"=""Vodafone Group plc""","=""0.21259%""","=""$2,301,230""","=""1,517,236""",
"=""National Australia Bank Ltd.""","=""0.21189%""","=""$2,293,646""","=""181,103""",
"=""ConocoPhillips""","=""0.21054%""","=""$2,279,033""","=""60,953""",
"=""Danone SA""","=""0.20940%""","=""$2,266,772""","=""33,904""",
"=""Vinci SA""","=""0.20914%""","=""$2,263,976""","=""26,299""",
"=""Deutsche Post AG""","=""0.20692%""","=""$2,239,933""","=""55,290""",
"=""UBS Group AG""","=""0.20638%""","=""$2,234,088""","=""190,028""",
"=""Tokyo Electron Ltd.""","=""0.20634%""","=""$2,233,614""","=""8,200""",
"=""Vale SA""","=""0.20135%""","=""$2,179,626""","=""186,900""",
"=""General Mills Inc.""","=""0.20036%""","=""$2,168,896""","=""34,280""",
"=""Axa SA""","=""0.20015%""","=""$2,166,624""","=""108,648""",
"=""Prudential plc""","=""0.19818%""","=""$2,145,301""","=""147,853""",
"=""Wesfarmers Ltd.""","=""0.19782%""","=""$2,141,340""","=""64,144""",
"=""Exelon Corp.""","=""0.19601%""","=""$2,121,774""","=""54,954""",
"=""Eaton Corp. plc""","=""0.19449%""","=""$2,105,297""","=""22,606""",
"=""Emerson Electric Co.""","=""0.19284%""","=""$2,087,505""","=""33,664""",
"=""Samsung Electronics Co. Ltd. Preference Shares""","=""0.19175%""","=""$2,075,726""","=""49,960""",
"=""Australia & New Zealand Banking Group Ltd.""","=""0.19123%""","=""$2,070,050""","=""160,718""",
"=""Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen""","=""0.19083%""","=""$2,065,734""","=""7,771""",
"=""Sempra Energy""","=""0.19048%""","=""$2,061,929""","=""16,567""",
"=""China Mobile Ltd.""","=""0.19020%""","=""$2,058,857""","=""300,500""",
"=""Xcel Energy Inc.""","=""0.18870%""","=""$2,042,686""","=""29,587""",
"=""Daimler AG""","=""0.18677%""","=""$2,021,813""","=""45,716""",
"=""Vonovia SE""","=""0.18539%""","=""$2,006,840""","=""30,756""",
"=""Banco Santander SA""","=""0.18384%""","=""$1,990,098""","=""930,531""",
"=""Bank of Montreal""","=""0.18335%""","=""$1,984,769""","=""36,280""",
"=""Woolworths Group Ltd.""","=""0.18318%""","=""$1,982,948""","=""71,485""",
"=""Sumitomo Mitsui Financial Group Inc.""","=""0.18104%""","=""$1,959,709""","=""74,000""",
"=""MediaTek Inc.""","=""0.18081%""","=""$1,957,282""","=""81,794""",
"=""Hon Hai Precision Industry Co. Ltd.""","=""0.16851%""","=""$1,824,146""","=""681,600""",
"=""Cie Financiere Richemont SA""","=""0.16565%""","=""$1,793,131""","=""28,871""",
"=""Koninklijke Ahold Delhaize NV""","=""0.16457%""","=""$1,781,489""","=""61,567""",
"=""T. Rowe Price Group Inc.""","=""0.16316%""","=""$1,766,161""","=""12,789""",
"=""Kone Oyj Class B""","=""0.16294%""","=""$1,763,799""","=""22,183""",
"=""NTT DOCOMO Inc.""","=""0.16284%""","=""$1,762,705""","=""64,100""",
"=""General Motors Co.""","=""0.16270%""","=""$1,761,192""","=""70,759""",
"=""Mizuho Financial Group Inc.""","=""0.16139%""","=""$1,747,033""","=""1,447,600""",
