FTSE All-World High Dividend Yield UCITS ETF (USD)   Distributing (VHYL)

Holding details 
As at date 31 July 2020


Holding name,% of funds,Market value,Shares,
"=""MS&AD Insurance Group Holdings Inc.""","=""0.06334%""","=""$685,614""","=""27,500""",
"=""NN Group NV""","=""0.06316%""","=""$683,699""","=""18,651""",
"=""Tatneft PJSC""","=""0.06305%""","=""$682,476""","=""91,954""",
"=""J M Smucker Co.""","=""0.06301%""","=""$682,125""","=""6,238""",
"=""China Overseas Land & Investment Ltd.""","=""0.06301%""","=""$682,099""","=""224,000""",
"=""Societe Generale SA""","=""0.06251%""","=""$676,632""","=""44,070""",
"=""Sunac China Holdings Ltd.""","=""0.06200%""","=""$671,112""","=""142,500""",
"=""Brambles Ltd.""","=""0.06193%""","=""$670,360""","=""86,712""",
"=""Ferrovial SA""","=""0.06189%""","=""$669,926""","=""27,316""",
"=""Uni-President Enterprises Corp.""","=""0.06189%""","=""$669,927""","=""274,478""",
"=""Anhui Conch Cement Co. Ltd. Class H""","=""0.06176%""","=""$668,586""","=""88,500""",
"=""Shinhan Financial Group Co. Ltd.""","=""0.06174%""","=""$668,344""","=""26,454""",
"=""Subaru Corp.""","=""0.06134%""","=""$664,016""","=""35,200""",
"=""Ambev SA""","=""0.06128%""","=""$663,381""","=""248,448""",
"=""KeyCorp""","=""0.06124%""","=""$662,928""","=""55,198""",
"=""Hang Seng Bank Ltd.""","=""0.06103%""","=""$660,602""","=""42,000""",
"=""Snam SPA""","=""0.06073%""","=""$657,387""","=""123,540""",
"=""Seagate Technology plc""","=""0.06071%""","=""$657,137""","=""14,532""",
"=""Omnicom Group Inc.""","=""0.06052%""","=""$655,076""","=""12,192""",
"=""Principal Financial Group Inc.""","=""0.06052%""","=""$655,119""","=""15,440""",
"=""KB Financial Group Inc.""","=""0.06028%""","=""$652,483""","=""22,053""",
"=""Bank Rakyat Indonesia Persero Tbk PT""","=""0.06006%""","=""$650,138""","=""3,003,800""",
"=""ASX Ltd.""","=""0.06006%""","=""$650,100""","=""10,968""",
"=""Veolia Environnement SA""","=""0.06003%""","=""$649,812""","=""28,458""",
"=""Cathay Financial Holding Co. Ltd.""","=""0.05939%""","=""$642,898""","=""475,590""",
"=""BT Group plc""","=""0.05920%""","=""$640,876""","=""495,320""",
"=""Fiat Chrysler Automobiles NV""","=""0.05913%""","=""$640,120""","=""62,799""",
"=""3i Group plc""","=""0.05869%""","=""$635,314""","=""54,412""",
"=""Malayan Banking Bhd.""","=""0.05868%""","=""$635,246""","=""351,166""",
"=""Sompo Holdings Inc.""","=""0.05856%""","=""$633,945""","=""19,400""",
"=""E.Sun Financial Holding Co. Ltd.""","=""0.05843%""","=""$632,549""","=""683,771""",
"=""Posco""","=""0.05829%""","=""$630,978""","=""3,885""",
"=""Credit Agricole SA""","=""0.05799%""","=""$627,708""","=""65,325""",
"=""Sonic Healthcare Ltd.""","=""0.05772%""","=""$624,823""","=""27,142""",
"=""China Resources Land Ltd.""","=""0.05759%""","=""$623,361""","=""149,572""",
"=""ENEOS Holdings Inc.""","=""0.05655%""","=""$612,116""","=""176,250""",
"=""Danske Bank A/S""","=""0.05630%""","=""$609,408""","=""37,780""",
"=""Tenaga Nasional Bhd.""","=""0.05601%""","=""$606,266""","=""224,700""",
"=""Fubon Financial Holding Co. Ltd.""","=""0.05595%""","=""$605,702""","=""425,000""",
"=""FirstRand Ltd.""","=""0.05588%""","=""$604,886""","=""265,339""",
"=""Continental AG""","=""0.05585%""","=""$604,605""","=""6,193""",
"=""Sekisui House Ltd.""","=""0.05580%""","=""$604,080""","=""33,300""",
"=""Citizens Financial Group Inc.""","=""0.05560%""","=""$601,891""","=""24,260""",
"=""CenturyLink Inc.""","=""0.05554%""","=""$601,195""","=""62,300""",
"=""Grupo Financiero Banorte SAB de CV""","=""0.05518%""","=""$597,322""","=""166,300""",
"=""Regions Financial Corp.""","=""0.05490%""","=""$594,324""","=""54,726""",
"=""QBE Insurance Group Ltd.""","=""0.05464%""","=""$591,519""","=""83,231""",
"=""Credicorp Ltd.""","=""0.05417%""","=""$586,381""","=""4,611""",
"=""Terna Rete Elettrica Nazionale SPA""","=""0.05416%""","=""$586,250""","=""78,619""",
"=""Baker Hughes Co. Class A""","=""0.05410%""","=""$585,599""","=""37,805""",
"=""Telenor ASA""","=""0.05390%""","=""$583,438""","=""37,607""",
"=""Eastman Chemical Co.""","=""0.05384%""","=""$582,786""","=""7,809""",
"=""BOC Hong Kong Holdings Ltd.""","=""0.05381%""","=""$582,488""","=""209,000""",
"=""Country Garden Holdings Co. Ltd.""","=""0.05316%""","=""$575,503""","=""448,268""",
"=""AES Corp.""","=""0.05311%""","=""$574,948""","=""37,751""",
"=""Hannover Rueck SE""","=""0.05307%""","=""$574,505""","=""3,388""",
"=""Persimmon plc""","=""0.05266%""","=""$570,058""","=""18,082""",
"=""Telstra Corp. Ltd.""","=""0.05248%""","=""$568,142""","=""236,484""",
"=""Telia Co. AB""","=""0.05241%""","=""$567,324""","=""145,559""",
"=""Western Union Co.""","=""0.05228%""","=""$565,918""","=""23,308""",
"=""Whirlpool Corp.""","=""0.05224%""","=""$565,537""","=""3,467""",
"=""Darden Restaurants Inc.""","=""0.05213%""","=""$564,317""","=""7,435""",
"=""Engie SA""","=""0.05199%""","=""$562,774""","=""42,154""",
"=""NetApp Inc.""","=""0.05153%""","=""$557,781""","=""12,591""",
"=""Sands China Ltd.""","=""0.05121%""","=""$554,308""","=""143,200""",
"=""Telekomunikasi Indonesia Persero Tbk PT""","=""0.05117%""","=""$553,867""","=""2,651,300""",
"=""Power Corp. of Canada""","=""0.05102%""","=""$552,255""","=""31,121""",
"=""LEG Immobilien AG""","=""0.05094%""","=""$551,399""","=""3,943""",
"=""Repsol SA""","=""0.05054%""","=""$547,064""","=""70,309""",
"=""Sumitomo Mitsui Trust Holdings Inc.""","=""0.05043%""","=""$545,947""","=""21,300""",
"=""CenterPoint Energy Inc.""","=""0.05033%""","=""$544,789""","=""28,658""",
"=""Brenntag AG""","=""0.05014%""","=""$542,792""","=""8,807""",
"=""Julius Baer Group Ltd.""","=""0.05010%""","=""$542,289""","=""12,333""",
"=""Roche Holding AG (Bearer)""","=""0.04977%""","=""$538,808""","=""1,561""",
"=""Agricultural Bank of China Ltd. Class A""","=""0.04972%""","=""$538,206""","=""1,162,600""",
"=""China Pacific Insurance Group Co. Ltd. Class H""","=""0.04951%""","=""$535,889""","=""185,000""",
"=""Huntington Bancshares Inc./OH""","=""0.04924%""","=""$533,034""","=""57,501""",
"=""Groupe Bruxelles Lambert SA""","=""0.04908%""","=""$531,325""","=""6,095""",
"=""Pinnacle West Capital Corp.""","=""0.04896%""","=""$529,967""","=""6,379""",
"=""NiSource Inc.""","=""0.04895%""","=""$529,880""","=""21,672""",
"=""APA Group""","=""0.04887%""","=""$529,005""","=""67,059""",
"=""TD Ameritrade Holding Corp.""","=""0.04878%""","=""$528,085""","=""14,714""",
"=""Hasbro Inc.""","=""0.04868%""","=""$526,928""","=""7,242""",
"=""James Hardie Industries plc""","=""0.04844%""","=""$524,361""","=""25,239""",
"=""Aena SME SA""","=""0.04843%""","=""$524,197""","=""4,019""",
"=""Next plc""","=""0.04833%""","=""$523,180""","=""7,314""",
"=""Itausa - Investimentos Itau SA Preference Shares""","=""0.04788%""","=""$518,312""","=""252,880""",
"=""Japan Post Holdings Co. Ltd.""","=""0.04784%""","=""$517,816""","=""76,326""",
"=""Carrefour SA""","=""0.04781%""","=""$517,545""","=""32,420""",
"=""ASE Technology Holding Co. Ltd.""","=""0.04781%""","=""$517,586""","=""200,561""",
"=""Vistra Corp.""","=""0.04778%""","=""$517,162""","=""27,715""",
"=""Asahi Kasei Corp.""","=""0.04750%""","=""$514,162""","=""72,300""",
"=""Packaging Corp. of America""","=""0.04743%""","=""$513,473""","=""5,342""",
"=""Sumitomo Electric Industries Ltd.""","=""0.04717%""","=""$510,601""","=""46,300""",
"=""WPP plc""","=""0.04706%""","=""$509,378""","=""68,327""",
"=""Endesa SA""","=""0.04682%""","=""$506,773""","=""17,827""",
"=""Nitto Denko Corp.""","=""0.04679%""","=""$506,479""","=""9,000""",
"=""Longfor Group Holdings Ltd.""","=""0.04679%""","=""$506,535""","=""102,500""",
"=""Kia Motors Corp.""","=""0.04659%""","=""$504,339""","=""14,873""",
"=""Mondi plc""","=""0.04657%""","=""$504,158""","=""28,182""",
"=""Fidelity National Financial Inc.""","=""0.04651%""","=""$503,425""","=""15,557""",
"=""Porsche Automobil Holding SE Preference Shares""","=""0.04645%""","=""$502,813""","=""8,842""",
"=""FinecoBank Banca Fineco SPA""","=""0.04641%""","=""$502,414""","=""34,613""",
"=""Kuehne + Nagel International AG""","=""0.04638%""","=""$502,073""","=""2,911""",
"=""Peugeot SA""","=""0.04628%""","=""$501,008""","=""31,062""",
"=""United Microelectronics Corp.""","=""0.04623%""","=""$500,490""","=""656,000""",
"=""Fortum Oyj""","=""0.04585%""","=""$496,319""","=""24,374""",
"=""Jardine Matheson Holdings Ltd.""","=""0.04536%""","=""$491,040""","=""12,000""",
"=""Campbell Soup Co.""","=""0.04532%""","=""$490,594""","=""9,897""",
"=""Koninklijke KPN NV""","=""0.04522%""","=""$489,460""","=""188,660""",
"=""Shaw Communications Inc. Class B""","=""0.04499%""","=""$487,000""","=""26,626""",
"=""Elisa Oyj""","=""0.04483%""","=""$485,228""","=""8,132""",
"=""Polymetal International plc""","=""0.04434%""","=""$480,002""","=""19,299""",
"=""Red Electrica Corp. SA""","=""0.04431%""","=""$479,601""","=""24,551""",
"=""Insurance Australia Group Ltd.""","=""0.04429%""","=""$479,386""","=""131,328""",
"=""Juniper Networks Inc.""","=""0.04416%""","=""$478,058""","=""18,836""",
"=""Chubu Electric Power Co. Inc.""","=""0.04406%""","=""$476,978""","=""40,200""",
"=""HeidelbergCement AG""","=""0.04391%""","=""$475,312""","=""8,516""",
"=""Royal Caribbean Cruises Ltd.""","=""0.04384%""","=""$474,582""","=""9,743""",
"=""Equitable Holdings Inc.""","=""0.04381%""","=""$474,263""","=""23,180""",
"=""Standard Bank Group Ltd.""","=""0.04345%""","=""$470,393""","=""73,752""",
"=""Formosa Chemicals & Fibre Corp.""","=""0.04340%""","=""$469,841""","=""204,210""",
"=""Hargreaves Lansdown plc""","=""0.04324%""","=""$468,019""","=""20,388""",
"=""Coca-Cola European Partners plc""","=""0.04311%""","=""$466,662""","=""11,335""",
"=""NRG Energy Inc.""","=""0.04305%""","=""$466,037""","=""13,784""",
"=""Grupo Mexico SAB de CV Class B""","=""0.04289%""","=""$464,331""","=""182,800""",
"=""First Financial Holding Co. Ltd.""","=""0.04256%""","=""$460,729""","=""571,900""",
"=""AP Moller - Maersk A/S Class B""","=""0.04205%""","=""$455,174""","=""355""",
"=""United Utilities Group plc""","=""0.04177%""","=""$452,182""","=""38,280""",
"=""Swatch Group AG (Bearer)""","=""0.04172%""","=""$451,623""","=""2,151""",
"=""Power Assets Holdings Ltd.""","=""0.04140%""","=""$448,192""","=""80,500""",
"=""Atlantia SPA""","=""0.04129%""","=""$446,984""","=""28,104""",
"=""Mowi ASA""","=""0.04098%""","=""$443,615""","=""24,588""",
"=""Emirates Telecommunications Group Co. PJSC""","=""0.04097%""","=""$443,504""","=""97,900""",
"=""Suncorp Group Ltd.""","=""0.04080%""","=""$441,655""","=""72,029""",
"=""CaixaBank SA""","=""0.04074%""","=""$441,055""","=""204,937""",
"=""Vail Resorts Inc.""","=""0.04054%""","=""$438,789""","=""2,285""",
"=""Orkla ASA""","=""0.04048%""","=""$438,162""","=""44,447""",
"=""ITC Ltd.""","=""0.04046%""","=""$437,932""","=""168,750""",
"=""Taiwan Cement Corp.""","=""0.04042%""","=""$437,540""","=""284,834""",
"=""WH Group Ltd.""","=""0.04032%""","=""$436,500""","=""490,996""",
"=""New World Development Co. Ltd.""","=""0.04032%""","=""$436,484""","=""89,493""",
"=""KT&G Corp.""","=""0.03999%""","=""$432,884""","=""6,375""",
"=""Quanta Computer Inc.""","=""0.03998%""","=""$432,812""","=""155,000""",
"=""Bouygues SA""","=""0.03988%""","=""$431,660""","=""12,168""",
"=""PetroChina Co. Ltd. Class H""","=""0.03976%""","=""$430,389""","=""1,240,000""",
"=""Yara International ASA""","=""0.03967%""","=""$429,442""","=""10,252""",
"=""Ally Financial Inc.""","=""0.03961%""","=""$428,733""","=""21,330""",
"=""Adecco Group AG""","=""0.03956%""","=""$428,236""","=""9,024""",
"=""Boliden AB""","=""0.03942%""","=""$426,748""","=""15,685""",
"=""Tele2 AB""","=""0.03938%""","=""$426,247""","=""30,045""",
"=""AGL Energy Ltd.""","=""0.03938%""","=""$426,272""","=""35,764""",
"=""Marubeni Corp.""","=""0.03937%""","=""$426,147""","=""92,900""",
"=""Severn Trent plc""","=""0.03937%""","=""$426,199""","=""13,254""",
"=""Standard Life Aberdeen plc""","=""0.03907%""","=""$422,943""","=""128,691""",
"=""Yuanta Financial Holding Co. Ltd.""","=""0.03898%""","=""$421,965""","=""686,736""",
"=""Bank Mandiri Persero Tbk PT""","=""0.03870%""","=""$418,911""","=""1,054,500""",
"=""Aroundtown SA""","=""0.03854%""","=""$417,221""","=""69,074""",
"=""Informa plc""","=""0.03848%""","=""$416,578""","=""85,805""",
"=""Stora Enso Oyj""","=""0.03835%""","=""$415,148""","=""32,934""",
"=""Resona Holdings Inc.""","=""0.03818%""","=""$413,288""","=""127,100""",
"=""Skanska AB Class B""","=""0.03811%""","=""$412,549""","=""20,438""",
"=""South32 Ltd.""","=""0.03807%""","=""$412,068""","=""278,928""",
"=""Taisei Corp.""","=""0.03795%""","=""$410,858""","=""12,000""",
"=""Sumitomo Metal Mining Co. Ltd.""","=""0.03779%""","=""$409,053""","=""13,800""",
"=""Lincoln National Corp.""","=""0.03778%""","=""$409,001""","=""10,974""",
"=""Kuwait Finance House KSCP""","=""0.03777%""","=""$408,817""","=""215,973""",
"=""Bank Leumi Le-Israel BM""","=""0.03777%""","=""$408,860""","=""81,634""",
"=""Mitsubishi Chemical Holdings Corp.""","=""0.03772%""","=""$408,309""","=""76,300""",
"=""Wynn Resorts Ltd.""","=""0.03772%""","=""$408,288""","=""5,637""",
"=""Astra International Tbk PT""","=""0.03770%""","=""$408,120""","=""1,157,000""",
"=""Hana Financial Group Inc.""","=""0.03770%""","=""$408,107""","=""16,482""",
"=""Skf Ab""","=""0.03748%""","=""$405,732""","=""21,974""",
"=""Interpublic Group of Cos. Inc.""","=""0.03746%""","=""$405,547""","=""22,468""",
"=""Smiths Group plc""","=""0.03735%""","=""$404,257""","=""22,731""",
"=""MTR Corp. Ltd.""","=""0.03717%""","=""$402,377""","=""81,000""",
"=""Kansai Electric Power Co. Inc.""","=""0.03710%""","=""$401,623""","=""42,400""",
"=""Arkema SA""","=""0.03678%""","=""$398,176""","=""3,843""",
"=""Publicis Groupe SA""","=""0.03673%""","=""$397,569""","=""12,338""",
"=""Getlink SE""","=""0.03667%""","=""$396,954""","=""26,370""",
"=""Origin Energy Ltd.""","=""0.03647%""","=""$394,834""","=""102,525""",
"=""Westrock Co.""","=""0.03646%""","=""$394,681""","=""14,694""",
"=""Swiss Prime Site AG""","=""0.03644%""","=""$394,499""","=""4,316""",
"=""China Shenhua Energy Co. Ltd. Class H""","=""0.03634%""","=""$393,425""","=""236,000""",
"=""Covestro AG""","=""0.03632%""","=""$393,193""","=""10,119""",
"=""Berkeley Group Holdings plc""","=""0.03607%""","=""$390,446""","=""6,679""",
"=""Ageas SA/NV""","=""0.03589%""","=""$388,528""","=""10,316""",
"=""Barratt Developments plc""","=""0.03583%""","=""$387,850""","=""57,874""",
"=""Siam Cement PCL (Foreign)""","=""0.03578%""","=""$387,360""","=""31,620""",
"=""CF Industries Holdings Inc.""","=""0.03576%""","=""$387,145""","=""12,357""",
"=""Industrivarden AB Class A""","=""0.03568%""","=""$386,240""","=""15,621""",
"=""Daiwa Securities Group Inc.""","=""0.03568%""","=""$386,191""","=""88,000""",
"=""Kingfisher plc""","=""0.03564%""","=""$385,771""","=""121,505""",
"=""Santos Ltd.""","=""0.03561%""","=""$385,444""","=""101,986""",
"=""Nissan Motor Co. Ltd.""","=""0.03555%""","=""$384,798""","=""112,700""",
"=""Advanced Info Service PCL (Foreign)""","=""0.03551%""","=""$384,446""","=""64,800""",
"=""Hydro One Ltd.""","=""0.03532%""","=""$382,323""","=""17,944""",
"=""Samba Financial Group""","=""0.03515%""","=""$380,533""","=""55,316""",
"=""Molson Coors Beverage Co. Class B""","=""0.03499%""","=""$378,802""","=""10,096""",
"=""Wilmar International Ltd.""","=""0.03498%""","=""$378,683""","=""112,400""",
"=""China National Building Material Co. Ltd. Class H""","=""0.03496%""","=""$378,426""","=""244,000""",
"=""Eiffage SA""","=""0.03495%""","=""$378,372""","=""4,324""",
"=""Riyad Bank""","=""0.03469%""","=""$375,527""","=""83,139""",
"=""Impala Platinum Holdings Ltd.""","=""0.03464%""","=""$374,924""","=""42,315""",
"=""St. James's Place plc""","=""0.03460%""","=""$374,491""","=""30,283""",
"=""Carnival Corp.""","=""0.03442%""","=""$372,622""","=""26,846""",
"=""Smurfit Kappa Group plc""","=""0.03430%""","=""$371,280""","=""11,137""",
"=""Admiral Group plc""","=""0.03410%""","=""$369,117""","=""11,718""",
"=""Bank Hapoalim BM""","=""0.03376%""","=""$365,443""","=""61,399""",
"=""Erste Group Bank AG""","=""0.03375%""","=""$365,298""","=""16,345""",
"=""Hengan International Group Co. Ltd.""","=""0.03373%""","=""$365,110""","=""43,500""",
"=""Obayashi Corp.""","=""0.03368%""","=""$364,625""","=""41,100""",
"=""Hua Nan Financial Holdings Co. Ltd.""","=""0.03366%""","=""$364,420""","=""531,120""",
"=""Sanlam Ltd.""","=""0.03351%""","=""$362,748""","=""101,581""",
"=""Enagas SA""","=""0.03346%""","=""$362,246""","=""14,335""",
"=""Agricultural Bank of China Ltd. Class H""","=""0.03343%""","=""$361,926""","=""1,020,000""",
"=""Natwest Group plc""","=""0.03325%""","=""$359,955""","=""258,728""",
"=""China Vanke Co. Ltd. Class H""","=""0.03325%""","=""$359,880""","=""114,309""",
"=""Newell Brands Inc.""","=""0.03313%""","=""$358,635""","=""21,868""",
"=""Shimao Group Holdings Ltd.""","=""0.03309%""","=""$358,162""","=""84,500""",
"=""Realtek Semiconductor Corp.""","=""0.03308%""","=""$358,079""","=""28,010""",
"=""MTN Group Ltd.""","=""0.03300%""","=""$357,242""","=""102,864""",
"=""Mitsubishi Heavy Industries Ltd.""","=""0.03292%""","=""$356,343""","=""15,400""",
"=""Spark New Zealand Ltd.""","=""0.03272%""","=""$354,150""","=""107,837""",
"=""Mediobanca Banca di Credito Finanziario SPA""","=""0.03271%""","=""$354,070""","=""44,176""",
"=""EMS-Chemie Holding AG""","=""0.03259%""","=""$352,745""","=""408""",
"=""Valeo SA""","=""0.03252%""","=""$352,039""","=""13,694""",
"=""Pandora A/S""","=""0.03243%""","=""$351,020""","=""5,526""",
"=""China Evergrande Group""","=""0.03241%""","=""$350,797""","=""125,000""",
"=""SK Innovation Co. Ltd.""","=""0.03230%""","=""$349,639""","=""3,280""",
"=""Polaris Inc.""","=""0.03216%""","=""$348,093""","=""3,359""",
"=""Bureau Veritas SA""","=""0.03215%""","=""$347,996""","=""15,886""",
"=""CIMB Group Holdings Bhd.""","=""0.03215%""","=""$347,993""","=""411,000""",
"=""TELUS Corp.""","=""0.03212%""","=""$347,678""","=""20,048""",
"=""China Merchants Bank Co. Ltd. Class A""","=""0.03207%""","=""$347,140""","=""69,600""",
"=""GEA Group AG""","=""0.03206%""","=""$347,024""","=""9,581""",
"=""Magellan Financial Group Ltd.""","=""0.03182%""","=""$344,396""","=""7,852""",
"=""Bunge Ltd.""","=""0.03174%""","=""$343,610""","=""7,910""",
"=""CITIC Securities Co. Ltd. Class H""","=""0.03172%""","=""$343,333""","=""147,500""",
"=""Wharf Real Estate Investment Co. Ltd.""","=""0.03168%""","=""$342,933""","=""97,000""",
"=""Taiwan Mobile Co. Ltd.""","=""0.03146%""","=""$340,508""","=""95,000""",
"=""Sibanye Stillwater Ltd.""","=""0.03136%""","=""$339,511""","=""119,947""",
"=""Engie SA""","=""0.03120%""","=""$337,752""","=""25,299""",
"=""Novatek Microelectronics Corp.""","=""0.03109%""","=""$336,582""","=""34,000""",
"=""Aurizon Holdings Ltd.""","=""0.03079%""","=""$333,308""","=""104,442""",
"=""RSA Insurance Group plc""","=""0.03075%""","=""$332,898""","=""59,109""",
"=""Castellum AB""","=""0.03071%""","=""$332,427""","=""15,486""",
"=""Ingredion Inc.""","=""0.03058%""","=""$331,036""","=""3,827""",
"=""Apache Corp.""","=""0.03050%""","=""$330,194""","=""21,511""",
"=""Johnson Matthey plc""","=""0.03036%""","=""$328,633""","=""11,183""",
"=""Pennon Group plc""","=""0.03031%""","=""$328,053""","=""23,458""",
"=""Autoliv Inc.""","=""0.03030%""","=""$328,011""","=""5,044""",
"=""Kesko Oyj Class B""","=""0.03028%""","=""$327,727""","=""15,312""",
"=""Keppel Corp. Ltd.""","=""0.03019%""","=""$326,843""","=""83,000""",
"=""Toyota Tsusho Corp.""","=""0.03019%""","=""$326,814""","=""13,000""",
"=""Franklin Resources Inc.""","=""0.02999%""","=""$324,654""","=""15,423""",
"=""Bharat Petroleum Corp. Ltd.""","=""0.02993%""","=""$323,999""","=""58,577""",
"=""Taylor Wimpey plc""","=""0.02977%""","=""$322,286""","=""207,479""",
"=""Treasury Wine Estates Ltd.""","=""0.02971%""","=""$321,659""","=""41,530""",
"=""Weichai Power Co. Ltd. Class H""","=""0.02970%""","=""$321,447""","=""149,000""",
"=""LG Corp.""","=""0.02962%""","=""$320,683""","=""5,163""",
"=""Rosneft Oil Co. PJSC""","=""0.02937%""","=""$317,962""","=""66,190""",
"=""PICC Property & Casualty Co. Ltd. Class H""","=""0.02935%""","=""$317,758""","=""402,400""",
"=""Catcher Technology Co. Ltd.""","=""0.02929%""","=""$317,056""","=""43,000""",
"=""Medibank Pvt Ltd.""","=""0.02929%""","=""$317,076""","=""156,785""",
"=""Steel Dynamics Inc.""","=""0.02927%""","=""$316,805""","=""11,558""",
"=""Naturgy Energy Group SA""","=""0.02922%""","=""$316,320""","=""16,995""",
"=""President Chain Store Corp.""","=""0.02914%""","=""$315,418""","=""33,000""",
"=""KION Group AG""","=""0.02899%""","=""$313,793""","=""4,070""",
"=""Galp Energia SGPS SA""","=""0.02892%""","=""$313,044""","=""29,745""",
"=""M&G plc""","=""0.02888%""","=""$312,627""","=""148,314""",
"=""Solvay SA Class A""","=""0.02874%""","=""$311,136""","=""3,983""",
"=""Inpex Corp.""","=""0.02869%""","=""$310,514""","=""54,800""",
"=""AGC Inc./Japan""","=""0.02869%""","=""$310,544""","=""11,100""",
"=""Wm Morrison Supermarkets plc""","=""0.02869%""","=""$310,578""","=""126,642""",
"=""Asustek Computer Inc.""","=""0.02867%""","=""$310,400""","=""42,000""",
"=""Lendlease Corp. Ltd.""","=""0.02862%""","=""$309,779""","=""38,058""",
"=""Comerica Inc.""","=""0.02853%""","=""$308,853""","=""8,018""",
"=""Randstad NV""","=""0.02847%""","=""$308,196""","=""6,410""",
"=""Commerzbank AG""","=""0.02841%""","=""$307,564""","=""59,806""",
"=""Recordati SPA""","=""0.02834%""","=""$306,748""","=""5,734""",
"=""CapitaLand Ltd.""","=""0.02832%""","=""$306,532""","=""152,300""",
"=""Banco do Brasil SA""","=""0.02825%""","=""$305,754""","=""47,400""",
"=""Leggett & Platt Inc.""","=""0.02824%""","=""$305,646""","=""7,624""",
"=""Bancolombia SA""","=""0.02821%""","=""$305,404""","=""42,487""",
"=""Canadian Tire Corp. Ltd. Class A""","=""0.02819%""","=""$305,153""","=""3,310""",
"=""Evonik Industries AG""","=""0.02814%""","=""$304,594""","=""11,263""",
"=""Direct Line Insurance Group plc""","=""0.02805%""","=""$303,587""","=""78,038""",
"=""Ping An Insurance Group Co. of China Ltd. Class A""","=""0.02804%""","=""$303,502""","=""27,900""",
"=""Postal Savings Bank of China Co. Ltd. Class H""","=""0.02789%""","=""$301,923""","=""548,000""",
"=""Zions Bancorp NA""","=""0.02785%""","=""$301,484""","=""9,285""",
"=""Pearson plc""","=""0.02779%""","=""$300,784""","=""43,158""",
"=""Aegon NV""","=""0.02767%""","=""$299,568""","=""101,091""",
"=""B&M European Value Retail SA""","=""0.02766%""","=""$299,432""","=""49,274""",
"=""Orica Ltd.""","=""0.02753%""","=""$297,985""","=""24,032""",
"=""Daito Trust Construction Co. Ltd.""","=""0.02746%""","=""$297,301""","=""3,800""",
"=""Aisin Seiki Co. Ltd.""","=""0.02744%""","=""$297,059""","=""10,400""",
"=""Hang Lung Properties Ltd.""","=""0.02743%""","=""$296,950""","=""121,000""",
"=""ACS Actividades de Construccion y Servicios SA""","=""0.02730%""","=""$295,470""","=""12,781""",
"=""Qatar Islamic Bank SAQ""","=""0.02701%""","=""$292,427""","=""66,132""",
"=""Idemitsu Kosan Co. Ltd.""","=""0.02694%""","=""$291,588""","=""14,142""",
"=""Trend Micro Inc./Japan""","=""0.02687%""","=""$290,835""","=""5,000""",
"=""Industrial & Commercial Bank of China Ltd. Class A""","=""0.02685%""","=""$290,608""","=""408,800""",
"=""GVC Holdings plc""","=""0.02682%""","=""$290,358""","=""33,287""",
"=""Powszechna Kasa Oszczednosci Bank Polski SA""","=""0.02667%""","=""$288,704""","=""49,533""",
"=""Banco BTG Pactual SA""","=""0.02646%""","=""$286,412""","=""17,253""",
"=""Accor SA""","=""0.02642%""","=""$286,024""","=""11,388""",
"=""Siam Commercial Bank PCL (Foreign)""","=""0.02640%""","=""$285,769""","=""133,000""",
"=""Computershare Ltd.""","=""0.02632%""","=""$284,875""","=""29,578""",
"=""Guangdong Investment Ltd.""","=""0.02627%""","=""$284,318""","=""176,000""",
"=""Shanghai Commercial & Savings Bank Ltd.""","=""0.02618%""","=""$283,350""","=""196,000""",
"=""CITIC Ltd.""","=""0.02617%""","=""$283,288""","=""302,000""",
"=""Sekisui Chemical Co. Ltd.""","=""0.02615%""","=""$283,068""","=""20,900""",
"=""Kajima Corp.""","=""0.02606%""","=""$282,085""","=""25,800""",
"=""Intermediate Capital Group plc""","=""0.02604%""","=""$281,933""","=""15,947""",
"=""Tabcorp Holdings Ltd.""","=""0.02600%""","=""$281,444""","=""110,238""",
"=""Singapore Exchange Ltd.""","=""0.02598%""","=""$281,211""","=""47,200""",
"=""Dentsu Group Inc.""","=""0.02585%""","=""$279,815""","=""12,600""",
"=""Suez SA""","=""0.02581%""","=""$279,405""","=""21,125""",
"=""China CITIC Bank Corp. Ltd. Class H""","=""0.02577%""","=""$278,949""","=""639,619""",
"=""SBI Holdings Inc./Japan""","=""0.02565%""","=""$277,623""","=""13,300""",
"=""Ampol Ltd.""","=""0.02555%""","=""$276,613""","=""14,677""",
"=""Sumitomo Chemical Co. Ltd.""","=""0.02555%""","=""$276,549""","=""96,500""",
"=""Charoen Pokphand Foods PCL (Foreign)""","=""0.02539%""","=""$274,806""","=""253,900""",
"=""Taishin Financial Holding Co. Ltd.""","=""0.02526%""","=""$273,386""","=""599,902""",
"=""Great-West Lifeco Inc.""","=""0.02514%""","=""$272,174""","=""15,396""",
"=""Noble Energy Inc.""","=""0.02513%""","=""$272,008""","=""27,228""",
"=""Hanesbrands Inc.""","=""0.02499%""","=""$270,547""","=""19,147""",
"=""Bank of Communications Co. Ltd. Class H""","=""0.02496%""","=""$270,199""","=""487,000""",
"=""Samsung Fire & Marine Insurance Co. Ltd.""","=""0.02489%""","=""$269,471""","=""1,872""",
"=""Bank of China Ltd. Class A""","=""0.02480%""","=""$268,462""","=""562,500""",
