Holding name,% of funds,Market value,Shares
Unilever NV,"=""0.19151%""","$1,175,568","19,851.00"
3M Co.,"=""0.18828%""","$1,155,760","7,681.00"
Boeing Co.,"=""0.18795%""","$1,153,716","7,302.00"
BlackRock Inc.,"=""0.18791%""","$1,153,470","2,006.00"
Diageo plc,"=""0.18772%""","$1,152,340","31,345.00"
S&P Global Inc.,"=""0.18658%""","$1,145,318","3,270.00"
ServiceNow Inc.,"=""0.18560%""","$1,139,285","2,594.00"
CVS Health Corp.,"=""0.18300%""","$1,123,353","17,848.00"
Raytheon Technologies Corp.,"=""0.18031%""","$1,106,847","19,528.00"
Toronto-Dominion Bank,"=""0.17891%""","$1,098,232","24,820.00"
Intuitive Surgical Inc.,"=""0.17587%""","$1,079,568","1,575.00"
Mondelez International Inc. Class A,"=""0.17384%""","$1,067,128","19,231.00"
BHP Group Ltd.,"=""0.17324%""","$1,063,461","40,351.00"
Prologis Inc.,"=""0.17277%""","$1,060,525","10,060.00"
Intuit Inc.,"=""0.17154%""","$1,052,994","3,437.00"
Altria Group Inc.,"=""0.17046%""","$1,046,362","25,428.00"
Keyence Corp.,"=""0.17033%""","$1,045,588","2,500.00"
Becton Dickinson and Co.,"=""0.16862%""","$1,035,050","3,679.00"
Iberdrola SA,"=""0.16805%""","$1,031,573","79,887.00"
British American Tobacco plc,"=""0.16795%""","$1,030,966","31,115.00"
Caterpillar Inc.,"=""0.16038%""","$984,508","7,409.00"
Zoetis Inc.,"=""0.16037%""","$984,403","6,490.00"
BP plc,"=""0.16006%""","$982,513","272,063.00"
Enel SPA,"=""0.15754%""","$967,055","105,810.00"
Vertex Pharmaceuticals Inc.,"=""0.15673%""","$962,064","3,537.00"
Canadian National Railway Co.,"=""0.15419%""","$946,502","9,690.00"
Crown Castle International Corp.,"=""0.15403%""","$945,522","5,672.00"
Anthem Inc.,"=""0.15384%""","$944,336","3,449.00"
Equinix Inc.,"=""0.15342%""","$941,791","1,199.00"
Booking Holdings Inc.,"=""0.15190%""","$932,455",561.00
Dominion Energy Inc.,"=""0.15092%""","$926,416","11,433.00"
Stryker Corp.,"=""0.14910%""","$915,276","4,735.00"
Rio Tinto plc,"=""0.14669%""","$900,461","14,866.00"
Goldman Sachs Group Inc.,"=""0.14657%""","$899,728","4,545.00"
Bayer AG,"=""0.14599%""","$896,139","13,475.00"
Enbridge Inc.,"=""0.14543%""","$892,733","27,894.00"
Unilever plc,"=""0.14535%""","$892,207","14,865.00"
Colgate-Palmolive Co.,"=""0.14431%""","$885,870","11,475.00"
Berkshire Hathaway Inc. Class A,"=""0.14350%""","$880,893",3.00
Reckitt Benckiser Group plc,"=""0.14175%""","$870,118","8,603.00"
Air Products & Chemicals Inc.,"=""0.14050%""","$862,470","3,009.00"
Target Corp.,"=""0.14000%""","$859,383","6,827.00"
Activision Blizzard Inc.,"=""0.13986%""","$858,526","10,390.00"
TJX Cos. Inc.,"=""0.13922%""","$854,612","16,438.00"
Cigna Corp.,"=""0.13917%""","$854,297","4,947.00"
Duke Energy Corp.,"=""0.13806%""","$847,485","10,001.00"
American Express Co.,"=""0.13637%""","$837,080","8,970.00"
Schneider Electric SE,"=""0.13614%""","$835,718","7,194.00"
Regeneron Pharmaceuticals Inc.,"=""0.13571%""","$833,068","1,318.00"
Royal Dutch Shell plc Class A,"=""0.13480%""","$827,497","56,212.00"
Hong Kong Exchanges & Clearing Ltd.,"=""0.13462%""","$826,361","17,300.00"
Applied Materials Inc.,"=""0.13131%""","$806,055","12,530.00"
CME Group Inc.,"=""0.13116%""","$805,142","4,845.00"
T-Mobile US Inc.,"=""0.13106%""","$804,491","7,492.00"
Marsh & McLennan Cos. Inc.,"=""0.13080%""","$802,908","6,886.00"
Illinois Tool Works Inc.,"=""0.12977%""","$796,567","4,306.00"
Southern Co.,"=""0.12812%""","$786,439","14,401.00"
Chubb Ltd.,"=""0.12744%""","$782,272","6,148.00"
Automatic Data Processing Inc.,"=""0.12701%""","$779,650","5,866.00"
Illumina Inc.,"=""0.12507%""","$767,759","2,009.00"
Micron Technology Inc.,"=""0.12442%""","$763,739","15,258.00"
Daiichi Sankyo Co. Ltd.,"=""0.12410%""","$761,795","8,700.00"
Fiserv Inc.,"=""0.12402%""","$761,298","7,629.00"
Newmont Corp.,"=""0.12361%""","$758,778","10,965.00"
Deere & Co.,"=""0.12350%""","$758,133","4,300.00"
Zurich Insurance Group AG,"=""0.12264%""","$752,819","2,037.00"
Lam Research Corp.,"=""0.12190%""","$748,285","1,984.00"
CSX Corp.,"=""0.12155%""","$746,145","10,459.00"
Takeda Pharmaceutical Co. Ltd.,"=""0.12095%""","$742,461","20,900.00"
Deutsche Telekom AG,"=""0.12036%""","$738,847","44,110.00"
Morgan Stanley,"=""0.12022%""","$737,941","15,097.00"
Boston Scientific Corp.,"=""0.11929%""","$732,251","18,985.00"
Global Payments Inc.,"=""0.11832%""","$726,322","4,080.00"
General Electric Co.,"=""0.11804%""","$724,570","119,369.00"
Sherwin-Williams Co.,"=""0.11758%""","$721,783","1,114.00"
Royal Dutch Shell plc Class B,"=""0.11733%""","$720,212","50,771.00"
Progressive Corp.,"=""0.11722%""","$719,558","7,965.00"
adidas AG,"=""0.11715%""","$719,126","2,600.00"
Autodesk Inc.,"=""0.11609%""","$712,600","3,014.00"
KDDI Corp.,"=""0.11599%""","$712,030","23,100.00"
Humana Inc.,"=""0.11591%""","$711,512","1,813.00"
Intercontinental Exchange Inc.,"=""0.11580%""","$710,849","7,345.00"
MercadoLibre Inc.,"=""0.11487%""","$705,137",627.00
Kimberly-Clark Corp.,"=""0.11468%""","$703,945","4,630.00"
Barrick Gold Corp.,"=""0.11391%""","$699,208","24,195.00"
Northrop Grumman Corp.,"=""0.11336%""","$695,846","2,141.00"
Truist Financial Corp.,"=""0.11297%""","$693,497","18,513.00"
Basf Se,"=""0.11274%""","$692,076","12,503.00"
Bank of Nova Scotia,"=""0.11160%""","$685,048","16,681.00"
US Bancorp,"=""0.11033%""","$677,267","18,384.00"
Norfolk Southern Corp.,"=""0.10853%""","$666,200","3,466.00"
Edwards Lifesciences Corp.,"=""0.10740%""","$659,271","8,408.00"
Dollar General Corp.,"=""0.10642%""","$653,262","3,431.00"
Koninklijke Philips NV,"=""0.10561%""","$648,282","12,491.00"
Daikin Industries Ltd.,"=""0.10518%""","$645,654","3,700.00"
