Holding name,% of funds,Market value,Shares
Carrier Global Corp.,"=""0.05297%""","$325,164","11,937.00"
Ball Corp.,"=""0.05288%""","$324,635","4,409.00"
Seven & i Holdings Co. Ltd.,"=""0.05286%""","$324,451","10,700.00"
McCormick & Co. Inc./MD,"=""0.05277%""","$323,924","1,662.00"
Motorola Solutions Inc.,"=""0.05265%""","$323,218","2,312.00"
Stanley Black & Decker Inc.,"=""0.05245%""","$321,972","2,100.00"
Church & Dwight Co. Inc.,"=""0.05224%""","$320,683","3,329.00"
Williams Cos. Inc.,"=""0.05214%""","$320,083","16,732.00"
SWISS RE AG,"=""0.05174%""","$317,584","4,026.00"
Parker-Hannifin Corp.,"=""0.05150%""","$316,152","1,767.00"
Heineken NV,"=""0.05150%""","$316,156","3,251.00"
Align Technology Inc.,"=""0.05150%""","$316,150","1,076.00"
Barclays plc,"=""0.05133%""","$315,080","238,724.00"
Paychex Inc.,"=""0.05121%""","$314,362","4,371.00"
Corning Inc.,"=""0.05086%""","$312,201","10,071.00"
Marriott International Inc./MD Class A,"=""0.05077%""","$311,661","3,718.00"
Oriental Land Co. Ltd./Japan,"=""0.05076%""","$311,567","2,600.00"
Best Buy Co. Inc.,"=""0.05070%""","$311,219","3,125.00"
Coloplast A/S Class B,"=""0.05059%""","$310,569","1,818.00"
Valero Energy Corp.,"=""0.05044%""","$309,602","5,506.00"
State Street Corp.,"=""0.05042%""","$309,509","4,852.00"
Constellation Software Inc./Canada,"=""0.05029%""","$308,713",261.00
Orange SA,"=""0.05014%""","$307,768","26,258.00"
Sun Life Financial Inc.,"=""0.04975%""","$305,387","7,835.00"
Oversea-Chinese Banking Corp. Ltd.,"=""0.04973%""","$305,246","48,900.00"
LG Chem Ltd.,"=""0.04971%""","$305,120",640.00
Alexandria Real Estate Equities Inc.,"=""0.04969%""","$305,031","1,718.00"
Eni SPA,"=""0.04967%""","$304,871","34,189.00"
TransDigm Group Inc.,"=""0.04964%""","$304,695",706.00
Welltower Inc.,"=""0.04959%""","$304,435","5,684.00"
Mettler-Toledo International Inc.,"=""0.04950%""","$303,875",325.00
RingCentral Inc. Class A,"=""0.04932%""","$302,752","1,043.00"
Kraft Heinz Co.,"=""0.04914%""","$301,616","8,773.00"
DR Horton Inc.,"=""0.04905%""","$301,094","4,551.00"
Match Group Inc.,"=""0.04897%""","$300,603","2,927.00"
Alexion Pharmaceuticals Inc.,"=""0.04894%""","$300,398","2,931.00"
Central Japan Railway Co.,"=""0.04894%""","$300,411","2,500.00"
Atlassian Corp. plc Class A,"=""0.04872%""","$299,068","1,693.00"
Goodman Group,"=""0.04864%""","$298,580","24,592.00"
AvalonBay Communities Inc.,"=""0.04857%""","$298,125","1,947.00"
DTE Energy Co.,"=""0.04843%""","$297,285","2,571.00"
VeriSign Inc.,"=""0.04824%""","$296,140","1,399.00"
Dollar Tree Inc.,"=""0.04822%""","$296,013","3,171.00"
Amadeus IT Group SA,"=""0.04818%""","$295,735","5,904.00"
Corteva Inc.,"=""0.04774%""","$293,054","10,261.00"
M3 Inc.,"=""0.04773%""","$292,992","5,758.00"
BioMarin Pharmaceutical Inc.,"=""0.04770%""","$292,816","2,444.00"
Ferrari NV,"=""0.04767%""","$292,618","1,635.00"
Rwe AG,"=""0.04744%""","$291,186","7,700.00"
Wolters Kluwer NV,"=""0.04740%""","$290,948","3,680.00"
Hershey Co.,"=""0.04733%""","$290,529","1,998.00"
AMETEK Inc.,"=""0.04724%""","$290,008","3,110.00"
Cerner Corp.,"=""0.04710%""","$289,120","4,163.00"
Eisai Co. Ltd.,"=""0.04708%""","$288,974","3,600.00"
Vivendi SA,"=""0.04690%""","$287,898","10,869.00"
BAE Systems plc,"=""0.04689%""","$287,813","44,734.00"
Shiseido Co. Ltd.,"=""0.04687%""","$287,714","5,200.00"
Aptiv plc,"=""0.04679%""","$287,208","3,694.00"
East Japan Railway Co.,"=""0.04677%""","$287,099","5,000.00"
Legrand SA,"=""0.04663%""","$286,259","3,697.00"
Entergy Corp.,"=""0.04663%""","$286,269","2,723.00"
Realty Income Corp.,"=""0.04659%""","$286,018","4,763.00"
Fortive Corp.,"=""0.04653%""","$285,603","4,069.00"
PPL Corp.,"=""0.04651%""","$285,500","10,725.00"
FleetCor Technologies Inc.,"=""0.04650%""","$285,461","1,104.00"
Banco Bilbao Vizcaya Argentaria SA,"=""0.04612%""","$283,116","90,793.00"
Canadian Natural Resources Ltd.,"=""0.04587%""","$281,584","15,962.00"
Fresenius SE & Co. KGaA,"=""0.04563%""","$280,112","5,604.00"
Japan Tobacco Inc.,"=""0.04551%""","$279,349","16,300.00"
Seattle Genetics Inc.,"=""0.04548%""","$279,167","1,679.00"
Telefonica SA,"=""0.04528%""","$277,923","66,243.00"
Genmab A/S,"=""0.04523%""","$277,645",810.00
Hilton Worldwide Holdings Inc.,"=""0.04514%""","$277,085","3,692.00"
Capgemini SE,"=""0.04512%""","$276,966","2,139.00"
Weyerhaeuser Co.,"=""0.04500%""","$276,209","9,932.00"
Bayerische Motoren Werke AG,"=""0.04488%""","$275,484","4,259.00"
Ameren Corp.,"=""0.04482%""","$275,143","3,429.00"
Sandvik AB,"=""0.04480%""","$274,975","14,787.00"
Edison International,"=""0.04478%""","$274,898","4,938.00"
Ferguson plc,"=""0.04476%""","$274,745","3,082.00"
Essity AB Class B,"=""0.04476%""","$274,743","8,327.00"
Assa Abloy AB Class B,"=""0.04462%""","$273,909","12,497.00"
Newcrest Mining Ltd.,"=""0.04451%""","$273,234","10,830.00"
Arthur J Gallagher & Co.,"=""0.04430%""","$271,950","2,530.00"
Kerry Group plc Class A,"=""0.04425%""","$271,634","2,051.00"
Geberit AG,"=""0.04406%""","$270,490",489.00
UniCredit SPA,"=""0.04402%""","$270,205","29,595.00"
Equity Residential,"=""0.04402%""","$270,242","5,039.00"
Lennar Corp. Class A,"=""0.04395%""","$269,793","3,729.00"
Fortescue Metals Group Ltd.,"=""0.04378%""","$268,727","21,523.00"
Equifax Inc.,"=""0.04364%""","$267,899","1,648.00"
Neste Oyj,"=""0.04313%""","$264,773","5,759.00"
Agnico Eagle Mines Ltd.,"=""0.04307%""","$264,357","3,329.00"
VF Corp.,"=""0.04293%""","$263,532","4,366.00"
Simon Property Group Inc.,"=""0.04266%""","$261,870","4,200.00"
Laboratory Corp. of America Holdings,"=""0.04262%""","$261,600","1,356.00"
MarketAxess Holdings Inc.,"=""0.04251%""","$260,934",505.00
Fortis Inc./Canada,"=""0.04245%""","$260,553","6,398.00"
First Republic Bank/CA,"=""0.04242%""","$260,391","2,315.00"
Copart Inc.,"=""0.04240%""","$260,261","2,791.00"
United Overseas Bank Ltd.,"=""0.04238%""","$260,174","18,400.00"
Assicurazioni Generali SPA,"=""0.04236%""","$260,037","17,370.00"
Nutrien Ltd.,"=""0.04227%""","$259,473","7,968.00"
Keysight Technologies Inc.,"=""0.04216%""","$258,815","2,591.00"
Olympus Corp.,"=""0.04203%""","$258,022","14,484.00"
Yum China Holdings Inc.,"=""0.04200%""","$257,840","5,032.00"
Freeport-McMoRan Inc.,"=""0.04186%""","$256,953","19,888.00"
Republic Services Inc. Class A,"=""0.04140%""","$254,159","2,913.00"
Ameriprise Financial Inc.,"=""0.04140%""","$254,104","1,654.00"
Deutsche Bank AG,"=""0.04133%""","$253,690","28,262.00"
Fresenius Medical Care AG & Co. KGaA,"=""0.04130%""","$253,508","2,873.00"
CMS Energy Corp.,"=""0.04116%""","$252,677","3,937.00"
Take-Two Interactive Software Inc.,"=""0.04093%""","$251,279","1,532.00"
Fortinet Inc.,"=""0.04089%""","$251,014","1,815.00"
Akzo Nobel NV,"=""0.04055%""","$248,932","2,640.00"
Conagra Brands Inc.,"=""0.04046%""","$248,368","6,632.00"
Komatsu Ltd.,"=""0.04043%""","$248,162","12,700.00"
Cie de Saint-Gobain,"=""0.04032%""","$247,505","6,715.00"
Sampo Oyj Class A,"=""0.04014%""","$246,400","6,794.00"
Flutter Entertainment plc,"=""0.04012%""","$246,290","1,636.00"
Cie Generale des Etablissements Michelin SCA,"=""0.03996%""","$245,277","2,348.00"
Maxim Integrated Products Inc.,"=""0.03994%""","$245,192","3,601.00"
Deutsche Wohnen SE,"=""0.03964%""","$243,351","4,995.00"
Incyte Corp.,"=""0.03963%""","$243,246","2,463.00"
Panasonic Corp.,"=""0.03952%""","$242,599","28,500.00"
Akamai Technologies Inc.,"=""0.03951%""","$242,533","2,157.00"
Henkel AG & Co. KGaA Preference Shares,"=""0.03936%""","$241,620","2,450.00"
Smith & Nephew plc,"=""0.03926%""","$240,998","12,100.00"
CK Hutchison Holdings Ltd.,"=""0.03917%""","$240,468","36,868.00"
Tyson Foods Inc. Class A,"=""0.03916%""","$240,392","3,912.00"
Otsuka Holdings Co. Ltd.,"=""0.03905%""","$239,724","5,800.00"
Shimano Inc.,"=""0.03898%""","$239,289","1,100.00"
Hologic Inc.,"=""0.03898%""","$239,276","3,429.00"
Teleflex Inc.,"=""0.03890%""","$238,784",640.00
Sun Hung Kai Properties Ltd.,"=""0.03890%""","$238,774","19,500.00"
Unicharm Corp.,"=""0.03885%""","$238,508","5,300.00"
TransUnion,"=""0.03883%""","$238,346","2,661.00"
Citrix Systems Inc.,"=""0.03875%""","$237,838","1,666.00"
SSE plc,"=""0.03867%""","$237,385","13,902.00"
Old Dominion Freight Line Inc.,"=""0.03863%""","$237,118","1,297.00"
STMicroelectronics NV,"=""0.03860%""","$236,955","8,416.00"
Merck KGaA,"=""0.03842%""","$235,862","1,846.00"
Samsung SDI Co. Ltd.,"=""0.03832%""","$235,217",705.00
Cellnex Telecom SA,"=""0.03798%""","$233,165","3,705.00"
Kellogg Co.,"=""0.03784%""","$232,289","3,367.00"
Kyocera Corp.,"=""0.03782%""","$232,146","4,200.00"
Secom Co. Ltd.,"=""0.03778%""","$231,899","2,700.00"
Alnylam Pharmaceuticals Inc.,"=""0.03771%""","$231,467","1,588.00"
Teleperformance,"=""0.03744%""","$229,852",786.00
Restaurant Brands International Inc.,"=""0.03727%""","$228,785","4,051.00"
Atlas Copco AB Class B,"=""0.03722%""","$228,491","5,911.00"
Kansas City Southern,"=""0.03707%""","$227,529","1,324.00"
Amcor plc,"=""0.03693%""","$226,669","21,934.00"
Tractor Supply Co.,"=""0.03693%""","$226,671","1,588.00"
Quest Diagnostics Inc.,"=""0.03689%""","$226,439","1,782.00"
Yandex NV Class A,"=""0.03687%""","$226,305","3,933.00"
Aeon Co. Ltd.,"=""0.03683%""","$226,085","9,600.00"
Invitation Homes Inc.,"=""0.03683%""","$226,065","7,581.00"
Coles Group Ltd.,"=""0.03671%""","$225,351","17,294.00"
L'Oreal Loyalty Line 2021,"=""0.03663%""","$224,883",672.00
Hexagon AB Class B,"=""0.03659%""","$224,620","3,453.00"
CGI Inc.,"=""0.03641%""","$223,480","3,129.00"
Denso Corp.,"=""0.03635%""","$223,161","6,100.00"
Air Liquide SA Loyalty Line 2021,"=""0.03625%""","$222,524","1,348.00"
Bridgestone Corp.,"=""0.03623%""","$222,400","7,600.00"
Delivery Hero SE,"=""0.03616%""","$221,954","1,920.00"
Legal & General Group plc,"=""0.03614%""","$221,874","78,994.00"
Dnb ASA,"=""0.03609%""","$221,510","14,515.00"
Symrise AG Class A,"=""0.03598%""","$220,837","1,761.00"
CDW Corp./DE,"=""0.03591%""","$220,410","1,896.00"
Canon Inc.,"=""0.03589%""","$220,339","13,900.00"
Mitsubishi Estate Co. Ltd.,"=""0.03581%""","$219,812","15,300.00"
Intact Financial Corp.,"=""0.03571%""","$219,224","2,008.00"
Nitori Holdings Co. Ltd.,"=""0.03570%""","$219,143","1,000.00"
Shionogi & Co. Ltd.,"=""0.03568%""","$219,032","3,700.00"
FUJIFILM Holdings Corp.,"=""0.03561%""","$218,607","4,900.00"
LyondellBasell Industries NV Class A,"=""0.03560%""","$218,507","3,495.00"
Imperial Brands plc,"=""0.03555%""","$218,253","13,032.00"
CarMax Inc.,"=""0.03542%""","$217,407","2,242.00"
Chocoladefabriken Lindt & Spruengli AG,"=""0.03540%""","$217,302",28.00
Swedbank AB Class A,"=""0.03533%""","$216,884","13,357.00"
KBC Group NV,"=""0.03533%""","$216,897","3,796.00"
Kubota Corp.,"=""0.03521%""","$216,147","15,200.00"
Partners Group Holding AG,"=""0.03503%""","$215,045",222.00
Pioneer Natural Resources Co.,"=""0.03499%""","$214,775","2,216.00"
Vulcan Materials Co.,"=""0.03487%""","$214,057","1,823.00"
Cardinal Health Inc.,"=""0.03480%""","$213,619","3,911.00"
Link REIT,"=""0.03477%""","$213,430","27,500.00"
National Bank of Canada,"=""0.03473%""","$213,161","4,515.00"
CK Asset Holdings Ltd.,"=""0.03472%""","$213,123","38,368.00"
FirstEnergy Corp.,"=""0.03469%""","$212,947","7,343.00"
Kakao Corp.,"=""0.03466%""","$212,777",738.00
Segro plc,"=""0.03453%""","$211,966","16,663.00"
WW Grainger Inc.,"=""0.03438%""","$211,066",618.00
Hartford Financial Services Group Inc.,"=""0.03435%""","$210,881","4,983.00"
Ucb SA,"=""0.03428%""","$210,449","1,635.00"
Northern Trust Corp.,"=""0.03426%""","$210,291","2,684.00"
SGS SA-REG,"=""0.03425%""","$210,267",80.00
Tiffany & Co.,"=""0.03400%""","$208,724","1,665.00"
CLP Holdings Ltd.,"=""0.03394%""","$208,356","22,000.00"
Domino's Pizza Inc.,"=""0.03382%""","$207,610",537.00
Discover Financial Services,"=""0.03367%""","$206,667","4,181.00"
Masco Corp.,"=""0.03360%""","$206,233","3,608.00"
Nasdaq Inc.,"=""0.03358%""","$206,157","1,570.00"
Equinor ASA,"=""0.03356%""","$206,032","13,928.00"
Broadridge Financial Solutions Inc.,"=""0.03353%""","$205,809","1,532.00"
Garmin Ltd.,"=""0.03310%""","$203,194","2,061.00"
Arista Networks Inc.,"=""0.03305%""","$202,880",781.00
Qorvo Inc.,"=""0.03294%""","$202,221","1,578.00"
Dover Corp.,"=""0.03293%""","$202,155","1,964.00"
Carlsberg AS Class B,"=""0.03291%""","$201,994","1,371.00"
Essex Property Trust Inc.,"=""0.03290%""","$201,977",915.00
Boston Properties Inc.,"=""0.03277%""","$201,165","2,258.00"
Daiwa House Industry Co. Ltd.,"=""0.03270%""","$200,711","9,100.00"
Exact Sciences Corp.,"=""0.03260%""","$200,112","2,112.00"
Kirin Holdings Co. Ltd.,"=""0.03259%""","$200,072","10,400.00"
Sysmex Corp.,"=""0.03257%""","$199,949","2,600.00"
Zebra Technologies Corp.,"=""0.03252%""","$199,613",711.00
Rogers Communications Inc. Class B,"=""0.03244%""","$199,158","4,877.00"
AmerisourceBergen Corp. Class A,"=""0.03243%""","$199,078","1,987.00"
Duke Realty Corp.,"=""0.03234%""","$198,539","4,940.00"
Markel Corp.,"=""0.03233%""","$198,463",190.00
Liberty Broadband Corp.,"=""0.03222%""","$197,806","1,441.00"
Healthpeak Properties Inc.,"=""0.03220%""","$197,634","7,242.00"
Galaxy Entertainment Group Ltd.,"=""0.03219%""","$197,569","29,000.00"
Suzuki Motor Corp.,"=""0.03210%""","$197,030","6,000.00"
Las Vegas Sands Corp.,"=""0.03207%""","$196,860","4,511.00"
Evergy Inc.,"=""0.03207%""","$196,889","3,037.00"
Fifth Third Bancorp,"=""0.03200%""","$196,415","9,890.00"
Ashtead Group plc,"=""0.03198%""","$196,294","6,142.00"
Hong Kong & China Gas Co. Ltd.,"=""0.03187%""","$195,657","136,365.00"
Hormel Foods Corp.,"=""0.03185%""","$195,506","3,844.00"
UPM-Kymmene Oyj,"=""0.03175%""","$194,893","7,283.00"
CBRE Group Inc. Class A,"=""0.03172%""","$194,692","4,444.00"
Expeditors International of Washington Inc.,"=""0.03171%""","$194,627","2,303.00"
Ventas Inc.,"=""0.03154%""","$193,603","5,047.00"
Sun Communities Inc.,"=""0.03151%""","$193,410","1,290.00"
Mitsui Fudosan Co. Ltd.,"=""0.03149%""","$193,277","12,400.00"
Nomura Holdings Inc.,"=""0.03131%""","$192,212","41,500.00"
Hennes & Mauritz AB Class B,"=""0.03126%""","$191,860","12,349.00"
Woodside Petroleum Ltd.,"=""0.03117%""","$191,316","13,332.00"
Singapore Telecommunications Ltd.,"=""0.03117%""","$191,340","105,800.00"
Cooper Cos. Inc.,"=""0.03111%""","$190,978",675.00
Toshiba Corp.,"=""0.03106%""","$190,674","6,300.00"
NEC Corp.,"=""0.03086%""","$189,407","3,400.00"
Paycom Software Inc.,"=""0.03085%""","$189,390",666.00
ViacomCBS Inc. Class B,"=""0.03062%""","$187,939","7,209.00"
Alliant Energy Corp.,"=""0.03052%""","$187,344","3,479.00"
Z Holdings Corp.,"=""0.03047%""","$187,019","35,500.00"
Check Point Software Technologies Ltd.,"=""0.03030%""","$186,019","1,484.00"
FMC Corp.,"=""0.03029%""","$185,906","1,753.00"
Fisher & Paykel Healthcare Corp. Ltd.,"=""0.03028%""","$185,856","7,750.00"
Svenska Handelsbanken AB Class A,"=""0.03025%""","$185,688","19,614.00"
Omron Corp.,"=""0.03017%""","$185,170","2,600.00"
STERIS plc,"=""0.03017%""","$185,171","1,160.00"
NVR Inc.,"=""0.03009%""","$184,717",47.00
Xylem Inc./NY,"=""0.02990%""","$183,545","2,515.00"
ABIOMED Inc.,"=""0.02990%""","$183,563",612.00
Standard Chartered plc,"=""0.02981%""","$182,989","36,138.00"
Techtronic Industries Co. Ltd.,"=""0.02978%""","$182,786","17,500.00"
Sartorius AG Preference Shares,"=""0.02977%""","$182,773",475.00
Hyundai Motor Co.,"=""0.02977%""","$182,732","1,721.00"
International Paper Co.,"=""0.02968%""","$182,160","5,236.00"
International Flavors & Fragrances Inc.,"=""0.02959%""","$181,620","1,442.00"
M&T Bank Corp.,"=""0.02957%""","$181,492","1,713.00"
Swisscom AG,"=""0.02949%""","$181,034",339.00
Rentokil Initial plc,"=""0.02941%""","$180,529","25,748.00"
ORIX Corp.,"=""0.02941%""","$180,505","16,800.00"
Mid-America Apartment Communities Inc.,"=""0.02938%""","$180,334","1,513.00"
Leidos Holdings Inc.,"=""0.02930%""","$179,852","1,890.00"
Pembina Pipeline Corp.,"=""0.02924%""","$179,481","7,386.00"
Hess Corp.,"=""0.02917%""","$179,075","3,639.00"
Aviva plc,"=""0.02899%""","$177,985","51,425.00"
SS&C Technologies Holdings Inc.,"=""0.02884%""","$177,042","3,079.00"
TDK Corp.,"=""0.02879%""","$176,752","1,600.00"
Dai-ichi Life Holdings Inc.,"=""0.02862%""","$175,664","15,100.00"
Nucor Corp.,"=""0.02861%""","$175,603","4,186.00"
Worldline SA/France,"=""0.02859%""","$175,508","2,041.00"
Waters Corp.,"=""0.02851%""","$174,996",821.00
Magna International Inc.,"=""0.02851%""","$175,030","3,787.00"
Brown-Forman Corp. Class B,"=""0.02851%""","$175,014","2,524.00"
Nice Ltd.,"=""0.02850%""","$174,970",860.00
Sumitomo Corp.,"=""0.02848%""","$174,842","15,800.00"
Varian Medical Systems Inc.,"=""0.02841%""","$174,404","1,222.00"
Extra Space Storage Inc.,"=""0.02827%""","$173,508","1,679.00"
Synchrony Financial,"=""0.02822%""","$173,256","7,829.00"
EDP - Energias de Portugal SA,"=""0.02819%""","$173,064","34,155.00"
Martin Marietta Materials Inc.,"=""0.02805%""","$172,167",831.00
Ocado Group plc,"=""0.02789%""","$171,212","6,354.00"
Western Digital Corp.,"=""0.02782%""","$170,762","3,962.00"
BCE Inc.,"=""0.02778%""","$170,555","4,068.00"
J M Smucker Co.,"=""0.02775%""","$170,367","1,558.00"
Japan Exchange Group Inc.,"=""0.02773%""","$170,245","7,200.00"
Hewlett Packard Enterprise Co.,"=""0.02759%""","$169,379","17,161.00"
Engie SA,"=""0.02757%""","$169,257","12,678.00"
Atmos Energy Corp.,"=""0.02756%""","$169,160","1,596.00"
Occidental Petroleum Corp.,"=""0.02751%""","$168,843","10,727.00"
China Mengniu Dairy Co. Ltd.,"=""0.02751%""","$168,847","36,000.00"
Edenred,"=""0.02746%""","$168,587","3,384.00"
Shinhan Financial Group Co. Ltd.,"=""0.02746%""","$168,564","6,672.00"
Aristocrat Leisure Ltd.,"=""0.02742%""","$168,337","8,966.00"
Novozymes A/S,"=""0.02740%""","$168,189","2,807.00"
Genuine Parts Co.,"=""0.02737%""","$168,040","1,864.00"
Semiconductor Manufacturing International Corp.,"=""0.02729%""","$167,541","43,500.00"
Equity LifeStyle Properties Inc.,"=""0.02723%""","$167,179","2,447.00"
IDEX Corp.,"=""0.02720%""","$166,963","1,013.00"
Sonova Holding AG,"=""0.02710%""","$166,342",736.00
Asahi Group Holdings Ltd.,"=""0.02706%""","$166,125","5,100.00"
Celanese Corp. Class A,"=""0.02698%""","$165,629","1,704.00"
Ono Pharmaceutical Co. Ltd.,"=""0.02694%""","$165,371","5,900.00"
WP Carey Inc.,"=""0.02694%""","$165,364","2,317.00"
Brambles Ltd.,"=""0.02683%""","$164,668","21,300.00"
NN Group NV,"=""0.02682%""","$164,665","4,492.00"
CH Robinson Worldwide Inc.,"=""0.02681%""","$164,572","1,756.00"
Snam SPA,"=""0.02679%""","$164,448","30,904.00"
Chr Hansen Holding A/S,"=""0.02676%""","$164,262","1,443.00"
Societe Generale SA,"=""0.02672%""","$164,038","10,684.00"
GoDaddy Inc. Class A,"=""0.02672%""","$164,034","2,334.00"
Swiss Life Holding AG,"=""0.02671%""","$163,943",448.00
ONEOK Inc.,"=""0.02663%""","$163,441","5,856.00"
Halliburton Co.,"=""0.02660%""","$163,305","11,396.00"
KeyCorp,"=""0.02648%""","$162,555","13,535.00"
Thomson Reuters Corp.,"=""0.02647%""","$162,500","2,329.00"
Arch Capital Group Ltd.,"=""0.02643%""","$162,268","5,277.00"
Obic Co. Ltd.,"=""0.02622%""","$160,967",900.00
Burlington Stores Inc.,"=""0.02619%""","$160,740",855.00
ASX Ltd.,"=""0.02618%""","$160,688","2,711.00"
Cheniere Energy Inc.,"=""0.02610%""","$160,216","3,238.00"
Beiersdorf AG,"=""0.02607%""","$160,038","1,338.00"
Principal Financial Group Inc.,"=""0.02607%""","$160,004","3,771.00"
Skandinaviska Enskilda Banken AB Class A,"=""0.02605%""","$159,882","16,517.00"
NortonLifeLock Inc.,"=""0.02605%""","$159,888","7,454.00"
Hyundai Mobis Co. Ltd.,"=""0.02599%""","$159,550",925.00
MS&AD Insurance Group Holdings Inc.,"=""0.02599%""","$159,561","6,400.00"
Swedish Match AB,"=""0.02593%""","$159,169","2,068.00"
Omnicom Group Inc.,"=""0.02592%""","$159,095","2,961.00"
Hang Seng Bank Ltd.,"=""0.02588%""","$158,859","10,100.00"
Seagate Technology plc,"=""0.02580%""","$158,360","3,502.00"
Credit Agricole SA,"=""0.02564%""","$157,395","16,380.00"
Ferrovial SA,"=""0.02561%""","$157,230","6,411.00"
SVB Financial Group,"=""0.02561%""","$157,213",701.00
Posco,"=""0.02556%""","$156,892",966.00
Pan Pacific International Holdings Corp.,"=""0.02555%""","$156,821","6,900.00"
NCSoft Corp.,"=""0.02551%""","$156,564",230.00
Veolia Environnement SA,"=""0.02549%""","$156,459","6,852.00"
E*TRADE Financial Corp.,"=""0.02547%""","$156,372","3,080.00"
Cincinnati Financial Corp.,"=""0.02544%""","$156,172","2,004.00"
KB Financial Group Inc.,"=""0.02543%""","$156,101","5,276.00"
Qiagen Nv,"=""0.02522%""","$154,834","3,105.00"
Sonic Healthcare Ltd.,"=""0.02499%""","$153,432","6,665.00"
Zalando SE,"=""0.02499%""","$153,378","2,118.00"
Intertek Group plc,"=""0.02488%""","$152,749","2,164.00"
JB Hunt Transport Services Inc.,"=""0.02473%""","$151,786","1,173.00"
Wabtec Corp.,"=""0.02470%""","$151,619","2,438.00"
Continental AG,"=""0.02468%""","$151,517","1,552.00"
Metro Inc./CN,"=""0.02468%""","$151,473","3,453.00"
PulteGroup Inc.,"=""0.02467%""","$151,423","3,473.00"
Trimble Inc.,"=""0.02466%""","$151,379","3,401.00"
Subaru Corp.,"=""0.02458%""","$150,913","8,000.00"
UDR Inc.,"=""0.02456%""","$150,737","4,164.00"
Sompo Holdings Inc.,"=""0.02449%""","$150,317","4,600.00"
Fiat Chrysler Automobiles NV,"=""0.02448%""","$150,257","14,741.00"
Citizens Financial Group Inc.,"=""0.02443%""","$149,952","6,044.00"
Nippon Paint Holdings Co. Ltd.,"=""0.02434%""","$149,399","2,200.00"
Just Eat Takeaway,"=""0.02433%""","$149,320","1,379.00"
Brown & Brown Inc.,"=""0.02422%""","$148,687","3,270.00"
Teva Pharmaceutical Industries Ltd.,"=""0.02421%""","$148,589","13,107.00"
MEIJI Holdings Co. Ltd.,"=""0.02418%""","$148,435","1,900.00"
BT Group plc,"=""0.02412%""","$148,031","114,410.00"
Advantest Corp.,"=""0.02410%""","$147,932","2,744.00"
3i Group plc,"=""0.02407%""","$147,725","12,652.00"
Annaly Capital Management Inc.,"=""0.02404%""","$147,555","19,913.00"
Ulta Beauty Inc.,"=""0.02399%""","$147,251",763.00
VMware Inc. Class A,"=""0.02398%""","$147,220","1,050.00"
Expedia Group Inc.,"=""0.02395%""","$147,033","1,815.00"
Jacobs Engineering Group Inc.,"=""0.02391%""","$146,802","1,720.00"
Slack Technologies Inc. Class A,"=""0.02384%""","$146,361","4,953.00"
Teledyne Technologies Inc.,"=""0.02383%""","$146,296",477.00
United Rentals Inc.,"=""0.02379%""","$146,048",940.00
Halma plc,"=""0.02378%""","$145,961","5,106.00"
Logitech International SA,"=""0.02358%""","$144,771","1,987.00"
Nexon Co. Ltd.,"=""0.02356%""","$144,595","5,600.00"
Sage Group plc,"=""0.02346%""","$144,003","15,042.00"
Alstom SA,"=""0.02345%""","$143,924","2,577.00"
Telenor ASA,"=""0.02341%""","$143,707","9,263.00"
Gartner Inc.,"=""0.02341%""","$143,710","1,153.00"
Terna Rete Elettrica Nazionale SPA,"=""0.02340%""","$143,619","19,260.00"
CenturyLink Inc.,"=""0.02338%""","$143,544","14,875.00"
Sekisui House Ltd.,"=""0.02335%""","$143,310","7,900.00"
Bandai Namco Holdings Inc.,"=""0.02332%""","$143,144","2,600.00"
Regions Financial Corp.,"=""0.02323%""","$142,592","13,130.00"
Sumitomo Realty & Development Co. Ltd.,"=""0.02321%""","$142,450","5,600.00"
Kingspan Group plc,"=""0.02316%""","$142,165","1,979.00"
Fortune Brands Home & Security Inc.,"=""0.02304%""","$141,448","1,849.00"
Afterpay Ltd.,"=""0.02299%""","$141,120","2,871.00"
Concho Resources Inc.,"=""0.02298%""","$141,070","2,685.00"
Eastman Chemical Co.,"=""0.02298%""","$141,051","1,890.00"
Schindler Holding AG,"=""0.02291%""","$140,626",555.00
L'Oreal SA,"=""0.02284%""","$140,217",419.00
Western Union Co.,"=""0.02281%""","$140,023","5,767.00"
Dollarama Inc.,"=""0.02278%""","$139,864","3,825.00"
Telstra Corp. Ltd.,"=""0.02277%""","$139,753","58,171.00"
Hannover Rueck SE,"=""0.02276%""","$139,726",824.00
Straumann Holding AG,"=""0.02262%""","$138,846",141.00
Ingenico Group SA,"=""0.02261%""","$138,780",862.00
Argenx SE,"=""0.02255%""","$138,405",599.00
Baker Hughes Co. Class A,"=""0.02254%""","$138,388","8,934.00"
Henry Schein Inc.,"=""0.02254%""","$138,353","2,013.00"
a2 Milk Co. Ltd.,"=""0.02250%""","$138,104","9,948.00"
Spirax-Sarco Engineering plc,"=""0.02246%""","$137,890","1,019.00"
Keurig Dr Pepper Inc.,"=""0.02243%""","$137,686","4,501.00"
Persimmon plc,"=""0.02242%""","$137,612","4,365.00"
ENEOS Holdings Inc.,"=""0.02238%""","$137,357","39,550.00"
Credicorp Ltd.,"=""0.02235%""","$137,216","1,079.00"
Danske Bank A/S,"=""0.02232%""","$136,996","8,493.00"
Repsol SA,"=""0.02230%""","$136,873","17,591.00"
